seed,k,cost,config
5,7,0.747594,bf16:b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|head
5,8,0.751051,bf16:b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
5,9,0.751113,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
5,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
5,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,0,0,
6,1,0.165925,bf16:b6-11_mlp
6,2,0.165987,bf16:adaln|b6-11_mlp
6,3,0.331912,bf16:adaln|b0-5_mlp|b6-11_mlp
6,4,0.332843,bf16:adaln|b0-5_mlp|b6-11_mlp|head
6,5,0.498768,bf16:adaln|b0-5_mlp|b12-17_mlp|b6-11_mlp|head
6,6,0.581731,bf16:adaln|b0-5_mlp|b12-17_mlp|b6-11_attn|b6-11_mlp|head
6,7,0.747656,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|head
6,8,0.751113,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,9,0.834075,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,10,0.917038,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,0,0,
7,1,0.165925,bf16:b6-11_mlp
7,2,0.33185,bf16:b12-17_mlp|b6-11_mlp
7,3,0.332782,bf16:b12-17_mlp|b6-11_mlp|head
7,4,0.336238,bf16:b12-17_mlp|b6-11_mlp|embed|head
7,5,0.419201,bf16:b0-5_attn|b12-17_mlp|b6-11_mlp|embed|head
7,6,0.502163,bf16:b0-5_attn|b12-17_mlp|b6-11_attn|b6-11_mlp|embed|head
7,7,0.668088,bf16:b0-5_attn|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,8,0.751051,bf16:b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,9,0.916976,bf16:b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,10,0.999938,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
8,0,0,
8,1,0.0829625,bf16:b18-23_attn
8,2,0.165925,bf16:b18-23_attn|b6-11_attn
8,3,0.33185,bf16:b18-23_attn|b18-23_mlp|b6-11_attn
8,4,0.335307,bf16:b18-23_attn|b18-23_mlp|b6-11_attn|embed
8,5,0.418269,bf16:b0-5_attn|b18-23_attn|b18-23_mlp|b6-11_attn|embed
8,6,0.418331,bf16:adaln|b0-5_attn|b18-23_attn|b18-23_mlp|b6-11_attn|embed
8,7,0.584256,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed
8,8,0.585188,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
8,9,0.66815,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
8,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
8,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
9,0,0,
9,1,0.0829625,bf16:b18-23_attn
9,2,0.248887,bf16:b0-5_mlp|b18-23_attn
9,3,0.33185,bf16:b0-5_mlp|b12-17_attn|b18-23_attn
9,4,0.497775,bf16:b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp
9,5,0.498707,bf16:b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|head
9,6,0.498768,bf16:adaln|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|head
9,7,0.581731,bf16:adaln|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|head
9,8,0.747656,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|head
9,9,0.913581,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|head
9,10,0.917038,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
9,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
10,0,0,
10,1,0.0829625,bf16:b6-11_attn
10,2,0.165925,bf16:b0-5_attn|b6-11_attn
10,3,0.248887,bf16:b0-5_attn|b18-23_attn|b6-11_attn
10,4,0.414812,bf16:b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_attn
10,5,0.580737,bf16:b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp
10,6,0.581669,bf16:b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|head
10,7,0.581731,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|head
10,8,0.664693,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b18-23_attn|b6-11_attn|b6-11_mlp|head
10,9,0.830618,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|head
10,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
10,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
11,0,0,
11,1,0.165925,bf16:b12-17_mlp
11,2,0.165987,bf16:adaln|b12-17_mlp
11,3,0.331912,bf16:adaln|b0-5_mlp|b12-17_mlp
11,4,0.414874,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp
11,5,0.580799,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_mlp
11,6,0.746724,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_mlp|b6-11_mlp
11,7,0.829687,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_mlp
11,8,0.830618,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_mlp|head
11,9,0.913581,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|head
11,10,0.996543,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|head
11,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
12,0,0,
12,1,0.165925,bf16:b12-17_mlp
12,2,0.165987,bf16:adaln|b12-17_mlp
12,3,0.248949,bf16:adaln|b12-17_mlp|b18-23_attn
12,4,0.331912,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn
12,5,0.414874,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn
12,6,0.418331,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|embed
12,7,0.501293,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|embed
12,8,0.667218,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed
12,9,0.833143,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed
12,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
12,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
13,0,0,
13,1,0.165925,bf16:b12-17_mlp
13,2,0.248887,bf16:b0-5_attn|b12-17_mlp
13,3,0.33185,bf16:b0-5_attn|b12-17_attn|b12-17_mlp
13,4,0.335307,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|embed
13,5,0.501232,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b6-11_mlp|embed
13,6,0.584194,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
13,7,0.750119,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
13,8,0.916044,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed
13,9,0.999007,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed
13,10,0.999938,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
13,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
14,0,0,
14,1,0.165925,bf16:b18-23_mlp
14,2,0.33185,bf16:b12-17_mlp|b18-23_mlp
14,3,0.497775,bf16:b12-17_mlp|b18-23_mlp|b6-11_mlp
14,4,0.498707,bf16:b12-17_mlp|b18-23_mlp|b6-11_mlp|head
14,5,0.581669,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|head
14,6,0.664632,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|head
14,7,0.747594,bf16:b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|head
14,8,0.751051,bf16:b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
14,9,0.751113,bf16:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
14,10,0.834075,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
14,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
15,0,0,
15,1,0.0829625,bf16:b12-17_attn
15,2,0.165925,bf16:b12-17_attn|b6-11_attn
15,3,0.33185,bf16:b12-17_attn|b12-17_mlp|b6-11_attn
15,4,0.335307,bf16:b12-17_attn|b12-17_mlp|b6-11_attn|embed
15,5,0.501232,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b6-11_attn|embed
15,6,0.667157,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_attn|embed
15,7,0.750119,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed
15,8,0.751051,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
15,9,0.916976,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
15,10,0.917038,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
15,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
16,0,0,
16,1,0.0829625,bf16:b18-23_attn
16,2,0.0864193,bf16:b18-23_attn|embed
16,3,0.252344,bf16:b18-23_attn|b6-11_mlp|embed
16,4,0.418269,bf16:b12-17_mlp|b18-23_attn|b6-11_mlp|embed
16,5,0.418331,bf16:adaln|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
16,6,0.501293,bf16:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
16,7,0.584256,bf16:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed
16,8,0.750181,bf16:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed
16,9,0.833143,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed
16,10,0.834075,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
16,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
17,0,0,
17,1,6.16075e-05,bf16:adaln
17,2,0.000993315,bf16:adaln|head
17,3,0.166918,bf16:adaln|b6-11_mlp|head
17,4,0.249881,bf16:adaln|b0-5_attn|b6-11_mlp|head
17,5,0.253338,bf16:adaln|b0-5_attn|b6-11_mlp|embed|head
17,6,0.3363,bf16:adaln|b0-5_attn|b18-23_attn|b6-11_mlp|embed|head
17,7,0.502225,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed|head
17,8,0.66815,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
17,9,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
17,10,0.917038,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
17,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
18,0,0,
18,1,6.16075e-05,bf16:adaln
18,2,0.0830241,bf16:adaln|b12-17_attn
18,3,0.0864809,bf16:adaln|b12-17_attn|embed
18,4,0.252406,bf16:adaln|b0-5_mlp|b12-17_attn|embed
18,5,0.418331,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|embed
18,6,0.501293,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|embed
18,7,0.667218,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
18,8,0.833143,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed
18,9,0.916106,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed
18,10,0.917038,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
18,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
19,0,0,
19,1,0.0829625,bf16:b12-17_attn
19,2,0.248887,bf16:b12-17_attn|b18-23_mlp
19,3,0.414812,bf16:b12-17_attn|b18-23_mlp|b6-11_mlp
19,4,0.418269,bf16:b12-17_attn|b18-23_mlp|b6-11_mlp|embed
19,5,0.501232,bf16:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed
19,6,0.667157,bf16:b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed
19,7,0.668088,bf16:b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
19,8,0.66815,bf16:adaln|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
19,9,0.751113,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
19,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
19,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
