# predicted RMSE (standard) axis. model=stormer manifest=stormer_harness_configs.csv lead=120 min_effect_frac=0.0 n_manifest=38 n_predicted=38
tag,lead,standard
W4W8_floor,120,1.4410100527683114
ceiling,120,0.0
W4W8_knee,120,1.097230842867915
W4W8_span1,120,0.13963468554381478
W4W8_span2,120,0.20584290472804553
W4W8_span3,120,0.0018687592211327046
W4W8_rmse_span1,120,0.07360720163133937
W4W8_rmse_span2,120,0.008243125721311792
W4W8_rmse_span3,120,0.0023110409240613165
W4W8_rmseup_span1,120,0.01717071268490274
W4W8_rmseup_span2,120,0.004437038865024514
W4W8_rmseup_span3,120,0.00044228170292861195
W8A8_floor,120,0.07888217554006592
W8A8_knee,120,0.04317688153624724
W8A8_span1,120,0.030936230953911924
W8A8_span2,120,0.020448115730238872
W8A8_span3,120,0.009162296312089483
W8A8_rmse_span1,120,0.03300113600504433
W8A8_rmse_span2,120,0.010265545526178217
W8A8_rmse_span3,120,0.005602665684628656
W8A8_rmseup_span1,120,0.018181573966354694
W8A8_rmseup_span3,120,0.0023601484362352414
W8A8_probe_divergent,120,0.07158943806342447
W8A8_probe_rmse_favoured,120,0.06372054912460981
W8A8_rand_0,120,0.020938386821327912
W8A8_rand_1,120,0.019650411535762535
W8A8_rand_2,120,0.02332668454256936
W8A8_rand_3,120,0.021028999672983575
W8A8_sq_floor,120,0.0599924776261255
W8A8_sq_knee,120,0.01914000623901806
W8A8_sq_span1,120,0.01290425970742232
W8A8_sq_span2,120,0.00942271326914993
W8A8_sq_span3,120,0.0039068664789410614
W8A8_sq_rmse_knee,120,0.02333643264601265
W8A8_sq_rmse_span1,120,0.01107118917791928
W8A8_sq_rmse_span3,120,0.0018165619674171212
W8A8_sq_rmseup_knee,120,0.0181892552627239
W8A8_sq_rmseup_span2,120,0.002935892261761528
