tag,family,lead,block,value,floor_value,removed_pct,ci_lo,ci_hi,significant
W8A8_knee,wind_balance,120,1,0.39004985918469454,0.8266409089321369,52.81507907846408,50.56121363473876,54.820456170301256,True
W8A8_span1,wind_balance,120,1,0.08633108235731375,0.8266409089321369,89.55639850091171,88.24273738109288,90.7350407099507,True
W8A8_rmse_span1,wind_balance,120,1,0.29450366576859544,0.8266409089321369,64.37344648850754,62.92325121145264,65.91133317443052,True
W8A8_probe_divergent,wind_balance,120,1,0.5532641821161571,0.8266409089321369,33.07079577868105,30.814108970268588,35.13591938751691,True
W8A8_probe_rmse_favoured,wind_balance,120,1,0.8162280153776402,0.8266409089321369,1.2596634695890119,-0.6640775712111485,3.2664349325247213,False
W8A8_knee,wind_balance,120,2,0.39004985918469454,0.8266409089321369,52.81507907846408,50.498678233297824,54.91050612447653,True
W8A8_span1,wind_balance,120,2,0.08633108235731375,0.8266409089321369,89.55639850091171,88.6989453030392,90.62002901690724,True
W8A8_rmse_span1,wind_balance,120,2,0.29450366576859544,0.8266409089321369,64.37344648850754,62.88681418137229,65.22578575849387,True
W8A8_probe_divergent,wind_balance,120,2,0.5532641821161571,0.8266409089321369,33.07079577868105,31.4560232085124,34.97434366572314,True
W8A8_probe_rmse_favoured,wind_balance,120,2,0.8162280153776402,0.8266409089321369,1.2596634695890119,-0.9257864429294365,3.664383402299591,False
W8A8_knee,wind_balance,120,3,0.39004985918469454,0.8266409089321369,52.81507907846408,50.55568363775532,54.88677748764557,True
W8A8_span1,wind_balance,120,3,0.08633108235731375,0.8266409089321369,89.55639850091171,88.72560975061106,90.6793173351826,True
W8A8_rmse_span1,wind_balance,120,3,0.29450366576859544,0.8266409089321369,64.37344648850754,62.69725224491354,65.26628497873175,True
W8A8_probe_divergent,wind_balance,120,3,0.5532641821161571,0.8266409089321369,33.07079577868105,31.220477060366914,35.07942989548012,True
W8A8_probe_rmse_favoured,wind_balance,120,3,0.8162280153776402,0.8266409089321369,1.2596634695890119,-0.9201223516239088,4.064434797810501,False
