axis,lead,n_members,median,p90,p95,max
balance,120,15,3.034569914e-05,4.75625576e-05,5.271290713e-05,5.345581687e-05
conservation,120,15,7.984369217e-06,1.668191575e-05,1.886139971e-05,2.063795233e-05
standard,120,15,6.29576678e-06,1.311280236e-05,1.510931307e-05,1.857279035e-05
