# predicted RMSE (standard) axis. model=aurora manifest=harness_configs_corrected.csv lead=120 min_effect_frac=0.01 n_manifest=40 n_predicted=40
tag,lead,standard
W8A8_floor,120,1.6062984071178366
ceiling,120,0.0
W8A8_knee,120,1.5738292569375048
W8A8_span1,120,0.7426399176191211
W8A8_span2,120,0.11542540694079574
W8A8_span3,120,0.031951510370469824
W8A8_rmse_knee,120,1.5398900759376888
W8A8_rmse_span1,120,0.37268182383924653
W8A8_rmse_span2,120,0.09109567124374121
W8A8_rmse_span3,120,0.03448330956095891
W8A8_rmseup_knee,120,1.3987533533247245
W8A8_rmseup_span1,120,0.2338001328264997
W8A8_rmseup_span2,120,0.05913478578195975
W8A8_rmseup_span3,120,0.009922155030584447
W8A8_probe_divergent,120,1.579291071327808
W8A8_probe_rmse_favoured,120,1.5003681504535495
W8A8_rand_0,120,0.8408318241801248
W8A8_rand_1,120,0.7398623674707253
W8A8_rand_2,120,0.7427901369175763
W8A8_rand_3,120,0.631194795038093
W8A8_sq_floor,120,0.8653411415668858
W8A8_sq_knee,120,0.8450888567371471
W8A8_sq_span1,120,0.1920932880080823
W8A8_sq_span2,120,0.11841838200393691
W8A8_sq_span3,120,0.08480911926642302
W8A8_sq_rmse_knee,120,0.8390633554846774
W8A8_sq_rmse_span1,120,0.21054891928649191
W8A8_sq_rmse_span2,120,0.1119612212761815
W8A8_sq_rmse_span3,120,0.07384816676102353
W8A8_sq_rmseup_knee,120,0.8188110706549386
W8A8_sq_rmseup_span1,120,0.15653143651909487
W8A8_sq_rmseup_span3,120,0.05439811694798293
W4W8_floor,120,13.624515879587793
W4W8_knee,120,13.169059457124854
W4W8_span1,120,1.023569384763045
W4W8_span2,120,0.03670903177601003
W4W8_span3,120,0.03628303614891028
W4W8_rmse_span1,120,0.05893105633457205
W4W8_rmse_span2,120,0.0
W4W8_rmseup_span1,120,0.029110215757715767
