group,physics,rmse,rank_physics,rank_rmse,rank_delta
enc1_mlp,1.37509,0.978601,10.0,4.0,-6.0
enc0_attn,0.870977,0.156236,13.0,8.0,-5.0
downsample,5.47499,1.63955,6.0,3.0,-3.0
encoder_io,7.817,6.41108,4.0,1.0,-3.0
dec1_mlp,0.718811,0.0849186,14.0,12.0,-2.0
dec2_mlp,1.1665,0.147543,11.0,9.0,-2.0
enc2_mlp,0.118352,0.0289631,18.0,16.0,-2.0
enc1_attn,3.91966,0.541053,7.0,6.0,-1.0
enc2_attn,0.0669572,0.0121453,19.0,18.0,-1.0
dec0_attn,0.637179,0.0322073,15.0,15.0,+0.0
decoder_io,24.6994,2.49163,2.0,2.0,+0.0
dec0_mlp,0.34515,0.023808,16.0,17.0,+1.0
dec1_attn,0.899203,0.0676375,12.0,13.0,+1.0
enc0_mlp,1.6466,0.0883276,9.0,11.0,+2.0
film,0.146415,0.00638292,17.0,19.0,+2.0
cond_embed,11.8212,0.325246,3.0,7.0,+4.0
decoder_heads,97.5645,0.54841,1.0,5.0,+4.0
upsample,6.26441,0.144284,5.0,10.0,+5.0
dec2_attn,3.46275,0.0354986,8.0,14.0,+6.0
