layer,group,C,tensor_max,outlier_ratio,kurtosis,frac_outlier_ch
backbone.decoder_layers.0.blocks.1.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.1.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.2.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.2.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.3.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.3.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.4.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.4.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.5.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.5.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.6.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.6.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.7.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.0.blocks.7.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.0.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.0.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.1.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.1.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.2.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.2.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.3.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.3.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.4.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.4.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.5.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.5.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.6.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.6.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.7.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.7.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.8.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.8.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.9.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.9.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.0.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.0.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.1.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.1.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.2.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.2.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.3.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.3.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.4.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.4.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.5.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.5.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
decoder.level_decoder.layers.0.0.to_q,decoder/misc,1024,9.567,175.3,163.1,0.1875
backbone.encoder_layers.1.blocks.9.mlp.fc1,encoder/mlp,1024,309.5,121.4,1081,0.0009766
backbone.encoder_layers.1.blocks.9.attn.qkv,encoder/attn,1024,281.8,112.3,1072,0.0009766
backbone.encoder_layers.1.blocks.8.mlp.fc1,encoder/mlp,1024,236.7,97.79,1073,0.0009766
backbone.encoder_layers.1.blocks.8.attn.qkv,encoder/attn,1024,191.9,80.44,1079,0.0009766
backbone.encoder_layers.1.blocks.7.mlp.fc1,encoder/mlp,1024,146,62.37,1110,0.001953
backbone.encoder_layers.1.blocks.7.attn.qkv,encoder/attn,1024,107.3,46.03,1112,0.001953
backbone.encoder_layers.1.blocks.6.mlp.fc1,encoder/mlp,1024,71,30.91,1002,0.001953
backbone.encoder_layers.1.blocks.6.attn.qkv,encoder/attn,1024,48.34,21.33,717.4,0.001953
backbone.encoder_layers.0.downsample.reduction,encoder/misc,2048,15.82,17.71,82.26,0.0249
encoder.surf_mlp.net.0,encoder/mlp,512,31.83,16.01,64.69,0.01562
decoder.atmos_heads.t,decoder/misc,1024,19.12,15.42,82.43,0.05371
decoder.atmos_heads.u,decoder/misc,1024,19.12,15.42,82.43,0.05371
decoder.atmos_heads.v,decoder/attn,1024,19.12,15.42,82.43,0.05371
decoder.atmos_heads.q,decoder/attn,1024,19.12,15.42,82.43,0.05371
decoder.atmos_heads.z,decoder/misc,1024,19.12,15.42,82.43,0.05371
backbone.encoder_layers.1.blocks.5.mlp.fc1,encoder/mlp,1024,27.87,12.56,278,0.001953
backbone.encoder_layers.0.blocks.5.mlp.fc1,encoder/mlp,512,36.56,12.46,54.97,0.02539
backbone.encoder_layers.0.blocks.5.attn.qkv,encoder/attn,512,36.54,12.42,54.93,0.02344
backbone.encoder_layers.0.blocks.4.attn.qkv,encoder/attn,512,36.53,12.24,54.63,0.02148
backbone.encoder_layers.0.blocks.4.mlp.fc1,encoder/mlp,512,36.54,12.21,54.68,0.02148
backbone.encoder_layers.0.blocks.3.mlp.fc1,encoder/mlp,512,36.53,12.09,54.29,0.01953
backbone.encoder_layers.0.blocks.3.attn.qkv,encoder/attn,512,36.51,11.97,54.06,0.01953
backbone.encoder_layers.0.blocks.2.mlp.fc1,encoder/mlp,512,36.49,11.59,53.61,0.01562
backbone.encoder_layers.0.blocks.2.attn.qkv,encoder/attn,512,36.48,11.49,53.56,0.01562
backbone.encoder_layers.1.downsample.reduction,encoder/misc,4096,2.127,11.34,99.23,0.00415
backbone.encoder_layers.0.blocks.1.mlp.fc1,encoder/mlp,512,36.46,10.99,52.72,0.01172
decoder.surf_heads.2t,decoder/misc,1024,36.56,10.78,120.6,0.01074
decoder.surf_heads.10u,decoder/misc,1024,36.56,10.78,120.6,0.01074
decoder.surf_heads.10v,decoder/misc,1024,36.56,10.78,120.6,0.01074
decoder.surf_heads.msl,decoder/misc,1024,36.56,10.78,120.6,0.01074
backbone.encoder_layers.1.blocks.5.attn.qkv,encoder/attn,1024,23.78,10.7,187.1,0.001953
backbone.encoder_layers.0.blocks.1.attn.qkv,encoder/attn,512,36.44,10.19,50.09,0.01172
backbone.encoder_layers.0.blocks.0.mlp.fc1,encoder/mlp,512,36.43,9.57,49.26,0.005859
decoder.level_decoder.layers.0.1.net.0,decoder/misc,1024,11.66,9.148,20.76,0.01758
backbone.encoder_layers.0.blocks.0.attn.qkv,encoder/attn,512,36.42,9.092,46.5,0.005859
decoder.level_decoder.layers.0.1.net.2,decoder/misc,2048,33.1,7.973,79.15,0.0009766
backbone.encoder_layers.1.blocks.4.mlp.fc1,encoder/mlp,1024,16.63,7.558,105.9,0.001953
backbone.encoder_layers.1.blocks.4.attn.qkv,encoder/attn,1024,15.39,7.045,86.79,0.001953
backbone.encoder_layers.1.blocks.3.mlp.fc1,encoder/mlp,1024,14.35,6.615,67.27,0.0009766
backbone.encoder_layers.1.blocks.1.mlp.fc1,encoder/mlp,1024,14.6,6.588,43.11,0.0009766
backbone.encoder_layers.1.blocks.3.attn.qkv,encoder/attn,1024,14.34,6.568,59.79,0.0009766
backbone.encoder_layers.1.blocks.2.mlp.fc1,encoder/mlp,1024,14.33,6.542,52.2,0.0009766
backbone.encoder_layers.1.blocks.2.attn.qkv,encoder/attn,1024,14.32,6.514,45.62,0.0009766
backbone.encoder_layers.1.blocks.1.attn.qkv,encoder/attn,1024,14.59,6.426,36.38,0.0009766
backbone.time_mlp.2,backbone/mlp,512,0.03687,6.392,3.764,0.001953
backbone.decoder_layers.1.blocks.8.mlp.fc2,decoder/mlp,4096,16.88,6.353,60.27,0.0002441
backbone.decoder_layers.2.blocks.4.mlp.fc2,decoder/mlp,2048,33,6.323,95.96,0.0004883
backbone.encoder_layers.1.blocks.0.mlp.fc2,encoder/mlp,4096,23.62,6.248,216.2,0.0002441
backbone.encoder_layers.0.blocks.0.mlp.fc2,encoder/mlp,2048,21.12,6.202,28.28,0.0004883
backbone.encoder_layers.1.blocks.0.mlp.fc1,encoder/mlp,1024,14.58,6.198,32.44,0.0009766
backbone.encoder_layers.1.blocks.0.attn.qkv,encoder/attn,1024,14.56,6.013,33.03,0.0009766
backbone.encoder_layers.0.blocks.3.mlp.fc2,encoder/mlp,2048,20.62,5.919,87.62,0
encoder.surf_mlp.net.2,encoder/mlp,2048,19.7,5.889,76.19,0
backbone.decoder_layers.1.blocks.0.mlp.fc1,decoder/mlp,1024,6.513,5.824,10.22,0
backbone.decoder_layers.1.blocks.1.mlp.fc1,decoder/mlp,1024,6.517,5.643,12.6,0
backbone.encoder_layers.0.blocks.5.mlp.fc2,encoder/mlp,2048,24.25,5.623,72.22,0
backbone.decoder_layers.1.blocks.1.attn.qkv,decoder/attn,1024,6.517,5.599,10.89,0
backbone.encoder_layers.1.blocks.2.mlp.fc2,encoder/mlp,4096,16,5.565,112.6,0
backbone.encoder_layers.1.blocks.3.mlp.fc2,encoder/mlp,4096,15,5.486,215.5,0
backbone.decoder_layers.1.blocks.2.mlp.fc1,decoder/mlp,1024,6.839,5.436,14.79,0
backbone.decoder_layers.2.blocks.1.mlp.fc2,decoder/mlp,2048,22,5.374,811.4,0
encoder.level_agg.layers.0.1.net.0,encoder/misc,512,12.36,5.364,30.58,0
backbone.decoder_layers.1.blocks.0.attn.qkv,decoder/attn,1024,5.906,5.362,9.164,0
backbone.decoder_layers.1.blocks.2.attn.qkv,decoder/attn,1024,6.525,5.358,13.72,0
encoder.level_agg.layers.0.0.to_out,encoder/misc,512,172.2,5.323,10.1,0
backbone.decoder_layers.2.blocks.0.mlp.fc2,decoder/mlp,2048,21.88,5.303,107.3,0
backbone.encoder_layers.2.blocks.3.mlp.fc2,encoder/mlp,8192,15.06,5.211,629.5,0
backbone.decoder_layers.1.blocks.3.attn.qkv,decoder/attn,1024,6.844,5.14,15.98,0
backbone.decoder_layers.1.blocks.3.mlp.fc1,decoder/mlp,1024,6.889,5.02,16.8,0
backbone.encoder_layers.2.blocks.6.mlp.fc2,encoder/mlp,8192,15.12,5.016,483.5,0
backbone.encoder_layers.0.blocks.2.mlp.fc2,encoder/mlp,2048,20,4.923,70.26,0
backbone.decoder_layers.1.blocks.6.mlp.fc2,decoder/mlp,4096,11.56,4.901,33.3,0
backbone.decoder_layers.1.blocks.4.mlp.fc1,decoder/mlp,1024,7.309,4.807,17.82,0
backbone.encoder_layers.1.blocks.5.mlp.fc2,encoder/mlp,4096,14.38,4.767,69.44,0
backbone.encoder_layers.1.blocks.7.mlp.fc2,encoder/mlp,4096,14.94,4.756,130.7,0
backbone.encoder_layers.2.blocks.5.mlp.fc2,encoder/mlp,8192,14.25,4.725,324,0
backbone.decoder_layers.1.blocks.4.attn.qkv,decoder/attn,1024,6.895,4.704,17.65,0
backbone.encoder_layers.0.blocks.1.mlp.fc2,encoder/mlp,2048,14.62,4.68,63.22,0
encoder.level_agg.layers.0.1.net.2,encoder/misc,2048,13.68,4.591,29.52,0
decoder.level_decoder.layers.0.0.to_kv,decoder/misc,1024,32.75,4.565,32.19,0
backbone.decoder_layers.1.blocks.5.mlp.fc1,decoder/mlp,1024,7.804,4.56,17.9,0
backbone.decoder_layers.1.blocks.5.attn.qkv,decoder/attn,1024,7.306,4.464,17.93,0
backbone.decoder_layers.2.blocks.5.mlp.fc2,decoder/mlp,2048,23.5,4.45,616.8,0
backbone.encoder_layers.2.blocks.0.attn.qkv,encoder/attn,2048,4.469,4.333,10.47,0
backbone.encoder_layers.2.blocks.1.attn.qkv,encoder/attn,2048,4.458,4.315,11.39,0
backbone.encoder_layers.1.blocks.1.mlp.fc2,encoder/mlp,4096,12.94,4.312,140.6,0
backbone.encoder_layers.2.blocks.0.mlp.fc1,encoder/mlp,2048,4.462,4.303,9.281,0
backbone.encoder_layers.2.blocks.1.mlp.fc1,encoder/mlp,2048,4.453,4.29,10.12,0
backbone.decoder_layers.1.blocks.6.mlp.fc1,decoder/mlp,1024,8.421,4.289,16.8,0
backbone.decoder_layers.2.blocks.0.attn.qkv,decoder/attn,512,34.22,4.282,35.39,0
backbone.decoder_layers.2.blocks.0.mlp.fc1,decoder/mlp,512,34.17,4.243,35.06,0
backbone.decoder_layers.2.blocks.1.attn.qkv,decoder/attn,512,34.15,4.219,35.07,0
backbone.decoder_layers.1.blocks.6.attn.qkv,decoder/attn,1024,7.8,4.205,17.52,0
backbone.encoder_layers.2.blocks.2.attn.qkv,encoder/attn,2048,4.449,4.19,11.7,0
backbone.encoder_layers.2.blocks.2.mlp.fc1,encoder/mlp,2048,4.441,4.154,10.27,0
backbone.encoder_layers.1.blocks.8.mlp.fc2,encoder/mlp,4096,13.88,4.13,160.2,0
backbone.encoder_layers.0.blocks.0.attn.proj,encoder/attn,512,18.88,4.109,10.29,0
backbone.encoder_layers.2.blocks.3.attn.qkv,encoder/attn,2048,4.435,4.044,11.66,0
encoder.level_agg.layers.0.0.to_q,encoder/misc,512,0.521,4.042,6.424,0
backbone.decoder_layers.2.blocks.1.mlp.fc1,decoder/mlp,512,34.12,4.041,33.53,0
backbone.encoder_layers.2.blocks.3.mlp.fc1,encoder/mlp,2048,4.428,4.013,10.2,0
backbone.decoder_layers.2.blocks.2.attn.qkv,decoder/attn,512,34.05,3.96,33.29,0
backbone.decoder_layers.2.blocks.2.mlp.fc1,decoder/mlp,512,33.98,3.942,33.01,0
backbone.decoder_layers.2.blocks.2.mlp.fc2,decoder/mlp,2048,17,3.914,323.3,0
backbone.encoder_layers.2.blocks.4.attn.qkv,encoder/attn,2048,4.424,3.912,11.56,0
backbone.decoder_layers.1.blocks.7.attn.qkv,decoder/attn,1024,8.421,3.904,16.25,0
backbone.encoder_layers.2.blocks.4.mlp.fc1,encoder/mlp,2048,4.418,3.894,10.17,0
backbone.decoder_layers.0.blocks.2.mlp.fc1,decoder/mlp,2048,5.721,3.883,11.24,0
backbone.decoder_layers.0.upsample.lin2,decoder/misc,1024,2.835,3.853,6.622,0
backbone.decoder_layers.2.blocks.2.attn.proj,decoder/attn,512,57.25,3.849,13.54,0
backbone.decoder_layers.1.blocks.7.mlp.fc2,decoder/mlp,4096,9.438,3.847,60.19,0
backbone.decoder_layers.2.blocks.3.attn.qkv,decoder/attn,512,33.97,3.818,32.78,0
backbone.encoder_layers.2.blocks.5.attn.qkv,encoder/attn,2048,4.416,3.813,11.53,0
backbone.encoder_layers.1.blocks.6.mlp.fc2,encoder/mlp,4096,11.31,3.811,59.67,0
backbone.decoder_layers.0.blocks.2.attn.qkv,decoder/attn,2048,5.459,3.809,12.48,0
backbone.encoder_layers.1.blocks.4.mlp.fc2,encoder/mlp,4096,10.75,3.801,95.69,0
backbone.encoder_layers.2.blocks.5.mlp.fc1,encoder/mlp,2048,4.408,3.785,10.09,0
backbone.decoder_layers.0.blocks.3.mlp.fc1,decoder/mlp,2048,5.865,3.77,11.25,0
backbone.decoder_layers.0.blocks.3.attn.qkv,decoder/attn,2048,5.804,3.769,12.76,0
backbone.decoder_layers.1.blocks.0.mlp.fc2,decoder/mlp,4096,6.406,3.744,30.42,0
backbone.encoder_layers.2.blocks.6.attn.qkv,encoder/attn,2048,4.408,3.729,11.48,0
backbone.encoder_layers.0.blocks.3.attn.proj,encoder/attn,512,11.38,3.714,12.03,0
backbone.encoder_layers.2.blocks.6.mlp.fc1,encoder/mlp,2048,4.401,3.708,10.12,0
backbone.decoder_layers.2.blocks.3.mlp.fc2,decoder/mlp,2048,16.88,3.699,238.7,0
backbone.decoder_layers.2.blocks.3.mlp.fc1,decoder/mlp,512,33.94,3.679,31.59,0
backbone.decoder_layers.1.blocks.7.mlp.fc1,decoder/mlp,1024,8.425,3.674,15.94,0
backbone.encoder_layers.0.blocks.4.attn.proj,encoder/attn,512,28.25,3.66,15.96,0
backbone.encoder_layers.2.blocks.7.attn.qkv,encoder/attn,2048,4.397,3.659,11.56,0
backbone.decoder_layers.0.blocks.4.mlp.fc1,decoder/mlp,2048,6.137,3.645,11.18,0
backbone.encoder_layers.2.blocks.7.mlp.fc1,encoder/mlp,2048,4.391,3.639,10.16,0
backbone.decoder_layers.2.blocks.4.attn.qkv,decoder/attn,512,33.93,3.621,31.43,0
backbone.decoder_layers.0.blocks.0.attn.qkv,decoder/attn,2048,4.39,3.611,11.75,0
backbone.decoder_layers.0.blocks.1.mlp.fc1,decoder/mlp,2048,4.932,3.602,10.05,0
backbone.encoder_layers.0.blocks.4.mlp.fc2,encoder/mlp,2048,22.12,3.594,33.66,0
backbone.decoder_layers.0.blocks.4.attn.qkv,decoder/attn,2048,5.927,3.582,12.54,0
backbone.decoder_layers.2.blocks.4.mlp.fc1,decoder/mlp,512,33.92,3.576,31.29,0
backbone.encoder_layers.0.blocks.1.attn.proj,encoder/attn,512,13.62,3.545,9.126,0
backbone.encoder_layers.2.blocks.2.mlp.fc2,encoder/mlp,8192,10.19,3.543,188.9,0
backbone.decoder_layers.0.blocks.1.attn.qkv,decoder/attn,2048,4.696,3.542,11.24,0
backbone.decoder_layers.1.blocks.9.mlp.fc2,decoder/mlp,4096,10.06,3.5,45.64,0
backbone.decoder_layers.0.blocks.5.attn.qkv,decoder/attn,2048,6.187,3.454,12.48,0
backbone.decoder_layers.2.blocks.5.attn.qkv,decoder/attn,512,33.91,3.452,31.19,0
backbone.encoder_layers.1.blocks.9.mlp.fc2,encoder/mlp,4096,12.88,3.448,107.4,0
backbone.decoder_layers.0.blocks.0.mlp.fc1,decoder/mlp,2048,4.384,3.445,9.421,0
backbone.decoder_layers.0.blocks.5.mlp.fc1,decoder/mlp,2048,6.216,3.444,10.87,0
backbone.decoder_layers.0.blocks.6.attn.qkv,decoder/attn,2048,6.434,3.409,12.05,0
backbone.decoder_layers.0.blocks.6.mlp.fc1,decoder/mlp,2048,6.454,3.368,10.39,0
backbone.encoder_layers.1.blocks.0.attn.proj,encoder/attn,1024,22.75,3.339,11.43,0
backbone.decoder_layers.0.blocks.2.attn.proj,decoder/attn,2048,12.31,3.339,11.48,0
backbone.encoder_layers.2.blocks.3.attn.proj,encoder/attn,2048,9.75,3.337,8.722,0
backbone.decoder_layers.1.blocks.8.attn.qkv,decoder/attn,1024,8.421,3.321,15.81,0
backbone.decoder_layers.2.blocks.5.mlp.fc1,decoder/mlp,512,33.89,3.315,30.47,0
backbone.encoder_layers.1.blocks.4.attn.proj,encoder/attn,1024,11,3.29,10.08,0
backbone.encoder_layers.2.blocks.2.attn.proj,encoder/attn,2048,9.125,3.281,9.65,0
backbone.decoder_layers.0.blocks.7.attn.qkv,decoder/attn,2048,6.624,3.271,11.48,0
backbone.decoder_layers.0.blocks.7.mlp.fc1,decoder/mlp,2048,6.641,3.27,10.07,0
backbone.encoder_layers.1.blocks.2.attn.proj,encoder/attn,1024,11.69,3.266,14.04,0
backbone.decoder_layers.1.blocks.8.mlp.fc1,decoder/mlp,1024,8.976,3.261,15.65,0
backbone.encoder_layers.0.blocks.2.attn.proj,encoder/attn,512,26.88,3.258,12.84,0
backbone.encoder_layers.2.blocks.1.mlp.fc2,encoder/mlp,8192,9.25,3.253,86.91,0
backbone.decoder_layers.1.blocks.4.attn.proj,decoder/attn,1024,9,3.218,9.36,0
backbone.encoder_layers.2.blocks.0.mlp.fc2,encoder/mlp,8192,9.562,3.171,33.71,0
backbone.decoder_layers.0.upsample.lin1,decoder/misc,2048,6.67,3.153,9.785,0
