layer,group,C,tensor_max,outlier_ratio,kurtosis,frac_outlier_ch
backbone.decoder_layers.1.blocks.5.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.6.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.6.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.7.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.7.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.8.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.8.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.9.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.1.blocks.9.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.0.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.0.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.1.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.1.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.2.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.2.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.3.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.3.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.4.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.4.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.5.norm1.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
backbone.decoder_layers.2.blocks.5.norm2.ln_modulation.1,decoder/misc,512,0.07129,375.6,78.77,0.04883
decoder.level_decoder.layers.0.0.to_q,decoder/misc,1024,9.567,175.3,163.1,0.1875
backbone.encoder_layers.1.blocks.9.mlp.fc1,encoder/mlp,1024,309.5,129.6,1076,0.0009766
backbone.encoder_layers.1.blocks.9.attn.qkv,encoder/attn,1024,281.8,119.7,1068,0.0009766
backbone.encoder_layers.1.blocks.8.mlp.fc1,encoder/mlp,1024,236.7,104,1068,0.001953
backbone.encoder_layers.1.blocks.8.attn.qkv,encoder/attn,1024,191.9,85.56,1072,0.001953
backbone.encoder_layers.1.blocks.7.mlp.fc1,encoder/mlp,1024,145.2,65.97,1099,0.001953
backbone.encoder_layers.1.blocks.7.attn.qkv,encoder/attn,1024,107.3,49.14,1098,0.001953
backbone.encoder_layers.1.blocks.6.mlp.fc1,encoder/mlp,1024,70.25,32.7,982.3,0.001953
backbone.encoder_layers.1.blocks.6.attn.qkv,encoder/attn,1024,48.3,22.87,703.5,0.001953
backbone.encoder_layers.0.downsample.reduction,encoder/misc,2048,15.82,18.66,82.46,0.02588
encoder.surf_mlp.net.0,encoder/mlp,512,26.54,14.39,63.28,0.01562
backbone.encoder_layers.1.blocks.5.mlp.fc1,encoder/mlp,1024,27.8,13.39,276,0.001953
decoder.atmos_heads.t,decoder/misc,1024,13.96,12.13,82.1,0.05859
decoder.atmos_heads.u,decoder/misc,1024,13.96,12.13,82.1,0.05859
decoder.atmos_heads.v,decoder/attn,1024,13.96,12.13,82.1,0.05859
decoder.atmos_heads.q,decoder/attn,1024,13.96,12.13,82.1,0.05859
decoder.atmos_heads.z,decoder/misc,1024,13.96,12.13,82.1,0.05859
backbone.encoder_layers.1.downsample.reduction,encoder/misc,4096,1.958,11.42,96.68,0.004395
backbone.encoder_layers.1.blocks.5.attn.qkv,encoder/attn,1024,23.54,11.27,183.4,0.001953
backbone.encoder_layers.0.blocks.5.mlp.fc1,encoder/mlp,512,31.61,11.23,54.81,0.02148
backbone.encoder_layers.0.blocks.5.attn.qkv,encoder/attn,512,31.6,11.21,54.77,0.02148
backbone.encoder_layers.0.blocks.4.attn.qkv,encoder/attn,512,31.59,11.18,54.46,0.02148
backbone.encoder_layers.0.blocks.4.mlp.fc1,encoder/mlp,512,31.59,11.13,54.52,0.02148
backbone.encoder_layers.0.blocks.3.mlp.fc1,encoder/mlp,512,31.58,10.93,54.1,0.01953
backbone.encoder_layers.0.blocks.3.attn.qkv,encoder/attn,512,31.57,10.7,53.87,0.01562
decoder.surf_heads.2t,decoder/misc,1024,31.96,10.49,120.8,0.007812
decoder.surf_heads.10u,decoder/misc,1024,31.96,10.49,120.8,0.007812
decoder.surf_heads.10v,decoder/misc,1024,31.96,10.49,120.8,0.007812
decoder.surf_heads.msl,decoder/misc,1024,31.96,10.49,120.8,0.007812
backbone.encoder_layers.0.blocks.2.mlp.fc1,encoder/mlp,512,31.55,10.44,53.41,0.01562
backbone.encoder_layers.0.blocks.2.attn.qkv,encoder/attn,512,31.54,10.38,53.35,0.01367
backbone.encoder_layers.0.blocks.1.mlp.fc1,encoder/mlp,512,31.52,9.839,52.5,0.01172
decoder.level_decoder.layers.0.1.net.0,decoder/misc,1024,11.44,9.483,20.68,0.01855
