tag,family,lead,label,value,floor_value,removed_pct
W8A8_knee,wind_balance,120,Vag/Vg 850hPa,0.21515191907256234,0.5245092441152525,58.9803380042457
W8A8_knee,wind_balance,120,|Vag| 850hPa,0.34383348533865576,0.8917645635476089,61.4434684452115
W8A8_knee,wind_balance,120,Vag/Vg 500hPa,0.6067756902203572,1.2798353043516582,52.58954897108899
W8A8_knee,wind_balance,120,|Vag| 500hPa,0.2783236924985856,0.6358598062641893,56.2287646181324
W8A8_knee,wind_balance,120,Vag/Vg 250hPa,0.338702431830358,0.595648150332505,43.13716383719378
W8A8_knee,wind_balance,120,|Vag| 250hPa,0.33246102062470245,0.6325234778190533,47.43894380473732
W8A8_span1,wind_balance,120,Vag/Vg 850hPa,0.029770302108926373,0.5245092441152525,94.32416064293714
W8A8_span1,wind_balance,120,|Vag| 850hPa,0.1118543189763871,0.8917645635476089,87.456967505929
W8A8_span1,wind_balance,120,Vag/Vg 500hPa,0.08096884253881903,1.2798353043516582,93.67349515492258
W8A8_span1,wind_balance,120,|Vag| 500hPa,0.05872873912258843,0.6358598062641893,90.76388560119372
W8A8_span1,wind_balance,120,Vag/Vg 250hPa,0.07566649546363971,0.595648150332505,87.29677991589483
W8A8_span1,wind_balance,120,|Vag| 250hPa,0.08936481866658212,0.6325234778190533,85.87169934391798
W8A8_rmse_span1,wind_balance,120,Vag/Vg 850hPa,0.1572324574360009,0.5245092441152525,70.0229387374817
W8A8_rmse_span1,wind_balance,120,|Vag| 850hPa,0.26318677906431925,0.8917645635476089,70.48696597481826
W8A8_rmse_span1,wind_balance,120,Vag/Vg 500hPa,0.38412241561293464,1.2798353043516582,69.98657449854267
W8A8_rmse_span1,wind_balance,120,|Vag| 500hPa,0.18336825598389173,0.6358598062641893,71.16215647263208
W8A8_rmse_span1,wind_balance,120,Vag/Vg 250hPa,0.2721691835114696,0.595648150332505,54.30705470007112
W8A8_rmse_span1,wind_balance,120,|Vag| 250hPa,0.271827027342753,0.6325234778190533,57.02499007941728
W8A8_probe_divergent,wind_balance,120,Vag/Vg 850hPa,0.3324364512108134,0.5245092441152525,36.619524833814786
W8A8_probe_divergent,wind_balance,120,|Vag| 850hPa,0.642903936187355,0.8917645635476089,27.906539184539813
W8A8_probe_divergent,wind_balance,120,Vag/Vg 500hPa,0.8179620670371874,1.2798353043516582,36.08849011619096
W8A8_probe_divergent,wind_balance,120,|Vag| 500hPa,0.43653834020440646,0.6358598062641893,31.34676293361559
W8A8_probe_divergent,wind_balance,120,Vag/Vg 250hPa,0.35908328241976706,0.595648150332505,39.71553807070194
W8A8_probe_divergent,wind_balance,120,|Vag| 250hPa,0.41100582501247973,0.6325234778190533,35.02125384663483
W8A8_probe_rmse_favoured,wind_balance,120,Vag/Vg 850hPa,0.5090655193780577,0.5245092441152525,2.9444142139468776
W8A8_probe_rmse_favoured,wind_balance,120,|Vag| 850hPa,0.8698944348978849,0.8917645635476089,2.452455451102531
W8A8_probe_rmse_favoured,wind_balance,120,Vag/Vg 500hPa,1.2496408870981992,1.2798353043516582,2.359242408049911
W8A8_probe_rmse_favoured,wind_balance,120,|Vag| 500hPa,0.6226797222528117,0.6358598062641893,2.072797160873141
W8A8_probe_rmse_favoured,wind_balance,120,Vag/Vg 250hPa,0.5831041004305595,0.595648150332505,2.1059496105113484
W8A8_probe_rmse_favoured,wind_balance,120,|Vag| 250hPa,0.6236762223585507,0.6325234778190533,1.3987236475408005
