card,scheme,metric,block,order,lead,fp32_mean,quant_mean,pct_diff,sigma,floor_measured,at_floor
rmse,W4,U10,SURFACE,26,72,1.3594478828153806,1.5029846874218606,10.558463212964007,0.0,False,False
rmse,W4,V10,SURFACE,27,72,1.421280092316985,1.6238511618669391,14.252719829468708,0.0,False,False
rmse,W4,MSLP,SURFACE,28,72,149.5880058631787,172.07797865680425,15.034609669304707,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,120,327.9400291671898,506.7740017704661,54.53252323524784,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,120,386.66228204721216,437.5392212515885,13.157978309910298,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,120,297.1992938010881,331.08951601023773,11.403197422074607,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,120,230.93411000911323,256.8536862580638,11.223797232867739,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,120,225.36234002804193,246.02463210343402,9.168476007491345,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,120,1.5974590555083956,3.0024255335952112,87.95007754609907,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,120,1.5904307371276347,2.1240706198847867,33.55316709490421,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,120,1.4751266176350337,1.834729478008635,24.37776229339059,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,120,1.4729339128333738,1.7454369408590815,18.500696171867876,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,120,1.6138719931665446,1.895521052078466,17.451759501650663,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,120,6.315395213919795e-08,1.1715117456491345e-07,85.50093952425964,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,120,3.8513448626662636e-05,4.508949753402528e-05,17.074682070434175,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,120,0.0005178109358779471,0.0006154962515965553,18.86505458850207,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,120,0.0009838760755593553,0.0011270497801963014,14.552005907405434,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,120,0.0011303856292557992,0.0012714952941655245,12.483320847118897,0.0,False,False
rmse,W4,U 50,U-WIND,15,120,2.9665208048054117,4.758787912437213,60.41646850170547,0.0,False,False
rmse,W4,U 250,U-WIND,16,120,5.980561128926917,7.205412479498215,20.480542279668523,0.0,False,False
rmse,W4,U 500,U-WIND,17,120,4.226721002708296,4.981048726105965,17.84664099935456,0.0,False,False
rmse,W4,U 700,U-WIND,18,120,3.2917526328908817,3.7392442761732982,13.59432780006378,0.0,False,False
rmse,W4,U 850,U-WIND,19,120,3.0929176011668686,3.4129250081675537,10.346457560975937,0.0,False,False
rmse,W4,V 50,V-WIND,20,120,2.6729022425314564,3.5815707907681005,33.99557730835905,0.0,False,False
rmse,W4,V 250,V-WIND,21,120,6.359058147904259,8.057172748010746,26.703869670796003,0.0,False,False
rmse,W4,V 500,V-WIND,22,120,4.518226874424861,5.43456312872365,20.280881854022276,0.0,False,False
rmse,W4,V 700,V-WIND,23,120,3.4165260674915365,3.7044088078410033,8.426183048585212,0.0,False,False
rmse,W4,V 850,V-WIND,24,120,3.163425567498881,3.4558436028892365,9.243714737424717,0.0,False,False
rmse,W4,T2M,SURFACE,25,120,1.3100018348978641,1.4614407995327474,11.560210115788912,0.0,False,False
rmse,W4,U10,SURFACE,26,120,2.153504032980011,2.3452120748632743,8.902144548946046,0.0,False,False
rmse,W4,V10,SURFACE,27,120,2.2813153571456968,2.5847740061632307,13.301915847233456,0.0,False,False
rmse,W4,MSLP,SURFACE,28,120,294.1491964766043,330.8221540137447,12.46746820199363,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,168,487.2494026101496,704.4379596288481,44.57441217069527,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,168,640.6684612210171,707.4513249723253,10.42393496692973,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,168,477.04575747420046,523.8452309324535,9.810269292832793,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,168,368.5874963110032,404.86853014194855,9.843262235985486,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,168,351.9858701524251,379.56948628959753,7.836569156945857,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,168,1.9409949071593897,3.8937528820595158,100.60603290082565,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,168,2.1275180877341824,2.7840900204717314,30.86093305259752,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,168,2.1189685370647258,2.546585330175513,20.180422013397987,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,168,2.1499551400086325,2.490886529693677,15.85760480954387,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,168,2.35859095132945,2.697371471330424,14.363682681391454,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,168,7.690846548943105e-08,1.5631679337509994e-07,103.25043853147919,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,168,4.424057173915023e-05,5.250414332210387e-05,18.678717878414943,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,168,0.0006207338232777999,0.0007372588324007905,18.772137871862284,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,168,0.0011939742757268242,0.001361658867184647,14.044238210722412,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,168,0.0013556027775970074,0.0015193366167396455,12.078305079374275,0.0,False,False
rmse,W4,U 50,U-WIND,15,168,3.6911371385777745,5.997135350999147,62.47392404688309,0.0,False,False
rmse,W4,U 250,U-WIND,16,168,8.362173059478774,9.864724391381614,17.96843142584394,0.0,False,False
rmse,W4,U 500,U-WIND,17,168,5.764363744000702,6.703745117706658,16.296358374046452,0.0,False,False
rmse,W4,U 700,U-WIND,18,168,4.462599153978473,4.9931393427135875,11.88859161285258,0.0,False,False
rmse,W4,U 850,U-WIND,19,168,4.174045007652533,4.566844166100388,9.410515644362054,0.0,False,False
rmse,W4,V 50,V-WIND,20,168,3.340340759688218,4.4899560807568095,34.41610912701897,0.0,False,False
rmse,W4,V 250,V-WIND,21,168,9.186497395190157,11.313345429561572,23.15189285837042,0.0,False,False
rmse,W4,V 500,V-WIND,22,168,6.2280874431824,7.322300883882331,17.56901216757508,0.0,False,False
rmse,W4,V 700,V-WIND,23,168,4.666901557194336,5.003226249099035,7.206594949195629,0.0,False,False
rmse,W4,V 850,V-WIND,24,168,4.287314639272843,4.629792579612388,7.98816903248398,0.0,False,False
rmse,W4,T2M,SURFACE,25,168,1.782893884362936,1.9552971771716772,9.669857209159943,0.0,False,False
rmse,W4,U10,SURFACE,26,168,2.9131332894443016,3.149047390616587,8.098294095471598,0.0,False,False
rmse,W4,V10,SURFACE,27,168,3.064912866059477,3.432030451451142,11.978075770345264,0.0,False,False
rmse,W4,MSLP,SURFACE,28,168,456.9132836501472,505.0874696670161,10.54339800148057,0.0,False,False
physics,W4,RMSE Z500,RMSE,0,24,47.394000417207764,56.10873241626581,18.387837959114144,8.312793488198138e-05,True,False
physics,W4,RMSE T850,RMSE,1,24,0.5732426877188003,0.6411456621695144,11.845414848801946,4.3245072060442985e-07,True,False
physics,W4,RMSE Q700,RMSE,2,24,0.0004653732107469364,0.0005045291690661893,8.413883183436056,4.6231744295739106e-10,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,24,2.565356510877609,3.3439311027526855,30.349566953901697,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,24,5.286162281036377,5.796726858615875,9.658511230559478,2.1254762690118018e-05,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,24,2.5928920030593874,2.999981075525284,15.700193914191825,1.02063442798371e-05,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,24,2.6449722170829775,2.8398949682712553,7.369557605533169,1.3016639871800198e-06,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,24,0.1785370036959648,0.23092477582395077,29.34280907794242,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,24,0.20059208571910858,0.2184763878583908,8.91575660882544,7.827865316512737e-07,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,24,0.16025833338499068,0.1831644546240568,14.293248129592397,5.816525601326151e-07,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,24,0.27441602647304536,0.2906382068991661,5.911528067298998,1.34681133513755e-07,True,False
physics,W4,HypsRel 600-500,BALANCE,11,24,0.0018897587820625942,0.0028564014918027376,51.151645327193165,9.871793043194891e-09,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,24,17387932035712.0,18763811228032.0,7.912839718341242,249942987.7106383,True,False
physics,W4,neg-q fraction,CONSERVATION,13,24,0.0022372906965756555,0.02281517693772912,919.7681049069525,1.798071799443123e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,24,110774068403.2,3807887176499.2,3337.5257958740813,1146309.1744680852,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,24,0.01174367938842653,0.009776907083277022,-16.74749659027455,1.5141757831036094e-07,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,24,0.034571250479333314,0.025603525283445495,-25.93983460693365,3.8565798627728224e-07,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,24,0.5580128893642261,0.3040100343160858,-45.5191734616631,2.4855429457472876e-06,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,24,0.1488671420164445,0.08795603166289988,-40.916423549540646,2.7205748261717366e-06,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,24,0.11019972140014751,0.09709908608423239,-11.888083880307876,5.298487113893464e-07,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,24,0.15960012144505045,0.11246114840337759,-29.53567491983556,8.175958987881167e-07,True,False
