tag,family,lead,block,value,floor_value,removed_pct,ci_lo,ci_hi,significant
W8A8_knee,wind_balance,120,1,0.35254137326420354,0.7600234244050444,53.61440687960675,52.52857652542066,54.63665590497266,True
W8A8_span1,wind_balance,120,1,0.07439225281282379,0.7600234244050444,90.21184736890721,89.33022808785802,91.06867669909862,True
W8A8_rmse_span1,wind_balance,120,1,0.25531768649189485,0.7600234244050444,66.40660296861762,65.53242769520308,67.27460737134376,True
W8A8_probe_divergent,wind_balance,120,1,0.49998831701200147,0.7600234244050444,34.214091177071495,33.10064368658184,35.38081549673524,True
W8A8_probe_rmse_favoured,wind_balance,120,1,0.7430101477360105,0.7600234244050444,2.238520040662184,0.6836239814812334,3.8144173400772017,True
W8A8_knee,wind_balance,120,2,0.35254137326420354,0.7600234244050444,53.61440687960675,52.444758272654504,54.575099839095955,True
W8A8_span1,wind_balance,120,2,0.07439225281282379,0.7600234244050444,90.21184736890721,89.33220049971786,91.09721305662553,True
W8A8_rmse_span1,wind_balance,120,2,0.25531768649189485,0.7600234244050444,66.40660296861762,65.46486139882346,67.30698427493655,True
W8A8_probe_divergent,wind_balance,120,2,0.49998831701200147,0.7600234244050444,34.214091177071495,33.20145817775528,35.36218413105591,True
W8A8_probe_rmse_favoured,wind_balance,120,2,0.7430101477360105,0.7600234244050444,2.238520040662184,1.081480962198946,3.479166732522582,True
W8A8_knee,wind_balance,120,3,0.35254137326420354,0.7600234244050444,53.61440687960675,52.42360673568142,54.62488430969031,True
W8A8_span1,wind_balance,120,3,0.07439225281282379,0.7600234244050444,90.21184736890721,89.25618870657776,91.17749453531589,True
W8A8_rmse_span1,wind_balance,120,3,0.25531768649189485,0.7600234244050444,66.40660296861762,65.48024950400155,67.26224648257923,True
W8A8_probe_divergent,wind_balance,120,3,0.49998831701200147,0.7600234244050444,34.214091177071495,33.11621027448769,35.47108931866498,True
W8A8_probe_rmse_favoured,wind_balance,120,3,0.7430101477360105,0.7600234244050444,2.238520040662184,1.2222629699777652,3.3502617237413608,True
