# per-initialisation RMSE degradation vs FP32, percent. source=harness_results.pt vars=7. Spread over inits is WEATHER VARIABILITY, not an interval on the mean -- inits are autocorrelated and n_eff is well below n.
tag,lead,init,deg_pct
W8A8_floor,24,10,1.66218
W8A8_floor,24,11,1.78172
W8A8_floor,24,12,1.92847
W8A8_floor,24,13,1.90405
W8A8_floor,24,14,1.8514
W8A8_floor,24,15,1.32809
W8A8_floor,24,16,2.09963
W8A8_floor,24,17,2.10594
W8A8_floor,24,18,1.52941
W8A8_floor,24,19,1.718
W8A8_floor,24,20,1.30664
W8A8_floor,24,21,1.55008
W8A8_floor,24,22,1.66571
W8A8_floor,24,23,1.80624
W8A8_floor,24,24,1.62514
W8A8_floor,24,25,1.71571
W8A8_floor,24,26,1.41802
W8A8_floor,24,27,1.20305
W8A8_floor,24,28,1.8931
W8A8_floor,24,29,1.65198
W8A8_floor,24,30,1.47307
W8A8_floor,24,31,1.97016
W8A8_floor,24,32,1.20429
W8A8_floor,24,33,1.83535
W8A8_floor,24,34,1.87991
W8A8_floor,24,35,1.66275
W8A8_floor,24,36,1.56001
W8A8_floor,24,37,1.69125
W8A8_floor,24,38,1.54095
W8A8_floor,24,39,1.93132
W8A8_floor,24,40,1.71301
W8A8_floor,24,41,1.75747
W8A8_floor,24,42,1.77609
W8A8_floor,24,43,1.65929
W8A8_floor,24,44,1.86581
W8A8_floor,24,45,1.68374
W8A8_floor,24,46,1.56035
W8A8_floor,72,0,1.50245
W8A8_floor,72,1,1.12291
W8A8_floor,72,2,0.820841
W8A8_floor,72,3,1.12472
W8A8_floor,72,4,2.03122
W8A8_floor,72,5,0.935138
W8A8_floor,72,6,0.133527
W8A8_floor,72,7,0.123014
W8A8_floor,72,8,1.95837
W8A8_floor,72,9,-0.717064
W8A8_floor,72,10,-0.0499368
W8A8_floor,72,11,1.14872
W8A8_floor,72,12,1.54223
W8A8_floor,72,13,-0.0533531
W8A8_floor,72,14,0.905393
W8A8_floor,72,15,2.09212
W8A8_floor,72,16,2.14646
W8A8_floor,72,17,3.31252
W8A8_floor,72,18,1.26366
W8A8_floor,72,19,0.542802
W8A8_floor,72,20,1.18151
W8A8_floor,72,21,0.0340364
W8A8_floor,72,22,1.49726
W8A8_floor,72,23,2.31134
W8A8_floor,72,24,2.65544
W8A8_floor,72,25,1.24948
W8A8_floor,72,26,0.702261
W8A8_floor,72,27,2.54689
W8A8_floor,72,28,1.03218
W8A8_floor,72,29,-0.315984
W8A8_floor,72,30,0.395094
W8A8_floor,72,31,1.12885
W8A8_floor,72,32,0.843775
W8A8_floor,72,33,1.81431
W8A8_floor,72,34,1.70567
W8A8_floor,72,35,1.23534
W8A8_floor,72,36,1.40448
W8A8_floor,72,37,0.674313
W8A8_floor,72,38,0.903405
W8A8_floor,72,39,2.71401
W8A8_floor,72,40,0.349767
W8A8_floor,72,41,1.82794
W8A8_floor,72,42,0.52717
W8A8_floor,72,43,0.647988
W8A8_floor,72,44,1.0521
W8A8_floor,72,45,2.90112
W8A8_floor,72,46,1.83104
W8A8_floor,120,0,0.559537
W8A8_floor,120,1,0.765284
W8A8_floor,120,2,1.65879
W8A8_floor,120,3,2.04915
W8A8_floor,120,4,0.810679
W8A8_floor,120,5,1.13283
W8A8_floor,120,6,-2.73833
W8A8_floor,120,7,-0.460976
W8A8_floor,120,8,2.49332
W8A8_floor,120,9,-1.34401
W8A8_floor,120,10,0.0113782
W8A8_floor,120,11,1.11759
W8A8_floor,120,12,2.33302
W8A8_floor,120,13,-0.350669
W8A8_floor,120,14,-1.52265
W8A8_floor,120,15,1.47547
W8A8_floor,120,16,2.63054
W8A8_floor,120,17,4.0433
W8A8_floor,120,18,-0.661898
W8A8_floor,120,19,0.577572
W8A8_floor,120,20,0.502057
W8A8_floor,120,21,-0.767872
W8A8_floor,120,22,0.193126
W8A8_floor,120,23,1.99267
W8A8_floor,120,24,2.40435
W8A8_floor,120,25,0.478981
W8A8_floor,120,26,-0.345039
W8A8_floor,120,27,1.19421
W8A8_floor,120,28,0.518061
W8A8_floor,120,29,-0.904587
W8A8_floor,120,30,-0.0407609
W8A8_floor,120,31,1.32843
W8A8_floor,120,32,-0.846915
W8A8_floor,120,33,0.414493
W8A8_floor,120,34,1.50946
W8A8_floor,120,35,2.72615
W8A8_floor,120,36,1.34766
W8A8_floor,120,37,0.346696
W8A8_floor,120,38,2.22418
W8A8_floor,120,39,2.39747
W8A8_floor,120,40,0.464933
W8A8_floor,120,41,1.37256
W8A8_floor,120,42,-1.71938
W8A8_floor,120,43,-0.0430582
W8A8_floor,120,44,0.270664
W8A8_floor,120,45,2.30791
W8A8_floor,120,46,0.839073
W8A8_floor,168,0,-0.842784
W8A8_floor,168,1,-0.0533448
W8A8_floor,168,2,1.75476
W8A8_floor,168,3,3.53898
W8A8_floor,168,4,-0.168053
W8A8_floor,168,5,1.32919
W8A8_floor,168,6,-0.269807
W8A8_floor,168,7,0.155574
W8A8_floor,168,8,1.92529
W8A8_floor,168,9,-2.54977
W8A8_floor,168,10,-0.130103
W8A8_floor,168,11,3.1161
W8A8_floor,168,12,2.69581
W8A8_floor,168,13,0.703782
W8A8_floor,168,14,-3.1996
W8A8_floor,168,15,0.884449
W8A8_floor,168,16,1.40388
W8A8_floor,168,17,5.32284
W8A8_floor,168,18,1.63236
W8A8_floor,168,19,0.364551
W8A8_floor,168,20,0.0461793
W8A8_floor,168,21,0.436742
W8A8_floor,168,22,0.867632
W8A8_floor,168,23,0.418903
W8A8_floor,168,24,2.26804
W8A8_floor,168,25,-1.01826
W8A8_floor,168,26,-2.13116
W8A8_floor,168,27,1.53975
W8A8_floor,168,28,-0.100956
W8A8_floor,168,29,-1.58008
W8A8_floor,168,30,-2.05918
W8A8_floor,168,31,2.34291
W8A8_floor,168,32,0.896468
W8A8_floor,168,33,0.616714
W8A8_floor,168,34,0.61142
W8A8_floor,168,35,1.60208
W8A8_floor,168,36,2.52573
W8A8_floor,168,37,0.517906
W8A8_floor,168,38,-0.31882
W8A8_floor,168,39,1.25566
W8A8_floor,168,40,-1.11655
W8A8_floor,168,41,-0.215679
W8A8_floor,168,42,-4.32656
W8A8_floor,168,43,-0.637964
W8A8_floor,168,44,-0.76514
W8A8_floor,168,45,0.803071
W8A8_floor,168,46,1.18695
W8A8_knee,24,0,0.288277
W8A8_knee,24,1,0.316959
W8A8_knee,24,2,0.491158
W8A8_knee,24,3,0.518273
W8A8_knee,24,4,0.152253
W8A8_knee,24,5,0.467818
W8A8_knee,24,6,0.582773
W8A8_knee,24,7,0.393455
W8A8_knee,24,8,0.581717
W8A8_knee,24,9,0.55426
W8A8_knee,24,10,0.610978
W8A8_knee,24,11,0.301264
W8A8_knee,24,12,0.634644
W8A8_knee,24,13,0.434468
W8A8_knee,24,14,0.547745
W8A8_knee,24,15,0.269742
W8A8_knee,24,16,0.347354
W8A8_knee,24,17,0.578377
W8A8_knee,24,18,0.453811
W8A8_knee,24,19,0.458217
W8A8_knee,24,20,0.272783
W8A8_knee,24,21,0.536493
W8A8_knee,24,22,0.374056
W8A8_knee,24,23,0.436086
W8A8_knee,24,24,0.518363
W8A8_knee,24,25,0.469314
W8A8_knee,24,26,0.314778
W8A8_knee,24,27,0.263986
W8A8_knee,24,28,0.576964
W8A8_knee,24,29,0.699979
W8A8_knee,24,30,0.200984
W8A8_knee,24,31,0.362496
W8A8_knee,24,32,0.298921
W8A8_knee,24,33,0.472167
W8A8_knee,24,34,0.312452
W8A8_knee,24,35,0.453573
W8A8_knee,24,36,0.547514
W8A8_knee,24,37,0.433058
W8A8_knee,24,38,0.580159
W8A8_knee,24,39,0.419433
W8A8_knee,24,40,0.538143
W8A8_knee,24,41,0.788164
W8A8_knee,24,42,0.499384
W8A8_knee,24,43,0.558464
W8A8_knee,24,44,0.277629
W8A8_knee,24,45,0.456051
W8A8_knee,24,46,0.450083
W8A8_knee,72,0,0.879265
W8A8_knee,72,1,0.077228
W8A8_knee,72,2,0.290639
W8A8_knee,72,3,0.437024
W8A8_knee,72,4,-0.180518
W8A8_knee,72,5,0.556098
W8A8_knee,72,6,0.394597
W8A8_knee,72,7,-0.88324
W8A8_knee,72,8,0.0789688
W8A8_knee,72,9,-0.815933
W8A8_knee,72,10,-0.733897
W8A8_knee,72,11,-0.0730534
W8A8_knee,72,12,0.420518
W8A8_knee,72,13,-0.0724255
W8A8_knee,72,14,0.204313
W8A8_knee,72,15,0.523693
W8A8_knee,72,16,0.14894
W8A8_knee,72,17,0.826592
W8A8_knee,72,18,0.120416
W8A8_knee,72,19,0.440082
W8A8_knee,72,20,0.26053
W8A8_knee,72,21,0.269146
W8A8_knee,72,22,0.095085
W8A8_knee,72,23,0.347627
W8A8_knee,72,24,0.382364
W8A8_knee,72,25,0.224757
W8A8_knee,72,26,-0.064361
W8A8_knee,72,27,0.760148
W8A8_knee,72,28,0.512784
W8A8_knee,72,29,-0.150344
W8A8_knee,72,30,-0.491514
W8A8_knee,72,31,0.446733
W8A8_knee,72,32,0.206541
W8A8_knee,72,33,0.249934
W8A8_knee,72,34,0.28641
W8A8_knee,72,35,0.299979
W8A8_knee,72,36,1.32101
W8A8_knee,72,37,0.106485
W8A8_knee,72,38,-0.0114508
W8A8_knee,72,39,0.315419
W8A8_knee,72,40,1.26122
W8A8_knee,72,41,0.760581
W8A8_knee,72,42,0.22215
W8A8_knee,72,43,0.532219
W8A8_knee,72,44,0.469055
W8A8_knee,72,45,0.15506
W8A8_knee,72,46,0.463705
W8A8_knee,120,0,0.420724
W8A8_knee,120,1,0.597636
W8A8_knee,120,2,0.627234
W8A8_knee,120,3,1.3844
W8A8_knee,120,4,-0.0642742
W8A8_knee,120,5,0.596256
W8A8_knee,120,6,-0.431821
W8A8_knee,120,7,-0.246629
W8A8_knee,120,8,0.286239
W8A8_knee,120,9,-1.75055
W8A8_knee,120,10,-0.157
W8A8_knee,120,11,-0.273215
W8A8_knee,120,12,0.82583
W8A8_knee,120,13,-0.0874398
W8A8_knee,120,14,0.561716
W8A8_knee,120,15,1.06425
W8A8_knee,120,16,1.49251
W8A8_knee,120,17,-0.032307
W8A8_knee,120,18,-0.913807
W8A8_knee,120,19,0.370894
W8A8_knee,120,20,0.88385
W8A8_knee,120,21,-0.611488
W8A8_knee,120,22,-0.131444
W8A8_knee,120,23,1.00387
W8A8_knee,120,24,0.291671
W8A8_knee,120,25,0.247259
W8A8_knee,120,26,-0.977069
W8A8_knee,120,27,0.670091
W8A8_knee,120,28,0.570507
W8A8_knee,120,29,-1.05163
W8A8_knee,120,30,-0.772728
W8A8_knee,120,31,-0.642991
W8A8_knee,120,32,-0.586445
W8A8_knee,120,33,0.0141975
W8A8_knee,120,34,-0.397745
W8A8_knee,120,35,0.532097
W8A8_knee,120,36,0.434809
W8A8_knee,120,37,-0.244639
W8A8_knee,120,38,0.000317482
W8A8_knee,120,39,0.830061
W8A8_knee,120,40,0.74557
W8A8_knee,120,41,-0.200586
W8A8_knee,120,42,0.107443
W8A8_knee,120,43,0.426644
W8A8_knee,120,44,0.638971
W8A8_knee,120,45,-0.883844
W8A8_knee,120,46,0.444435
W8A8_knee,168,0,-0.0194297
W8A8_knee,168,1,0.7818
W8A8_knee,168,2,0.43835
W8A8_knee,168,3,1.02907
W8A8_knee,168,4,-0.42482
W8A8_knee,168,5,0.892743
W8A8_knee,168,6,-0.105217
W8A8_knee,168,7,0.8748
W8A8_knee,168,8,-0.272576
W8A8_knee,168,9,-1.61045
W8A8_knee,168,10,-0.70034
W8A8_knee,168,11,0.913809
W8A8_knee,168,12,1.27766
W8A8_knee,168,13,-0.332692
W8A8_knee,168,14,-0.516385
W8A8_knee,168,15,1.45866
W8A8_knee,168,16,0.456181
W8A8_knee,168,17,0.742077
W8A8_knee,168,18,-0.174487
W8A8_knee,168,19,0.538445
W8A8_knee,168,20,0.378892
W8A8_knee,168,21,-0.900412
W8A8_knee,168,22,0.105636
W8A8_knee,168,23,1.97005
W8A8_knee,168,24,-0.0242841
W8A8_knee,168,25,0.309113
W8A8_knee,168,26,-0.565854
W8A8_knee,168,27,-0.180171
W8A8_knee,168,28,-0.0253057
W8A8_knee,168,29,-1.21938
W8A8_knee,168,30,-0.739639
W8A8_knee,168,31,-0.907521
W8A8_knee,168,32,-0.100232
W8A8_knee,168,33,-0.510669
W8A8_knee,168,34,-0.938076
W8A8_knee,168,35,0.51607
W8A8_knee,168,36,1.14583
W8A8_knee,168,37,-0.750581
W8A8_knee,168,38,-0.791241
W8A8_knee,168,39,0.30938
W8A8_knee,168,40,-0.759658
W8A8_knee,168,41,-0.18283
W8A8_knee,168,42,-0.293396
W8A8_knee,168,43,2.10849
W8A8_knee,168,44,-0.578203
W8A8_knee,168,45,-0.0407227
W8A8_knee,168,46,1.74874
W8A8_span1,24,0,0.182933
W8A8_span1,24,1,0.160281
W8A8_span1,24,2,0.12822
W8A8_span1,24,3,0.187362
W8A8_span1,24,4,-0.00143903
W8A8_span1,24,5,0.452238
W8A8_span1,24,6,0.303673
W8A8_span1,24,7,0.212013
W8A8_span1,24,8,0.334168
W8A8_span1,24,9,0.26995
W8A8_span1,24,10,0.317817
W8A8_span1,24,11,0.0869921
W8A8_span1,24,12,0.412036
W8A8_span1,24,13,0.224996
W8A8_span1,24,14,0.374962
W8A8_span1,24,15,0.0101227
W8A8_span1,24,16,0.218639
W8A8_span1,24,17,0.191388
W8A8_span1,24,18,0.165997
W8A8_span1,24,19,0.28378
W8A8_span1,24,20,0.0789286
W8A8_span1,24,21,0.219738
W8A8_span1,24,22,0.21671
W8A8_span1,24,23,0.226811
W8A8_span1,24,24,0.162387
W8A8_span1,24,25,0.253474
W8A8_span1,24,26,0.160213
W8A8_span1,24,27,0.0831786
W8A8_span1,24,28,0.328402
W8A8_span1,24,29,0.344435
W8A8_span1,24,30,0.368005
W8A8_span1,24,31,0.252382
W8A8_span1,24,32,0.110222
W8A8_span1,24,33,0.27213
W8A8_span1,24,34,0.0199027
W8A8_span1,24,35,0.271645
W8A8_span1,24,36,0.387703
W8A8_span1,24,37,0.0923476
W8A8_span1,24,38,0.250659
W8A8_span1,24,39,0.193258
W8A8_span1,24,40,0.456622
W8A8_span1,24,41,0.380897
W8A8_span1,24,42,0.252347
W8A8_span1,24,43,0.352615
W8A8_span1,24,44,0.22958
W8A8_span1,24,45,0.235163
W8A8_span1,24,46,0.382763
W8A8_span1,72,0,0.907062
W8A8_span1,72,1,0.422999
W8A8_span1,72,2,0.0554286
W8A8_span1,72,3,-0.154171
W8A8_span1,72,4,0.286382
W8A8_span1,72,5,0.370061
W8A8_span1,72,6,0.296664
W8A8_span1,72,7,-1.52039
W8A8_span1,72,8,-0.0511857
W8A8_span1,72,9,-0.0490252
W8A8_span1,72,10,-0.224618
W8A8_span1,72,11,0.104707
W8A8_span1,72,12,0.65451
W8A8_span1,72,13,0.220681
W8A8_span1,72,14,0.150172
W8A8_span1,72,15,-0.319091
W8A8_span1,72,16,0.199479
W8A8_span1,72,17,0.241357
W8A8_span1,72,18,0.111976
W8A8_span1,72,19,0.472309
W8A8_span1,72,20,0.553464
W8A8_span1,72,21,0.0938722
W8A8_span1,72,22,-0.222709
W8A8_span1,72,23,-0.340685
W8A8_span1,72,24,0.0792654
W8A8_span1,72,25,-0.394312
W8A8_span1,72,26,0.076906
W8A8_span1,72,27,0.238233
W8A8_span1,72,28,0.753663
W8A8_span1,72,29,0.481004
W8A8_span1,72,30,-0.160031
W8A8_span1,72,31,0.344313
W8A8_span1,72,32,0.197637
W8A8_span1,72,33,-0.017485
W8A8_span1,72,34,-0.460781
W8A8_span1,72,35,0.583759
W8A8_span1,72,36,0.734177
W8A8_span1,72,37,-0.0785184
W8A8_span1,72,38,-0.278067
W8A8_span1,72,39,0.460832
W8A8_span1,72,40,0.930445
W8A8_span1,72,41,0.703326
W8A8_span1,72,42,0.0691632
W8A8_span1,72,43,0.935034
W8A8_span1,72,44,0.424127
W8A8_span1,72,45,0.499592
W8A8_span1,72,46,0.487981
W8A8_span1,120,0,1.16635
W8A8_span1,120,1,0.655685
W8A8_span1,120,2,0.354566
W8A8_span1,120,3,0.154806
W8A8_span1,120,4,0.497941
W8A8_span1,120,5,0.019543
W8A8_span1,120,6,0.494653
W8A8_span1,120,7,-1.51318
W8A8_span1,120,8,-0.392885
W8A8_span1,120,9,-0.703959
W8A8_span1,120,10,-0.382761
W8A8_span1,120,11,0.0828325
W8A8_span1,120,12,1.42177
W8A8_span1,120,13,-0.796724
W8A8_span1,120,14,-0.503281
W8A8_span1,120,15,-0.281565
W8A8_span1,120,16,0.90933
W8A8_span1,120,17,-0.164407
W8A8_span1,120,18,-0.559349
W8A8_span1,120,19,0.270007
W8A8_span1,120,20,0.563358
W8A8_span1,120,21,0.0153461
W8A8_span1,120,22,-0.530089
W8A8_span1,120,23,-0.190474
W8A8_span1,120,24,-0.333332
W8A8_span1,120,25,0.425403
W8A8_span1,120,26,0.159297
W8A8_span1,120,27,0.018981
W8A8_span1,120,28,0.998205
W8A8_span1,120,29,0.0847508
W8A8_span1,120,30,-0.194717
W8A8_span1,120,31,-0.339893
W8A8_span1,120,32,-0.14478
W8A8_span1,120,33,0.320324
W8A8_span1,120,34,-0.927974
W8A8_span1,120,35,0.764288
W8A8_span1,120,36,0.11227
W8A8_span1,120,37,-0.106097
W8A8_span1,120,38,0.210607
W8A8_span1,120,39,1.22025
W8A8_span1,120,40,1.16624
W8A8_span1,120,41,0.0771607
W8A8_span1,120,42,-0.47097
W8A8_span1,120,43,0.918085
W8A8_span1,120,44,1.58234
W8A8_span1,120,45,1.95796
W8A8_span1,120,46,0.920557
W8A8_span1,168,0,0.674985
W8A8_span1,168,1,0.775238
W8A8_span1,168,2,-0.952859
W8A8_span1,168,3,0.542278
W8A8_span1,168,4,-0.38141
W8A8_span1,168,5,0.0882997
W8A8_span1,168,6,0.40444
W8A8_span1,168,7,-0.0157364
W8A8_span1,168,8,-0.964983
W8A8_span1,168,9,-0.805736
W8A8_span1,168,10,-0.804272
W8A8_span1,168,11,1.12147
W8A8_span1,168,12,1.48358
W8A8_span1,168,13,-1.45021
W8A8_span1,168,14,-1.06457
W8A8_span1,168,15,0.477289
W8A8_span1,168,16,-0.214191
W8A8_span1,168,17,1.18199
W8A8_span1,168,18,0.399997
W8A8_span1,168,19,-0.258491
W8A8_span1,168,20,0.00683639
W8A8_span1,168,21,-0.465215
W8A8_span1,168,22,-0.0478512
W8A8_span1,168,23,0.201426
W8A8_span1,168,24,0.290203
W8A8_span1,168,25,0.303927
W8A8_span1,168,26,0.641527
W8A8_span1,168,27,-1.26451
W8A8_span1,168,28,1.21853
W8A8_span1,168,29,0.219548
W8A8_span1,168,30,-0.602508
W8A8_span1,168,31,0.382594
W8A8_span1,168,32,-0.174845
W8A8_span1,168,33,-0.473654
W8A8_span1,168,34,-0.553562
W8A8_span1,168,35,0.602366
W8A8_span1,168,36,-0.115506
W8A8_span1,168,37,-0.672615
W8A8_span1,168,38,0.132562
W8A8_span1,168,39,1.31675
W8A8_span1,168,40,0.039626
W8A8_span1,168,41,-0.498339
W8A8_span1,168,42,-0.993258
W8A8_span1,168,43,1.17755
W8A8_span1,168,44,1.86839
W8A8_span1,168,45,1.46138
W8A8_span1,168,46,1.95542
W8A8_span2,24,0,0.082405
W8A8_span2,24,1,0.131667
W8A8_span2,24,2,0.0969305
W8A8_span2,24,3,0.135305
W8A8_span2,24,4,0.0439135
W8A8_span2,24,5,0.327787
W8A8_span2,24,6,0.218325
W8A8_span2,24,7,0.0783383
W8A8_span2,24,8,0.163743
W8A8_span2,24,9,0.223905
W8A8_span2,24,10,0.205429
W8A8_span2,24,11,-0.0255935
W8A8_span2,24,12,0.228691
W8A8_span2,24,13,0.188489
W8A8_span2,24,14,0.160367
W8A8_span2,24,15,-0.0531191
W8A8_span2,24,16,0.271864
W8A8_span2,24,17,0.194096
W8A8_span2,24,18,0.121566
W8A8_span2,24,19,0.236526
W8A8_span2,24,20,0.0201436
W8A8_span2,24,21,0.14863
W8A8_span2,24,22,0.0747776
W8A8_span2,24,23,0.0977083
W8A8_span2,24,24,0.170779
W8A8_span2,24,25,0.0878015
W8A8_span2,24,26,0.191894
W8A8_span2,24,27,0.0541406
W8A8_span2,24,28,0.209083
W8A8_span2,24,29,0.236672
W8A8_span2,24,30,0.0540236
W8A8_span2,24,31,-0.0151655
W8A8_span2,24,32,-0.0297586
W8A8_span2,24,33,0.141369
W8A8_span2,24,34,0.0422603
W8A8_span2,24,35,0.128443
W8A8_span2,24,36,0.203582
W8A8_span2,24,37,0.157703
W8A8_span2,24,38,0.304834
W8A8_span2,24,39,0.158105
W8A8_span2,24,40,0.239293
W8A8_span2,24,41,0.232482
W8A8_span2,24,42,0.164915
W8A8_span2,24,43,0.228704
W8A8_span2,24,44,0.139067
W8A8_span2,24,45,0.0163182
W8A8_span2,24,46,0.180216
W8A8_span2,72,0,0.292094
W8A8_span2,72,1,-0.0518124
W8A8_span2,72,2,-0.184135
W8A8_span2,72,3,0.390956
W8A8_span2,72,4,0.158722
W8A8_span2,72,5,0.0249011
W8A8_span2,72,6,0.474864
W8A8_span2,72,7,-1.17651
W8A8_span2,72,8,-0.069297
W8A8_span2,72,9,-0.651971
W8A8_span2,72,10,-0.237499
W8A8_span2,72,11,-0.128786
W8A8_span2,72,12,0.453233
W8A8_span2,72,13,0.180646
W8A8_span2,72,14,-0.294757
W8A8_span2,72,15,-0.252116
