axis,lead,n_members,median,p90,p95,max
balance,120,15,0.0006462805702,0.001056456944,0.001104196613,0.001171507357
conservation,120,15,0.0006734006734,0.001481481481,0.002037037037,0.002861952862
standard,120,15,0.00156190534,0.003015266699,0.003371678536,0.003378778296
