,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9727,0.9091,0.8909,0.9000,0.9182,0.3727,0.9091,0.8909,0.1000
|Vag| 850hPa,0.9727,1.0000,0.9000,0.8909,0.8909,0.8818,0.3273,0.8545,0.8273,0.2273
Vag/Vg 500hPa,0.9091,0.9000,1.0000,0.9909,0.9909,0.9818,0.4273,0.9182,0.8455,0.2909
|Vag| 500hPa,0.8909,0.8909,0.9909,1.0000,0.9818,0.9727,0.4364,0.9091,0.8273,0.3182
Vag/Vg 250hPa,0.9000,0.8909,0.9909,0.9818,1.0000,0.9909,0.4545,0.9273,0.8818,0.2636
|Vag| 250hPa,0.9182,0.8818,0.9818,0.9727,0.9909,1.0000,0.4636,0.9455,0.9182,0.1909
div/vort 850hPa,0.3727,0.3273,0.4273,0.4364,0.4545,0.4636,1.0000,0.6636,0.5091,-0.3636
div/vort 500hPa,0.9091,0.8545,0.9182,0.9091,0.9273,0.9455,0.6636,1.0000,0.9000,0.0091
div/vort 250hPa,0.8909,0.8273,0.8455,0.8273,0.8818,0.9182,0.5091,0.9000,1.0000,0.0091
HypsRel 600-500,0.1000,0.2273,0.2909,0.3182,0.2636,0.1909,-0.3636,0.0091,0.0091,1.0000
