,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9182,0.5455,0.5909,0.6091,0.6182,0.8091,0.7091,0.6000,-0.3909
|Vag| 850hPa,0.9182,1.0000,0.7364,0.7545,0.8091,0.8182,0.8364,0.7727,0.7455,-0.2909
Vag/Vg 500hPa,0.5455,0.7364,1.0000,0.9818,0.8182,0.8091,0.6818,0.6273,0.8455,0.1364
|Vag| 500hPa,0.5909,0.7545,0.9818,1.0000,0.7818,0.7909,0.7273,0.5818,0.8000,0.0636
Vag/Vg 250hPa,0.6091,0.8091,0.8182,0.7818,1.0000,0.9909,0.6636,0.7091,0.7273,-0.0091
|Vag| 250hPa,0.6182,0.8182,0.8091,0.7909,0.9909,1.0000,0.6909,0.7182,0.7364,-0.0727
div/vort 850hPa,0.8091,0.8364,0.6818,0.7273,0.6636,0.6909,1.0000,0.6091,0.6364,-0.5636
div/vort 500hPa,0.7091,0.7727,0.6273,0.5818,0.7091,0.7182,0.6091,1.0000,0.9000,-0.1636
div/vort 250hPa,0.6000,0.7455,0.8455,0.8000,0.7273,0.7364,0.6364,0.9000,1.0000,-0.0273
HypsRel 600-500,-0.3909,-0.2909,0.1364,0.0636,-0.0091,-0.0727,-0.5636,-0.1636,-0.0273,1.0000
