scheme,group,lead,mean_physics_share,mean_rmse_share,mean_physics_abs_svr,mean_rmse_abs_svr,standard_share,standard_svr,balance_share,balance_svr,conservation_share,conservation_svr,spectral_share,spectral_svr,extremes_share,extremes_svr,perturbation_share,perturbation_svr,legacy_mean_physics_share,legacy_mean_physics_abs_svr
W4,embed,24,0.3746950343933032,0.20295942319788762,1.902748655535522,0.6115085968533193,0.20295942319788762,0.6115085968533193,0.19138526176267967,0.704047377292688,0.5580048070239267,3.101449933778356,0.41554121265523436,0.7837843198704704,-0.4445559545158471,0.377257820155221,0.06060714506671129,nan,0.25255531718912705,0.9529662376259674
W4,b0-5_attn,24,0.009360872816933038,0.010114763444586108,0.038960172571769584,0.03163332684392051,0.010114763444586108,0.03163332684392051,0.0030416478639736996,0.028439473404762845,0.015680097769892376,0.04948087173877632,-0.021152968861748476,0.0556519261957084,-0.05956886314247136,0.013907930726459785,0.0013639397821608235,nan,-0.009965911898082557,0.03772702117154186
W4,b0-5_mlp,24,0.002764234275356488,0.015604841245783154,0.03861460974772446,0.047089242166607474,0.015604841245783154,0.047089242166607474,0.006143710645560691,0.03860062600266211,-0.0006152420948477149,0.038628593492786814,0.007314682121342524,0.053554623968794145,-0.1010363274126732,0.044311545171424986,0.003042940875419846,nan,-9.452388918361637e-05,0.04535177271190503
W4,b6-11_attn,24,0.010578261790222372,0.10647169416903883,0.10390235410529969,0.32094001349773504,0.10647169416903883,0.32094001349773504,0.01669998086178987,0.07304524146534412,0.004456542718654874,0.13475946674525527,-0.03512071402893089,0.12166649017093434,-0.15809635988875925,0.05850044187616956,0.01505169994142743,nan,-0.016464160364798364,0.10668427043240389
W4,b6-11_mlp,24,0.012166022451990345,0.04431690900067909,0.03860295096235928,0.13636616606787358,0.04431690900067909,0.13636616606787358,0.007628532514664914,0.026034264838350567,0.016703512389315774,0.05117163708636799,-0.05981634603803944,0.12715659830307308,-0.09563108900981843,0.08014125568072684,0.0075904952945332225,nan,-0.03195171554973795,0.08330234443911468
W4,b12-17_attn,24,-0.015620800724125842,0.029206894886812367,0.04613514707698549,0.08840323605122226,0.029206894886812367,0.08840323605122226,0.006492413050096795,0.053425954232053346,-0.03773401449834848,0.03884433992191764,0.0033815414425944685,0.09764727572100777,-0.10413902036709481,0.05947875370410862,0.005888217585990936,nan,-0.008751687962687936,0.06789811447102947
W4,b12-17_mlp,24,0.019189729889675097,0.046778608401706,0.037069384560528953,0.13641837541758361,0.046778608401706,0.13641837541758361,0.014482561245424469,0.04314932311638722,0.023896898533925723,0.03098944600467069,0.012269513232485898,0.06531388131201568,-0.05436272754455932,0.028846609680416746,0.010057427740541757,nan,0.006377889477313164,0.04813948026899771
W4,b18-23_attn,24,0.03729103628194181,0.060847929601409556,0.1304933075067812,0.17925957376903048,0.060847929601409556,0.17925957376903048,0.04279983704737911,0.09407368523434985,0.03178223551650451,0.16691292977921257,-0.05197806749689013,0.10845336525363936,-0.06368895160454323,0.14083918489916106,0.06678383343274091,nan,-0.009090430388232765,0.12581785901807097
W4,b18-23_mlp,24,0.1287781668617684,0.17115151811908258,4.471958296244658,0.4938606354560969,0.17115151811908258,0.4938606354560969,0.1021135475188306,0.36925166143667193,0.1554427862047062,8.574664931052643,0.1675171751598138,0.5087603371072191,-0.1412593920060026,0.16439641007459876,0.21604816111973546,nan,0.15387592010504964,1.4514335791000883
W4,adaln,24,0.05554756438852118,0.011269595308187677,0.4905828377768614,0.1020096028955294,0.011269595308187677,0.1020096028955294,0.10839607959769036,0.7917871834369917,0.002699049179351997,0.18937849211673113,0.11300525675258104,0.8265774973323596,-0.046924263186187615,0.28090307141762205,0.03731552710703474,nan,0.07506893944950646,0.5509329706265496
W4,head,24,0.3113726998002629,0.23329377457814957,4.765802166911988,0.7162495159757772,0.23329377457814957,0.7162495159757772,0.4579993242354366,2.951447675003085,0.16474607536508917,6.580156658820891,0.06479112716610602,0.29435775923296814,0.0713533670708065,0.12291323415864448,0.4390074615216207,nan,0.20777069228658784,1.4563289633665581
W4,embed,72,1.810625342964327,0.1312842015666138,2.4639319359238527,0.348145107912554,0.1312842015666138,0.348145107912554,0.13803493966656058,1.227310009293792,3.4832157462620934,3.700553862553914,0.25427984595958986,0.9266739670873614,-0.12266683552180703,0.34510214267813044,0.05025148767070109,nan,0.3353793381837619,1.2339161830717154
W4,b0-5_attn,72,0.015941862413475394,0.011332687075340265,0.042484376784832203,0.026852911115644116,0.011332687075340265,0.026852911115644116,0.0011216213257626319,0.033814089846251484,0.030762103501188156,0.05115466372341292,-0.021113172241657388,0.03853986368054076,0.030646688048357063,0.012744701338464282,0.0011327343800627433,nan,-0.0019766616959146243,0.03070246960263528
W4,b0-5_mlp,72,-0.03441990498379384,0.010310977354930782,0.08319904360231786,0.028851098570784772,0.010310977354930782,0.028851098570784772,0.005218766545934214,0.07479362256787714,-0.07405857651352189,0.0916044646367586,0.009820609212187642,0.0284116924826487,-0.013552671762676221,0.0219765018841262,0.002071648076026625,nan,0.003337818462458854,0.04474151318432075
W4,b6-11_attn,72,0.040675191049245475,0.15281316691502478,0.17089458309086403,0.36665513536477223,0.15281316691502478,0.36665513536477223,0.015687421580243045,0.1447801173160788,0.06566296051824791,0.19700904886564924,0.0076273940774882676,0.07333535749387601,-0.012802349646715441,0.048793127277887045,0.011483500945148963,nan,0.013441197154187899,0.10390891381255674
W4,b6-11_mlp,72,0.03328059113703971,0.05836811105382387,0.08773315038558446,0.14374960745073806,0.05836811105382387,0.14374960745073806,0.011070770494737467,0.07687907943511847,0.05549041177934196,0.09858722133605044,-0.016999637529012474,0.08877766519964816,-0.07381663530636882,0.12176573584123486,0.005423538813433053,nan,-0.006652923788614545,0.08989419453386692
