metric,lead,sum_oat,full,ratio,additive_ok
RMSE Z500,24,4.460333824157715,3.134550174077352,1.4229581842538552,False
RMSE T850,24,0.01898401975631714,0.019901438305775326,0.9539018971713238,True
RMSE Q700,24,9.234155489442248e-06,8.836309765077507e-06,1.0450239675771769,True
RMSE U500,24,0.048508405685424805,0.051599341134230294,0.9400973853374456,True
RMSE MSLP,24,1.5596472422281902,1.5462542374928792,1.008661579972144,True
RMSE T2M,24,0.005767275889714559,0.008908593406279882,0.6473834450283775,False
SpecDiv< Z500,24,3.536397950180496e-06,3.749703106829353e-06,0.9431141211525885,True
SpecRes Z500,24,-4.20491839273988e-06,-1.216645550054333e-05,0.34561572945810687,False
|RQE| Z500,24,0.0004194889722081522,0.0003094585335929878,1.3555579396620576,False
SpecDiv> T850,24,-3.005093700873355e-05,-3.304229600568457e-05,0.9094687912596513,True
SpecDiv< T850,24,-1.4845217568411803e-05,-1.9340914756564114e-05,0.7675550900907354,False
|RQE| T850,24,0.001133537041217399,0.000685695165884681,1.653120945886959,False
SpecDiv> Q700,24,-0.00010285516812776525,-0.00013025000225752592,0.7896749815359195,False
SpecRes Q700,24,-3.2689484214643016e-05,-5.080917890154524e-05,0.6433775337717345,False
|RQE| Q700,24,0.0018934520582358045,0.004622955185671647,0.40957612223980794,False
Vag/Vg 850hPa,24,0.04767471800247828,0.04299057026704153,1.1089575622361034,True
|Vag| 850hPa,24,0.6154409845670065,0.5777680724859238,1.0652042123390273,True
Vag/Vg 500hPa,24,0.07667011270920436,0.06686249934136868,1.146683319715026,True
|Vag| 500hPa,24,1.4699979027112324,1.313625196615855,1.1190390580952794,True
Vag/Vg 250hPa,24,0.06898682316144307,0.06046496331691742,1.1409388078160188,True
|Vag| 250hPa,24,2.2045300006866455,1.9728524188200633,1.1174327991574482,True
div/vort 850hPa,24,0.020279469589392345,0.019663138315081596,1.0313445018000014,True
div/vort 500hPa,24,0.04080732663472493,0.037696417731543384,1.082525319125441,True
div/vort 250hPa,24,0.04060083379348119,0.03766520259281,1.0779401409945313,True
HypsRel 600-500,24,0.00033949162937738325,0.00024336164748538341,1.395008757071196,False
|DryAir Md err|,24,24830637593941.332,19172734009344.0,1.2951015531660692,False
neg-q fraction,24,0.002514294606726253,0.0019026677463216402,1.321457522779292,False
|neg-q mass|,24,22254681568.0,21019173995.333332,1.0587800249877077,True
DKE<1000km 500hPa,24,0.012266738961140316,0.012938680437703928,0.9480672329918944,True
DKEpert<1000km 500hPa,24,0.05384069692384704,0.05364603906249007,1.0036285598109158,True
