,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.8579,0.8632,0.8544,0.8105,0.8000,0.4632,0.6737,0.5140,0.0719
|Vag| 850hPa,0.8579,1.0000,0.9246,0.9281,0.9035,0.9000,0.6912,0.8509,0.5667,0.1649
Vag/Vg 500hPa,0.8632,0.9246,1.0000,0.9895,0.9684,0.9509,0.6596,0.7667,0.6228,0.1737
|Vag| 500hPa,0.8544,0.9281,0.9895,1.0000,0.9842,0.9807,0.6684,0.8123,0.6333,0.1912
Vag/Vg 250hPa,0.8105,0.9035,0.9684,0.9842,1.0000,0.9860,0.6474,0.7947,0.6825,0.1912
|Vag| 250hPa,0.8000,0.9000,0.9509,0.9807,0.9860,1.0000,0.6649,0.8281,0.6614,0.2211
div/vort 850hPa,0.4632,0.6912,0.6596,0.6684,0.6474,0.6649,1.0000,0.8333,0.4298,0.3895
div/vort 500hPa,0.6737,0.8509,0.7667,0.8123,0.7947,0.8281,0.8333,1.0000,0.5667,0.2421
div/vort 250hPa,0.5140,0.5667,0.6228,0.6333,0.6825,0.6614,0.4298,0.5667,1.0000,0.0561
HypsRel 600-500,0.0719,0.1649,0.1737,0.1912,0.1912,0.2211,0.3895,0.2421,0.0561,1.0000
