,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9175,0.9632,0.9456,0.8860,0.8807,0.5526,0.8789,0.8491,0.4632
|Vag| 850hPa,0.9175,1.0000,0.9509,0.9421,0.8982,0.8965,0.7158,0.9281,0.8386,0.4825
Vag/Vg 500hPa,0.9632,0.9509,1.0000,0.9860,0.9298,0.9211,0.6105,0.9088,0.8491,0.4439
|Vag| 500hPa,0.9456,0.9421,0.9860,1.0000,0.9456,0.9421,0.6316,0.8965,0.8579,0.4509
Vag/Vg 250hPa,0.8860,0.8982,0.9298,0.9456,1.0000,0.9965,0.7035,0.8123,0.8035,0.4877
|Vag| 250hPa,0.8807,0.8965,0.9211,0.9421,0.9965,1.0000,0.7298,0.8070,0.8018,0.5175
div/vort 850hPa,0.5526,0.7158,0.6105,0.6316,0.7035,0.7298,1.0000,0.6140,0.5351,0.5649
div/vort 500hPa,0.8789,0.9281,0.9088,0.8965,0.8123,0.8070,0.6140,1.0000,0.8807,0.4211
div/vort 250hPa,0.8491,0.8386,0.8491,0.8579,0.8035,0.8018,0.5351,0.8807,1.0000,0.4912
HypsRel 600-500,0.4632,0.4825,0.4439,0.4509,0.4877,0.5175,0.5649,0.4211,0.4912,1.0000
