,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.8825,0.9842,0.9754,0.9544,0.8491,0.8579,0.6684,0.6053,0.5088
|Vag| 850hPa,0.8825,1.0000,0.8175,0.9140,0.9018,0.9456,0.7386,0.6982,0.8018,0.4000
Vag/Vg 500hPa,0.9842,0.8175,1.0000,0.9614,0.9333,0.8000,0.8842,0.6018,0.5263,0.5088
|Vag| 500hPa,0.9754,0.9140,0.9614,1.0000,0.9772,0.9123,0.8228,0.6404,0.6421,0.5053
Vag/Vg 250hPa,0.9544,0.9018,0.9333,0.9772,1.0000,0.9228,0.7947,0.5982,0.6719,0.4737
|Vag| 250hPa,0.8491,0.9456,0.8000,0.9123,0.9228,1.0000,0.7070,0.6719,0.7825,0.4228
div/vort 850hPa,0.8579,0.7386,0.8842,0.8228,0.7947,0.7070,1.0000,0.5404,0.5667,0.2860
div/vort 500hPa,0.6684,0.6982,0.6018,0.6404,0.5982,0.6719,0.5404,1.0000,0.6825,0.7667
div/vort 250hPa,0.6053,0.8018,0.5263,0.6421,0.6719,0.7825,0.5667,0.6825,1.0000,0.4105
HypsRel 600-500,0.5088,0.4000,0.5088,0.5053,0.4737,0.4228,0.2860,0.7667,0.4105,1.0000
