,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.7842,0.9614,0.8895,0.8000,0.6684,0.8140,0.5772,0.3965,0.4912
|Vag| 850hPa,0.7842,1.0000,0.8544,0.8842,0.9807,0.9228,0.6316,0.6719,0.6175,0.3018
Vag/Vg 500hPa,0.9614,0.8544,1.0000,0.9649,0.8719,0.7754,0.8088,0.5912,0.4175,0.4754
|Vag| 500hPa,0.8895,0.8842,0.9649,1.0000,0.9018,0.8807,0.7982,0.6070,0.4175,0.4526
Vag/Vg 250hPa,0.8000,0.9807,0.8719,0.9018,1.0000,0.9246,0.6842,0.7158,0.5947,0.3456
|Vag| 250hPa,0.6684,0.9228,0.7754,0.8807,0.9246,1.0000,0.6982,0.6947,0.5544,0.3386
div/vort 850hPa,0.8140,0.6316,0.8088,0.7982,0.6842,0.6982,1.0000,0.6105,0.3298,0.3772
div/vort 500hPa,0.5772,0.6719,0.5912,0.6070,0.7158,0.6947,0.6105,1.0000,0.7860,0.6649
div/vort 250hPa,0.3965,0.6175,0.4175,0.4175,0.5947,0.5544,0.3298,0.7860,1.0000,0.5491
HypsRel 600-500,0.4912,0.3018,0.4754,0.4526,0.3456,0.3386,0.3772,0.6649,0.5491,1.0000
