,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.6333,0.9018,0.7386,0.7807,0.6316,0.8737,0.6298,0.5018,0.4807
|Vag| 850hPa,0.6333,1.0000,0.7807,0.9456,0.9263,0.9579,0.7298,0.6702,0.8614,0.3088
Vag/Vg 500hPa,0.9018,0.7807,1.0000,0.8982,0.8667,0.7982,0.9526,0.6228,0.6368,0.4561
|Vag| 500hPa,0.7386,0.9456,0.8982,1.0000,0.9368,0.9632,0.8281,0.7000,0.7842,0.4105
Vag/Vg 250hPa,0.7807,0.9263,0.8667,0.9368,1.0000,0.9351,0.8351,0.7070,0.8123,0.3158
|Vag| 250hPa,0.6316,0.9579,0.7982,0.9632,0.9351,1.0000,0.7544,0.6982,0.8228,0.3404
div/vort 850hPa,0.8737,0.7298,0.9526,0.8281,0.8351,0.7544,1.0000,0.6246,0.6193,0.3281
div/vort 500hPa,0.6298,0.6702,0.6228,0.7000,0.7070,0.6982,0.6246,1.0000,0.8123,0.6649
div/vort 250hPa,0.5018,0.8614,0.6368,0.7842,0.8123,0.8228,0.6193,0.8123,1.0000,0.4667
HypsRel 600-500,0.4807,0.3088,0.4561,0.4105,0.3158,0.3404,0.3281,0.6649,0.4667,1.0000
