tag,floor,guide,lead,balance,conservation
W8A8_adaln_probe,W8A8,probe,24,0.14153113186166263,0.06355396040118672
W8A8_adaln_probe,W8A8,probe,72,0.2623493750555149,0.12159637193706975
W8A8_adaln_probe,W8A8,probe,120,0.5080388739411056,0.20943793018140744
W8A8_adaln_probe,W8A8,probe,168,0.6944462484082691,0.23216432104416312
