# adaln marginal contribution, W8A8_knee (bf16:embed) -> W8A8_adaln_probe (bf16:adaln|embed).
lead,endpoint,knee,probe,floor,delta,pct_of_knee,pct_of_floor,within_margin
24,composite,0.10563401361105938,0.10249947883146021,0.36843073033769885,-0.0031345347795991713,2.967353669946136,0.8507799489814808,True
24,balance,0.10563401361105938,0.10249947883146021,0.36843073033769885,-0.0031345347795991713,2.967353669946136,0.8507799489814808,True
24,conservation,0.04137303901493325,0.046534915142385044,0.040225013406085246,0.005161876127451795,-12.476424865934211,-12.832503187359796,False
72,composite,0.2095591353362423,0.2080098867365252,0.535092852256705,-0.0015492485997170846,0.7392894598611894,0.2895289281445773,True
72,balance,0.2095591353362423,0.2080098867365252,0.535092852256705,-0.0015492485997170846,0.7392894598611894,0.2895289281445773,True
72,conservation,0.1663934638259502,0.14495003307928522,0.07211265532608242,-0.021443430746664965,12.887183338580586,29.73601602894949,False
120,composite,0.39004985918469454,0.37875711288302005,0.8266409089321369,-0.011292746301674483,2.8952058399096092,1.3661005860770388,True
120,balance,0.39004985918469454,0.37875711288302005,0.8266409089321369,-0.011292746301674483,2.8952058399096092,1.3661005860770388,True
120,conservation,0.14703612228836763,0.14827638013443098,0.06745282916321943,0.0012402578460633529,-0.8435055459575818,-1.8387039675715169,True
168,composite,0.7099125758203284,0.7080619556912401,1.3556181589303768,-0.0018506201290883206,0.26068282097269024,0.1365148524233782,True
168,balance,0.7099125758203284,0.7080619556912401,1.3556181589303768,-0.0018506201290883206,0.26068282097269024,0.1365148524233782,True
168,conservation,0.2160234662575541,0.20913966332249437,0.00614208552959144,-0.0068838029350597185,3.186599610827696,112.07598627363328,False
