scheme,group,lead,mean_physics_share,mean_rmse_share,mean_physics_abs_svr,mean_rmse_abs_svr,standard_share,standard_svr,balance_share,balance_svr,conservation_share,conservation_svr,spectral_share,spectral_svr,extremes_share,extremes_svr,perturbation_share,perturbation_svr,legacy_mean_physics_share,legacy_mean_physics_abs_svr
W4,encoder_io,24,0.4388308454525597,0.5423912986797553,110.70187602668715,21.206156827388078,0.5423912986797553,21.206156827388078,0.20598150236378782,4.518592556827999,0.6716801885413315,216.8851594965463,0.2223791946545971,7.943950854862059,0.598629721600868,4.943699271211572,0.5281195833438093,nan,0.2633463563202111,40065550123.93705
W4,enc0_attn,24,-0.006940184296129154,0.025588787818734055,0.32714104497853447,1.202938833987297,0.025588787818734055,1.202938833987297,0.0066001267324381375,0.28440150032823364,-0.020480495324696445,0.3698805896288353,0.02974803897524666,1.710595366484095,0.05481013714177515,0.3989724506967991,0.011275961888551669,nan,0.02274058638101482,13355183365.144674
W4,enc0_mlp,24,0.028938602213977798,0.008747530556774902,0.2805477243048553,0.36559448904303543,0.008747530556774902,0.36559448904303543,-0.0009520781196034819,0.17445566242941588,0.05882928254755908,0.38663978618029476,0.017123062304977545,1.906259788635241,0.04838544775433104,0.3797022054385993,0.02230351372158883,nan,0.029856006776630122,26747593748.64313
W4,enc1_attn,24,-0.06046072123083977,0.06954356614197361,1.1073159338876484,3.0458746769088827,0.06954356614197361,3.0458746769088827,0.013875112695229175,1.2657911085856597,-0.13479655515690872,0.9488407591896371,0.19650276086398236,5.057388864326714,0.07409228323277116,0.5447167850860863,0.06961034076880813,nan,0.09697706954311808,40065550095.84249
W4,enc1_mlp,24,0.008215287899240165,0.03652470248080269,0.24212276771406055,1.5596235153857776,0.03652470248080269,1.5596235153857776,0.019299283053020165,0.38593622351471574,-0.0028687072545398352,0.09830931191340536,0.1163300742376496,2.918029580849364,-0.10727991267351021,0.7091297620504151,0.14183305984222228,nan,0.06434925918083426,40065550094.49673
W4,enc2_attn,24,-0.0013007042805488873,0.0009318311759515659,0.03765479290822833,0.0541280581249566,0.0009318311759515659,0.0541280581249566,-0.0002544457837980559,0.03765617603099944,-0.0023469627772997187,0.03765340978545722,0.0316451946270153,1.5277968814660108,0.0022146166096171714,0.0270019571434264,0.001015066438302785,nan,0.02581023969881424,26710366729.317413
W4,enc2_mlp,24,0.0008470681419849807,0.0010402270185707217,0.03335841268101788,0.04482358759936791,0.0010402270185707217,0.04482358759936791,0.001497566055318479,0.03979976254629164,0.00019657022865148243,0.026917062815744113,0.03477114888139042,1.4783490130422046,0.0016028888101248505,0.02991170671616125,0.0018561336973978327,nan,0.041530763022009885,53420733457.93524
W4,downsample,24,0.15593803215519583,0.11892864169908922,1.3045809706148765,4.706349745229759,0.11892864169908922,4.706349745229759,0.016883962710713518,0.5351667528975367,0.29499210159967815,2.0739951883322165,0.13064612617055338,3.765239269102056,0.12040593904279133,0.7215968155644275,0.14992370669073665,nan,0.09976967464905576,26710366730.889103
W4,dec0_attn,24,-0.005758739844096529,0.0036937893724380117,0.07754045946212111,0.17157565014412682,0.0036937893724380117,0.17157565014412682,0.0013165731034150952,0.05589858996419122,-0.012834052791608154,0.099182328960051,0.032482900607920376,1.6276398988237375,0.0038203140860276984,0.05208852011828305,0.0025862112960599436,nan,0.033089222745737626,40065550093.69943
W4,dec0_mlp,24,-0.0013674486033364366,0.004413804080882573,0.06416861842952779,0.17357208767309087,0.004413804080882573,0.17357208767309087,0.0010005500424649593,0.07663876610788868,-0.0037354472491378326,0.05169847075116689,0.05282000943888504,1.7328594567760338,0.01943271405090793,0.1573848725311306,0.004401641308563053,nan,0.027806857621797517,13355183365.109861
