group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,share,norm,rank,significant,lag1_autocorr,n,n_eff
encoder_io,RMSE Z500,24,39.31072394053141,94.57365989685059,55.262935956319176,52.21026511192322,58.833805203437805,140.579797105543,39.24084052886308,37.07321465595009,41.7764262383585,0.6429540891514589,share,1,True,0.6836589259509539,12,2.254668585232883
enc0_attn,RMSE Z500,24,39.31072394053141,39.25549507141113,-0.055228869120279946,-0.19178019364674886,0.041388797760009734,-0.14049313669173133,-0.03921665051330917,-0.13617836014783827,0.02938915901727788,-0.0006425577401128702,share,14,False,-0.5628625801814422,12,42.902643681160164
enc0_mlp,RMSE Z500,24,39.31072394053141,39.63909149169922,0.32836755116780597,-0.015432922045389812,0.7498385111490885,0.8353129076548037,0.23316565591835423,-0.010958535271383246,0.5324417338532104,0.0038203771861645025,share,12,False,0.33263973565749216,12,6.009368442071091
enc1_attn,RMSE Z500,24,39.31072394053141,46.937215169270836,7.626491228739421,7.110578894615173,8.160031978289286,19.400536200444048,5.415382315885009,5.049045759929223,5.794236372522264,0.08873006177723795,share,5,True,-0.07659991040066366,12,13.990900661936916
enc1_mlp,RMSE Z500,24,39.31072394053141,40.67646471659342,1.3657407760620117,0.5455556631088256,2.299697240193685,3.474219345662728,0.9697786603226409,0.38738554883498955,1.6329579872201485,0.015889648305765555,share,6,True,-0.0830733154908327,12,14.17439366250667
enc2_attn,RMSE Z500,24,39.31072394053141,39.497650464375816,0.18692652384440103,0.14414006868998208,0.22569088935852044,0.47551025548952053,0.13273188957225693,0.10235028869536904,0.16025750432686317,0.0021747880527307104,share,13,True,-0.007191843292133794,12,12.17385457386205
enc2_mlp,RMSE Z500,24,39.31072394053141,39.328389167785645,0.01766522725423177,-0.023251970609029133,0.06599274476369218,0.044937425423544536,0.012543639848185975,-0.016510647776150047,0.04685981170781235,0.00020552527480399572,share,17,False,-0.4538335910903492,12,31.942651192908105
downsample,RMSE Z500,24,39.31072394053141,48.72407881418864,9.413354873657227,8.24722797870636,10.456128803888955,23.946022688103096,6.684189883265526,5.856152090315933,7.424637794614688,0.10951924475086917,share,4,True,0.23273149036733354,12,7.468959937778824
dec0_attn,RMSE Z500,24,39.31072394053141,39.80670134226481,0.49597740173339844,0.369417413075765,0.5838890631993612,1.2616847313310855,0.35218125476944834,0.26231414499130723,0.4146051457284804,0.005770426291199247,share,9,True,-0.09946659405108235,12,14.650871407386068
dec0_mlp,RMSE Z500,24,39.31072394053141,39.65964539845785,0.3489214579264323,0.24737538496653239,0.42947769165039057,0.8875986574408417,0.24776047545522956,0.17565512697172972,0.3049614595590465,0.004059510669932758,share,11,True,0.3377991388011371,12,5.939912879229012
dec1_attn,RMSE Z500,24,39.31072394053141,39.9323943456014,0.6216704050699869,0.45802613894144695,0.7705834865570066,1.5814270070692142,0.4414327397687886,0.3252330040962473,0.5471722265002305,0.007232795763151752,share,8,True,-0.07264816111580427,12,13.880144939246767
dec1_mlp,RMSE Z500,24,39.31072394053141,40.264923095703125,0.9541991551717123,0.7656853040059407,1.1043958425521851,2.4273253186972807,0.677553159869485,0.5436941485255177,0.7842041033177166,0.011101586227113346,share,7,True,0.44949326639063775,12,4.557510515217539
dec2_attn,RMSE Z500,24,39.31072394053141,39.346604665120445,0.035880724589029946,-0.0342254638671875,0.08441179593404134,0.09127464720138376,0.02547801283614539,-0.02430265324122899,0.05993872322709786,0.00041745264157642254,share,15,False,-0.2661803310703235,12,20.70558287842782
dec2_mlp,RMSE Z500,24,39.31072394053141,39.285255432128906,-0.02546850840250651,-0.20967233180999756,0.17342482407887763,-0.06478768602947846,-0.018084556302269496,-0.14888312380605906,0.12314466735543027,-0.0002963121907768891,share,16,False,0.21017532255668586,12,7.831837216194612
upsample,RMSE Z500,24,39.31072394053141,39.74822743733724,0.43750349680582684,0.20285125573476157,0.6504291375478108,1.1129367585997008,0.3106603847929345,0.14403964681969073,0.4618536026029045,0.005090114331089991,share,10,True,-0.4037497755144288,12,28.25155717250515
decoder_io,RMSE Z500,24,39.31072394053141,49.01588694254557,9.70516300201416,8.932764808336893,10.564058502515156,24.688334452186545,6.891395599569332,6.342934794540284,7.501275997396145,0.1129142730121802,share,3,True,0.20788050383017392,12,7.869515174635489
decoder_heads,RMSE Z500,24,39.31072394053141,66.3185453414917,27.007821400960285,26.026814007759093,28.184660975138346,68.70344448964423,19.177584293834673,18.480995268874594,20.013228894673077,0.3142212571287407,share,2,True,0.1819255393530952,12,8.305847704362114
encoder_io,RMSE T850,24,0.619096964597702,0.9516213039557139,0.3325243393580119,0.320672569796443,0.34857000100115937,53.71118877542728,19.9193118889495,19.209351545028102,20.88050029203446,0.6269651133408083,share,1,True,0.3482214540701176,12,5.801229855486204
enc0_attn,RMSE T850,24,0.619096964597702,0.6291731198628744,0.010076155265172323,0.008757690588633219,0.011189548050363858,1.6275568838752024,0.6035951526313805,0.5246147412808917,0.6702910768634363,0.018998302019229724,share,7,True,-0.23717959966650282,12,19.46218951342603
enc0_mlp,RMSE T850,24,0.619096964597702,0.626147449016571,0.0070504844188690186,0.005771800006429354,0.008664079507191976,1.1388336273705564,0.42234742388714425,0.34574998242436755,0.5190071267192328,0.013293486339430302,share,10,True,-0.516168289608264,12,37.604024466623564
enc1_attn,RMSE T850,24,0.619096964597702,0.6485245227813721,0.029427558183670044,0.027493144447604815,0.03148305416107178,4.753303580286892,1.7628084329779707,1.6469306280469287,1.8859394661510458,0.055484817705640774,share,5,True,-0.3234435943899954,12,23.473760651723996
enc1_mlp,RMSE T850,24,0.619096964597702,0.6400676170984904,0.020970652500788372,0.016247923796375595,0.025293917457262668,3.387296934078073,1.2562117061399336,0.9733045775618707,1.5151896300201462,0.0395395643740588,share,6,True,0.034474758561567155,12,11.200179416046748
enc2_attn,RMSE T850,24,0.619096964597702,0.6185378730297089,-0.0005590915679931641,-0.0008408421029647192,-0.0002473074942827225,-0.0903075931500439,-0.033491441074174476,-0.05036923351430719,-0.014814539953986235,-0.0010541511306254357,share,15,True,-0.31930762150723346,12,23.258217600647104
enc2_mlp,RMSE T850,24,0.619096964597702,0.6189977129300436,-9.925166765848796e-05,-0.0004916941126187642,0.00017608888447284693,-0.016031683780420906,-0.005945504402488934,-0.029454109741628577,0.010548308784745573,-0.00018713617530346,share,17,False,-0.12033710824383552,12,15.283178846030724
downsample,RMSE T850,24,0.619096964597702,0.6783784627914429,0.059281498193740845,0.054828667019804316,0.06352202718456587,9.575478734944662,3.551158552920132,3.2844191824616495,3.805180317779375,0.11177356612694563,share,3,True,-0.2296074122341206,12,19.152947706310936
dec0_attn,RMSE T850,24,0.619096964597702,0.6198766777912775,0.0007797131935755411,0.00036521020034948986,0.0013619968046744658,0.12594363050741328,0.046707408897482997,0.021877303477490374,0.08158813034992243,0.0014701268837259151,share,14,True,0.04405377314879662,12,10.987321742650858
dec0_mlp,RMSE T850,24,0.619096964597702,0.6229689121246338,0.0038719475269317627,0.0031590511401494346,0.004431816811362902,0.6254185932647577,0.23194251150308218,0.18923765116041258,0.2654805403738646,0.00730044611098013,share,12,True,-0.35548419933311176,12,25.237256208718097
dec1_attn,RMSE T850,24,0.619096964597702,0.6268174151579539,0.007720450560251872,0.006907736261685689,0.00856890194118023,1.2470503009603238,0.4624806200044755,0.41379633535631,0.5133056745311635,0.014556688301059833,share,8,True,0.10589373708839041,12,9.701904256359633
dec1_mlp,RMSE T850,24,0.619096964597702,0.6236109733581543,0.0045140087604522705,0.003781596819559733,0.005690099174777666,0.7291279102596695,0.270404110996793,0.2265302041724209,0.3408558313664374,0.008511034168453177,share,11,True,-0.13704960257183696,12,15.811563760242546
dec2_attn,RMSE T850,24,0.619096964597702,0.6206984966993332,0.0016015321016311646,0.0007228706032037735,0.002409777541955311,0.258688411220343,0.09593708988083821,0.04330234902013073,0.14435367508395708,0.0030196428855605,share,13,True,-0.1069429593643922,12,14.873983304491599
dec2_mlp,RMSE T850,24,0.619096964597702,0.6192045758167902,0.0001076112190882365,-0.0005010842035214106,0.0006331476072470347,0.017381965223842406,0.006446269286353856,-0.030016607361251002,0.03792764368721064,0.00020289786998045544,share,16,False,-0.23777092802720068,12,19.486597510487577
upsample,RMSE T850,24,0.619096964597702,0.626650482416153,0.007553517818450928,0.005887041489283243,0.009081132709980011,1.220086392017656,0.4524807945636363,0.35265332984231446,0.5439899981585352,0.014241941399868827,share,9,True,0.1692707811875001,12,8.525613387538712
decoder_io,RMSE T850,24,0.619096964597702,0.7139818121989568,0.09488484760125478,0.0902469748010238,0.10042636518677076,15.326330611701882,5.6839173834728705,5.406093405271948,6.015872684360326,0.17890266121721918,share,2,True,0.006478147833692628,12,11.845525162823193
decoder_heads,RMSE T850,24,0.619096964597702,0.6503033439318339,0.031206379334131878,0.029881603146592776,0.032838376611471175,5.040628709011718,1.8693657254730636,1.7900072336598267,1.9671277805214247,0.058838734012535795,share,4,True,0.18842781078689516,12,8.194747869547795
encoder_io,RMSE Q700,24,0.0006135621758100266,0.0007293815821564446,0.00011581940634641796,0.0001078130411769962,0.00012338456908764784,18.876555777499295,14.163562213723255,13.184463332455337,15.088706423337522,0.5614368349180947,share,1,True,0.24393628536000353,12,7.293592672276008
enc0_attn,RMSE Q700,24,0.0006135621758100266,0.0006186831257461259,5.1209499360993505e-06,4.43990381124119e-06,5.623068500426597e-06,0.8346260799630709,0.6262412777040494,0.5429561058651244,0.6876453873335089,0.024823904858380916,share,8,True,0.08027487477066597,12,10.216567801870811
enc0_mlp,RMSE Q700,24,0.0006135621758100266,0.0006151332878895724,1.5711120795458555e-06,3.84904706152156e-07,3.351701525389216e-06,0.25606403743380507,0.192131391321607,0.047070019817188745,0.40987978244933815,0.007615996498924307,share,10,True,0.5348919207827214,12,3.6362801022244935
enc1_attn,RMSE Q700,24,0.0006135621758100266,0.0006205275324949374,6.965356684910755e-06,4.888967184039454e-06,8.945040584270221e-06,1.1352324115669403,0.8517938906751942,0.5978720929105832,1.0938895545764384,0.03376470260566858,share,5,True,0.23726539511846273,12,7.397616788354536
enc1_mlp,RMSE Q700,24,0.0006135621758100266,0.0006177888474970435,4.226671687016885e-06,4.4147600419819355e-07,7.516452630322106e-06,0.6888742255724647,0.5168799364848217,0.05398812728002254,0.9191874472024826,0.020488873575288148,share,9,True,0.21563638634006427,12,7.742745667770919
enc2_attn,RMSE Q700,24,0.0006135621758100266,0.0006139364753228923,3.742995128656427e-07,2.3965779594921817e-07,5.458001396618783e-07,0.061004332995509614,0.045773110088150604,0.029307766375332712,0.0667459321215813,0.00181442420095059,share,17,True,0.016032914728792733,12,11.621281999910664
enc2_mlp,RMSE Q700,24,0.0006135621758100266,0.0006140588375274092,4.966617173825701e-07,2.2920648916624488e-07,7.092037170271697e-07,0.0809472514707863,0.060736791486241545,0.02802967543612865,0.08672856548991252,0.002407577377820668,share,13,True,-0.13305505106789656,12,15.68341868715312
downsample,RMSE Q700,24,0.0006135621758100266,0.0006412241297463576,2.7661953936330974e-05,2.410090746707283e-05,3.140887395905641e-05,4.508419036719723,3.382782021507813,2.9473014331991583,3.8409930979226288,0.13409186211170832,share,3,True,0.35658754395990866,12,5.6914494806162494
dec0_attn,RMSE Q700,24,0.0006135621758100266,0.0006139628579452013,4.0068213517467183e-07,1.0947405826300383e-07,7.303925182592743e-07,0.06530424315118352,0.048999442567505894,0.013387589212459935,0.0893197452753407,0.0019423144780058646,share,16,True,0.39800237933531574,12,5.167352756159734
dec0_mlp,RMSE Q700,24,0.0006135621758100266,0.0006140648280658448,5.026522558182478e-07,1.3430932691941658e-07,8.546681783627716e-07,0.08192360540390953,0.06146937479420326,0.01642469571996115,0.10451742327295242,0.0024366166299190804,share,12,True,0.2722464188116439,12,6.86427003851775
dec1_attn,RMSE Q700,24,0.0006135621758100266,0.0006139851126742238,4.229368641972542e-07,-1.2445768030981222e-07,7.25886881506691e-07,0.06893137824848666,0.05172097472696206,-0.01521993725966135,0.08876875068409942,0.0020501947117123544,share,15,False,0.20827988205646827,12,7.86294761372049
dec1_mlp,RMSE Q700,24,0.0006135621758100266,0.0006190061443097269,5.443968499700229e-06,4.936519205026949e-06,6.03943299211096e-06,0.8872725070630513,0.6657432374021018,0.6036872324359076,0.738562626227983,0.026389743655943317,share,7,True,-0.5038732340812364,12,36.37473333162152
dec2_attn,RMSE Q700,24,0.0006135621758100266,0.0006147679523564875,1.2057765464608867e-06,6.908108237742757e-07,1.6847749066073442e-06,0.19652067777304183,0.1474544868635076,0.08447929746052417,0.20603122532401855,0.0058450253650813005,share,11,True,-0.2658486798516315,12,20.690808204430816
dec2_mlp,RMSE Q700,24,0.0006135621758100266,0.000613067255471833,-4.949203381935755e-07,-9.426298978117605e-07,1.0927166537536918e-07,-0.08066343684569216,-0.0605238381197976,-0.11527426726950565,0.013362838573978382,-0.002399136008182344,share,14,False,0.15553346312174163,12,8.769627852370963
upsample,RMSE Q700,24,0.0006135621758100266,0.0006239987560547888,1.0436580244762203e-05,9.4062077550916e-06,1.1903677780840856e-05,1.7009816863276814,1.2762900299546929,1.150285715814899,1.4557014764587335,0.050591526626049106,share,4,True,0.325366432896695,12,6.10819966788058
