,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.6818,0.6000,0.5182,0.5000,0.3909,0.0364,0.4545,0.4091,-0.5364
|Vag| 850hPa,0.6818,1.0000,0.5000,0.6545,0.5364,0.6182,0.4818,0.0455,-0.1000,-0.2364
Vag/Vg 500hPa,0.6000,0.5000,1.0000,0.9364,0.7636,0.6636,0.1000,0.4727,0.4727,0.0364
|Vag| 500hPa,0.5182,0.6545,0.9364,1.0000,0.8091,0.7909,0.2091,0.3273,0.2636,0.0455
Vag/Vg 250hPa,0.5000,0.5364,0.7636,0.8091,1.0000,0.9545,-0.0364,0.3545,0.4182,-0.1909
|Vag| 250hPa,0.3909,0.6182,0.6636,0.7909,0.9545,1.0000,0.0455,0.3000,0.2545,-0.1636
div/vort 850hPa,0.0364,0.4818,0.1000,0.2091,-0.0364,0.0455,1.0000,-0.3818,-0.3727,0.3818
div/vort 500hPa,0.4545,0.0455,0.4727,0.3273,0.3545,0.3000,-0.3818,1.0000,0.8545,-0.1545
div/vort 250hPa,0.4091,-0.1000,0.4727,0.2636,0.4182,0.2545,-0.3727,0.8545,1.0000,0.0182
HypsRel 600-500,-0.5364,-0.2364,0.0364,0.0455,-0.1909,-0.1636,0.3818,-0.1545,0.0182,1.0000
