,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9182,0.8545,0.7909,0.6000,0.6000,0.3000,0.6273,0.0727,-0.3364
|Vag| 850hPa,0.9182,1.0000,0.9273,0.9091,0.7000,0.7000,0.5364,0.7545,0.2727,-0.2000
Vag/Vg 500hPa,0.8545,0.9273,1.0000,0.9455,0.7182,0.7182,0.4818,0.6182,0.4364,-0.0727
|Vag| 500hPa,0.7909,0.9091,0.9455,1.0000,0.8818,0.8818,0.4727,0.6818,0.4727,0.0091
Vag/Vg 250hPa,0.6000,0.7000,0.7182,0.8818,1.0000,1.0000,0.2182,0.6818,0.4091,-0.0182
|Vag| 250hPa,0.6000,0.7000,0.7182,0.8818,1.0000,1.0000,0.2182,0.6818,0.4091,-0.0182
div/vort 850hPa,0.3000,0.5364,0.4818,0.4727,0.2182,0.2182,1.0000,0.5455,0.7091,0.2909
div/vort 500hPa,0.6273,0.7545,0.6182,0.6818,0.6818,0.6818,0.5455,1.0000,0.3364,-0.1636
div/vort 250hPa,0.0727,0.2727,0.4364,0.4727,0.4091,0.4091,0.7091,0.3364,1.0000,0.5091
HypsRel 600-500,-0.3364,-0.2000,-0.0727,0.0091,-0.0182,-0.0182,0.2909,-0.1636,0.5091,1.0000
