,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.6818,0.6727,0.5455,0.4000,0.3727,0.0091,0.3818,0.4818,-0.5000
|Vag| 850hPa,0.6818,1.0000,0.8273,0.8636,0.5909,0.6636,0.4909,0.4273,0.3000,-0.2000
Vag/Vg 500hPa,0.6727,0.8273,1.0000,0.9636,0.6091,0.6727,0.3091,0.3909,0.5545,-0.0273
|Vag| 500hPa,0.5455,0.8636,0.9636,1.0000,0.7182,0.8000,0.3636,0.4455,0.5000,0.0364
Vag/Vg 250hPa,0.4000,0.5909,0.6091,0.7182,1.0000,0.9727,-0.0273,0.5455,0.5818,-0.1636
|Vag| 250hPa,0.3727,0.6636,0.6727,0.8000,0.9727,1.0000,0.1182,0.5545,0.5545,-0.0818
div/vort 850hPa,0.0091,0.4909,0.3091,0.3636,-0.0273,0.1182,1.0000,0.1909,0.1091,0.3636
div/vort 500hPa,0.3818,0.4273,0.3909,0.4455,0.5455,0.5545,0.1909,1.0000,0.6636,-0.1182
div/vort 250hPa,0.4818,0.3000,0.5545,0.5000,0.5818,0.5545,0.1091,0.6636,1.0000,-0.0091
HypsRel 600-500,-0.5000,-0.2000,-0.0273,0.0364,-0.1636,-0.0818,0.3636,-0.1182,-0.0091,1.0000
