,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9455,0.7818,0.7818,0.4818,0.4091,0.1636,0.2909,-0.1364,-0.3909
|Vag| 850hPa,0.9455,1.0000,0.8364,0.8364,0.5091,0.4545,0.3455,0.4091,-0.0091,-0.2273
Vag/Vg 500hPa,0.7818,0.8364,1.0000,1.0000,0.7000,0.6182,0.4818,0.3909,0.2636,-0.1091
|Vag| 500hPa,0.7818,0.8364,1.0000,1.0000,0.7000,0.6182,0.4818,0.3909,0.2636,-0.1091
Vag/Vg 250hPa,0.4818,0.5091,0.7000,0.7000,1.0000,0.9636,0.1455,0.4727,0.4545,-0.0273
|Vag| 250hPa,0.4091,0.4545,0.6182,0.6182,0.9636,1.0000,0.1000,0.4818,0.4818,-0.0818
div/vort 850hPa,0.1636,0.3455,0.4818,0.4818,0.1455,0.1000,1.0000,0.6455,0.6091,0.3182
div/vort 500hPa,0.2909,0.4091,0.3909,0.3909,0.4727,0.4818,0.6455,1.0000,0.5000,0.0273
div/vort 250hPa,-0.1364,-0.0091,0.2636,0.2636,0.4545,0.4818,0.6091,0.5000,1.0000,0.3364
HypsRel 600-500,-0.3909,-0.2273,-0.1091,-0.1091,-0.0273,-0.0818,0.3182,0.0273,0.3364,1.0000
