seed,k,cost,config
2,7,0.361865,bf16:dec1_attn|dec1_mlp|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,8,0.363413,bf16:dec1_attn|dec1_mlp|decoder_heads|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,9,0.364131,bf16:cond_embed|dec1_attn|dec1_mlp|decoder_heads|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,10,0.484752,bf16:cond_embed|dec1_attn|dec1_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,11,0.576653,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,12,0.611116,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,13,0.663398,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film
2,14,0.732324,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film
2,15,0.74094,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
2,16,0.798378,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc2_attn|enc2_mlp|encoder_io|film|upsample
2,17,0.913255,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
2,18,0.965537,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
2,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
3,0,0,
3,1,0.00154814,bf16:decoder_heads
3,2,0.0360112,bf16:dec2_attn|decoder_heads
3,3,0.0367296,bf16:cond_embed|dec2_attn|decoder_heads
3,4,0.0890113,bf16:cond_embed|dec0_attn|dec2_attn|decoder_heads
3,5,0.14645,bf16:cond_embed|dec0_attn|dec2_attn|decoder_heads|enc1_attn
3,6,0.215376,bf16:cond_embed|dec0_attn|dec2_attn|dec2_mlp|decoder_heads|enc1_attn
3,7,0.335997,bf16:cond_embed|dec0_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc1_attn
3,8,0.393435,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc1_attn
3,9,0.485336,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc1_attn|enc2_mlp
3,10,0.519799,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc1_attn|enc2_mlp
3,11,0.588726,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc2_mlp
3,12,0.703602,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc2_mlp
3,13,0.703605,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc2_mlp|film
3,14,0.72658,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc2_mlp|encoder_io|film
3,15,0.735196,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc0_mlp|enc1_attn|enc2_mlp|encoder_io|film|upsample
