metric,lead,sum_oat,full,ratio,additive_ok
RMSE Z500,120,37.72515424092611,33.760348892211915,1.1174397030484724,True
RMSE T850,120,0.2953377515077591,0.2822678327560425,1.0463032525672615,True
RMSE Q700,120,0.00012058344873366877,0.00014318446337711067,0.8421545598567025,True
RMSE U500,120,0.783908411860466,0.7537143647670745,1.0400603312140966,True
RMSE MSLP,120,40.18013954162598,36.422864532470705,1.1031570431756044,True
RMSE T2M,120,0.15390586107969284,0.15188232362270354,1.0133230609640662,True
SpecDiv> Z500,120,-0.0009357378803542815,-0.0005770116142230109,1.6216967861458427,False
SpecDiv< Z500,120,0.0004979332843504382,0.000582528772065416,0.8547788679775665,True
SpecRes Z500,120,-0.0007197132423849931,-0.00021994585549691691,3.272229161849707,False
SpecResLog Z500,120,-0.4828906528653203,-0.4388198532459656,1.100430277466622,True
SpecDivW1 Z500,120,-0.053942784622057406,-0.04174458373422439,1.2922103850764306,False
|RQE| Z500,120,-0.005400495719262229,0.0017073045168217505,-3.163170756038047,False
SpecDiv> T850,120,-0.0003972559522177713,-0.0003264269733335823,1.2169826168495195,False
SpecDiv< T850,120,0.0006352844769329142,0.0006796036381274462,0.9347867511176849,True
SpecRes T850,120,-0.0004901043697221515,-0.00045753373924526384,1.0711873850671982,True
SpecResLog T850,120,-0.14295886156052603,-0.12540964076730016,1.1399351811061222,True
SpecDivW1 T850,120,-0.09524193598575373,-0.068898620348162,1.3823489571267515,False
|RQE| T850,120,0.0008629297950998686,0.000431743685840047,1.9987085472271806,False
SpecDiv> Q700,120,-0.014907461280624071,-0.01230733806733042,1.2112660917469737,False
SpecDiv< Q700,120,-0.007150171712661783,-0.006507172086276114,1.0988139882978938,True
SpecRes Q700,120,-0.002262565637162576,-0.0014929804718121886,1.5154690097294174,False
SpecResLog Q700,120,-0.30839044165441143,-0.29641711698102513,1.0403934995230142,True
SpecDivW1 Q700,120,-0.9136008459485825,-0.7184413980178607,1.2716428207911679,False
|RQE| Q700,120,-0.10844247850279014,-0.14441285978537052,0.7509198188025614,False
Vag/Vg 850hPa,120,0.06950929885109265,0.06613160744309425,1.0510752957412215,True
|Vag| 850hPa,120,0.8273652593294779,0.8275264739990235,0.9998051848797459,True
Vag/Vg 500hPa,120,0.13927839292834202,0.11674881018698216,1.1929748380756686,True
|Vag| 500hPa,120,2.3142993102471032,2.0603543758392333,1.1232530371404832,True
Vag/Vg 250hPa,120,0.11593381656954685,0.10714311376214028,1.0820463630254586,True
|Vag| 250hPa,120,3.185306340456009,3.0503149032592773,1.04425491841924,True
div/vort 850hPa,120,0.01858084121098121,0.01908271014690399,0.9737003322872246,True
div/vort 500hPa,120,0.07420083725204071,0.0633931051939726,1.1704875005727866,True
div/vort 250hPa,120,0.0832900544628501,0.07421698644757271,1.1222505581210394,True
HypsRel 600-500,120,0.00535939232263835,0.005043578127621716,1.0626170918790854,True
neg-q fraction,120,0.06261874445529732,0.05181908422673587,1.2084108661841115,False
|neg-q mass|,120,10402152658624.0,18340097116390.4,0.5671808929151023,False
DKE<1000km 500hPa,120,0.24122979988654455,0.17138985097408294,1.4074917418711252,False
DKEpert<1000km 500hPa,120,4.85037764138057,5.444578230381012,0.8908637981019771,True
