axis,lead,n_members,median,p90,p95,max
balance,120,15,0.001459675291,0.002036815114,0.002116710299,0.002253651134
conservation,120,15,0.000909361041,0.00200059429,0.002750817149,0.003864784424
standard,120,15,0.002238526361,0.004310971271,0.004933976463,0.005154932648
