scheme,group,lead,mean_physics_share_old,mean_rmse_share_old,mean_physics_abs_svr_old,mean_rmse_abs_svr_old,mean_physics_share_new,mean_rmse_share_new,mean_physics_abs_svr_new,mean_rmse_abs_svr_new,standard_share,standard_svr,balance_share,balance_svr,conservation_share,conservation_svr,spectral_share,spectral_svr,extremes_share,extremes_svr,perturbation_share,perturbation_svr,legacy_mean_physics_share,legacy_mean_physics_abs_svr
W4,embed,24,0.1665796809305596,0.2029594231978876,0.9122705495469636,0.6115085968533193,0.3747744457293054,0.2029594231978876,1.8966829774370937,0.6115085968533193,0.2029594231978876,0.6115085968533193,0.1915440844346841,0.6919160210958312,0.5580048070239267,3.101449933778356,0.1772280609120252,0.4443200985377181,-0.4445559545158471,0.377257820155221,0.0606071450667112,,0.1665796809305596,0.9122705495469636
W4,b0-5_attn,24,-0.0138803875926123,0.0101147634445861,0.0342766090558001,0.0316333268439205,0.0093585624285565,0.0101147634445861,0.0386650565852905,0.0316333268439205,0.0101147634445861,0.0316333268439205,0.0030370270872207,0.0278492414318048,0.0156800977698923,0.0494808717387763,-0.0506052686781767,0.058920161371473,-0.0595688631424713,0.0139079307264597,0.0013639397821608,,-0.0138803875926123,0.0342766090558001
W4,b0-5_mlp,24,0.0061105480492621,0.0156048412457831,0.0440166239582066,0.0470892421666074,0.0027645460137035,0.0156048412457831,0.0382172133087915,0.0470892421666074,0.0156048412457831,0.0470892421666074,0.0061443341222547,0.0378058331247962,-0.0006152420948477,0.0386285934927868,0.0436805787729353,0.0563692270652564,-0.1010363274126732,0.0443115451714249,0.0030429408754198,,0.0061105480492621,0.0440166239582066
W4,b6-11_attn,24,-0.0057377875485774,0.1064716941690388,0.1072055464719132,0.320940013497735,0.01057771474339,0.1064716941690388,0.1030226720813073,0.320940013497735,0.1064716941690388,0.320940013497735,0.0166988867681251,0.0712858774173594,0.0044565427186548,0.1347594667452552,-0.0037203141705334,0.1397872547713311,-0.1580963598887592,0.0585004418761695,0.0150516999414274,,-0.0057377875485774,0.1072055464719132
W4,b6-11_mlp,24,-0.0337384619291062,0.044316909000679,0.0667566513447441,0.1363661660678735,0.0121553814548882,0.044316909000679,0.03832895772822,0.1363661660678735,0.044316909000679,0.1363661660678735,0.0076072505204608,0.025486278370072,0.0167035123893157,0.0511716370863679,-0.0960084852996241,0.0995868419922315,-0.0956310890098184,0.0801412556807268,0.0075904952945332,,-0.0337384619291062,0.0667566513447441
W4,b12-17_attn,24,-0.0031516492511435,0.0292068948868123,0.0614921861974968,0.0884032360512222,-0.0156207160383258,0.0292068948868123,0.0454706428008275,0.0884032360512222,0.0292068948868123,0.0884032360512222,0.0064925824216968,0.0520969456797373,-0.0377340144983484,0.0388443399219176,0.0416482001492837,0.1003019187285024,-0.1041390203670948,0.0594787537041086,0.0058882175859909,,-0.0031516492511435,0.0614921861974968
W4,b12-17_mlp,24,0.0018404933728415,0.046778608401706,0.0455414522289651,0.1364183754175836,0.019189628030002,0.046778608401706,0.0366904262324035,0.1364183754175836,0.046778608401706,0.1364183754175836,0.0144823575260784,0.0423914064601365,0.0238968985339257,0.0309894460046706,-0.0030132763068693,0.0716091191763511,-0.0543627275445593,0.0288466096804167,0.0100574277405417,,0.0018404933728415,0.0455414522289651
W4,b18-23_attn,24,-0.0056027817259735,0.0608479296014095,0.1315535755972473,0.1792595737690304,0.0372812400871257,0.0608479296014095,0.130128221762583,0.1792595737690304,0.0608479296014095,0.1792595737690304,0.042780244657747,0.0933435137459535,0.0317822355165045,0.1669129297792125,-0.0785802146535219,0.1163087290765035,-0.0636889516045432,0.140839184899161,0.0667838334327409,,-0.0056027817259735,0.1315535755972473
W4,b18-23_mlp,24,0.215047636274412,0.1711515181190825,1.66793799406963,0.4938606354560969,0.128806430692152,0.1711515181190825,4.468896898823491,0.4938606354560969,0.1711515181190825,0.4938606354560969,0.1021700751795978,0.3631288665943397,0.1554427862047062,8.574664931052643,0.4665981751745524,0.5073342907368623,-0.1412593920060026,0.1643964100745987,0.2160481611197354,,0.215047636274412,1.66793799406963
W4,adaln,24,0.0114213396307525,0.0112695953081876,0.4273506614239251,0.1020096028955294,0.0555798011809036,0.0112695953081876,0.4793082433303631,0.1020096028955294,0.0112695953081876,0.1020096028955294,0.1084605531824552,0.7692379945439951,0.0026990491793519,0.1893784921167311,-0.146112795224245,0.5779732786066286,-0.0469242631861876,0.280903071417622,0.0373155271070347,,0.0114213396307525,0.4273506614239251
