scheme,group,lead,mean_physics_share,mean_rmse_share,mean_physics_abs_svr,mean_rmse_abs_svr
W4,embed,24,0.1665796809305596,0.20295942319788762,0.9122705495469637,0.6115085968533193
W4,b0-5_attn,24,-0.013880387592612302,0.010114763444586108,0.0342766090558001,0.03163332684392051
W4,b0-5_mlp,24,0.006110548049262184,0.015604841245783154,0.04401662395820663,0.047089242166607474
W4,b6-11_attn,24,-0.00573778754857743,0.10647169416903883,0.10720554647191327,0.32094001349773504
W4,b6-11_mlp,24,-0.03373846192910623,0.04431690900067909,0.0667566513447441,0.13636616606787358
W4,b12-17_attn,24,-0.003151649251143598,0.029206894886812367,0.06149218619749682,0.08840323605122226
W4,b12-17_mlp,24,0.0018404933728415117,0.046778608401706,0.045541452228965135,0.13641837541758361
W4,b18-23_attn,24,-0.005602781725973576,0.060847929601409556,0.13155357559724734,0.17925957376903048
W4,b18-23_mlp,24,0.21504763627441206,0.17115151811908258,1.66793799406963,0.4938606354560969
W4,adaln,24,0.011421339630752583,0.011269595308187677,0.42735066142392514,0.1020096028955294
W4,head,24,0.2594979610783577,0.23329377457814957,1.7364610893230246,0.7162495159757772
W4,embed,72,0.3051305944149668,0.1312842015666138,1.2200600602398166,0.348145107912554
W4,b0-5_attn,72,-0.0037774330339572656,0.011332687075340265,0.0316276689029856,0.026852911115644116
W4,b0-5_mlp,72,0.002941859819575812,0.010310977354930782,0.04706620939576579,0.028851098570784772
W4,b6-11_attn,72,0.013710239306655516,0.15281316691502478,0.11105340090787222,0.36665513536477223
W4,b6-11_mlp,72,-0.006669858890872719,0.05836811105382387,0.08501372604565635,0.14374960745073806
W4,b12-17_attn,72,0.014106954716801194,0.031075209753024705,0.07151500016386995,0.07848654628642056
W4,b12-17_mlp,72,-0.016334012964367213,0.03422877562601997,0.09720640999192895,0.08697926507436511
W4,b18-23_attn,72,0.042440317465473054,0.05719625147053922,0.20148271550421556,0.14366355543981532
W4,b18-23_mlp,72,0.250862692553834,0.20002514572421148,2.7267761571285303,0.5327431763419853
W4,adaln,72,0.04418272233549527,0.018867381801355596,0.6798392158722475,0.06127981130816937
W4,head,72,0.2695449718870078,0.25328917763857084,2.9767469845607404,0.6233142768864269
W4,embed,120,0.24849118073078494,0.14649283146726286,1.4764855859178723,0.21419645580586702
W4,b0-5_attn,120,-0.0053366247999445116,0.01716794884287911,0.04231209364740663,0.019684298611602744
W4,b0-5_mlp,120,0.013841416816555884,-0.002783643206732038,0.06195724907228343,0.013333494407975613
W4,b6-11_attn,120,-0.014002976416703231,0.15632965054622022,0.11758321329837222,0.19828718581161128
W4,b6-11_mlp,120,-0.008969882242465485,0.0727906141228207,0.10924070815995478,0.09398080379367936
W4,b12-17_attn,120,-0.016467076156286793,0.05280129613739786,0.08821747150887152,0.06584358442986248
W4,b12-17_mlp,120,0.05661049767392493,0.02816923793290596,0.1461370021348713,0.04759234827765393
W4,b18-23_attn,120,0.05056250076179284,0.060036746187905964,0.30131177374693086,0.08457262577996756
W4,b18-23_mlp,120,0.22988656006679756,0.20890899891334194,3.8914653796703678,0.3114413100757179
W4,adaln,120,0.1463725295686822,0.023849724113052164,0.7718937569233713,0.04541403546252232
W4,head,120,0.3170063206256063,0.2633095867473126,4.556202957581585,0.3466639103118512
W4,embed,168,0.23977404139392303,0.13839397801357506,1.6934122712423734,0.18126358021067637
W4,b0-5_attn,168,-0.009077667974261402,0.024162756681950576,0.058808778492986,0.025330186841109156
W4,b0-5_mlp,168,0.012943805700236025,-0.02058950196233932,0.08079517935056585,0.02181741971618496
W4,b6-11_attn,168,-0.009349472948408126,0.10146329357495998,0.11954930164635053,0.1235801217441433
W4,b6-11_mlp,168,0.015105033866250053,0.06455672708445821,0.12669306883770137,0.081968655134084
W4,b12-17_attn,168,-0.014761630956850165,0.04445129207488643,0.10400705108239962,0.05057542291893203
W4,b12-17_mlp,168,0.08168724088415132,0.03667705792215647,0.18680331621644763,0.04975254542490842
W4,b18-23_attn,168,0.041142938959003436,0.08575656307265701,0.4667803790464045,0.10616915827757446
W4,b18-23_mlp,168,0.1882055344749962,0.22304261128868286,4.226907635003368,0.2998848378310029
W4,adaln,168,0.12478048979978819,0.0361138883385582,0.9207976012288683,0.048501814785953244
W4,head,168,0.30986294080384463,0.28376146961362025,6.0885617969277055,0.3510070231862615
W8,embed,24,0.2296362508861363,0.3325807601897644,0.058417397425041,0.009229601365678344
W8,b0-5_attn,24,-0.0022927119595662453,-0.0345332401005664,0.00461474008801404,0.0006856231658426727
W8,b0-5_mlp,24,0.036672775674153245,0.05756776980838171,0.008294240047518161,0.0010185416268575123
W8,b6-11_attn,24,-0.06891991940866797,-0.08293591665871668,0.007132963394447133,0.0032500223764821874
W8,b6-11_mlp,24,-0.034291753777009944,0.166211516071009,0.005783136425087847,0.0035219648089362464
W8,b12-17_attn,24,0.04266886815817585,0.08055755487095993,0.008007260315116085,0.00249098391138431
W8,b12-17_mlp,24,-0.026514929464826118,-0.02350049210980808,0.009563772907598191,0.0030269426403005503
W8,b18-23_attn,24,0.01047928388929378,0.09991434223661645,0.009135880035236982,0.002953862124650361
W8,b18-23_mlp,24,0.15831382487141374,0.06721827413967814,0.045557762538714436,0.005320190131131026
W8,adaln,24,-0.0013710004653824856,-0.0011031830781558023,0.009538260246869918,0.00175102549870848
W8,head,24,0.32814784294344335,0.34472366889785994,0.024743308294087905,0.011965390755199692
W8,embed,72,0.30990421231536264,-0.5891671550189134,0.07882076415219874,0.011856521584202624
W8,b0-5_attn,72,0.03062025453709264,0.018284120038988067,0.004008622004348279,0.0008600038640188657
W8,b0-5_mlp,72,0.03276377446982579,-0.09393608821068834,0.013065319989607714,0.0014530960458267064
W8,b6-11_attn,72,0.014166092303842106,0.0983335541116111,0.008800776762163105,0.0021081722923672447
W8,b6-11_mlp,72,0.0005244360505959404,0.21061995848723059,0.009600513993992246,0.0035500094672863535
W8,b12-17_attn,72,0.025001073822760955,0.0394941067129311,0.008751726231220674,0.0010048132057873904
W8,b12-17_mlp,72,0.028247479323658738,0.08409217105064191,0.01376418891623322,0.0021879185021464165
W8,b18-23_attn,72,-0.04288450083646749,0.18108135239533843,0.0144428656581356,0.003286571480508269
W8,b18-23_mlp,72,0.29441122963405153,0.25635934220817463,0.0822030660689034,0.00546858980774603
W8,adaln,72,0.0018423710213512356,-0.2706623461021916,0.014520711702384798,0.003930145672698499
W8,head,72,0.12208592435541166,0.39393242523836997,0.04153695917113987,0.0058008744857761
W8,embed,120,-0.03532556858774853,-0.5097283418199,0.10961654970376213,0.006827898143816323
W8,b0-5_attn,120,0.021045185709238606,-0.13201906436101493,0.004759022351792908,0.000933867625102331
W8,b0-5_mlp,120,-0.11069990132543113,-0.039002717221701906,0.014194591273253685,0.00044228170292861206
W8,b6-11_attn,120,0.021939372910180017,0.45022778606481956,0.011402025714965063,0.003273752038535403
W8,b6-11_mlp,120,0.08759019303636371,0.42073217734000096,0.013112826792363605,0.0031584746263147393
W8,b12-17_attn,120,-0.03276232609495531,0.138529058768778,0.009474729742511718,0.0011523357409559066
W8,b12-17_mlp,120,0.08642884091891753,-0.022480251361305187,0.018656322847127035,0.001192130315860866
W8,b18-23_attn,120,-0.013332443437206696,0.3156838245871619,0.0220955900394771,0.0024953602987408067
W8,b18-23_mlp,120,0.6330401079418292,0.2574262996255473,0.12003205168470744,0.0026537511153313723
W8,adaln,120,-0.12057656894741912,-0.25723182221371416,0.015070846319297062,0.001868759221132705
W8,head,120,0.12499855384425698,0.3659236817192184,0.06693728164906107,0.0028847004114547783
W8,embed,168,-0.033647902924704834,-0.1802995778748555,0.1317231542298238,0.007986103531585846
W8,b0-5_attn,168,0.0321837131119436,-0.09361119210744324,0.005489162937531844,0.001390170673027563
W8,b0-5_mlp,168,-0.09196427434866171,-0.05166057584314846,0.01393796926370051,0.0013655957148091898
W8,b6-11_attn,168,0.029244130413370536,0.21336137990020887,0.016292410025662004,0.003541058030535652
W8,b6-11_mlp,168,0.14573091008221564,0.28537221567350435,0.016811742045838057,0.004364872256244059
W8,b12-17_attn,168,-0.03667314154057622,0.07664727139347043,0.012506442982622247,0.000977772045085373
W8,b12-17_mlp,168,0.10620740836805162,0.07951795159967155,0.022292248604327318,0.0016949560933138283
W8,b18-23_attn,168,-0.014974868061765765,0.2891707653791265,0.029198706660172265,0.003925720000261143
W8,b18-23_mlp,168,0.5076960537528753,0.09956271720543393,0.14093562898743636,0.002085542462299566
