,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.8912,0.5596,0.5807,0.6211,0.6140,0.8298,0.4175,0.5702,-0.0211
|Vag| 850hPa,0.8912,1.0000,0.7579,0.8035,0.8263,0.8368,0.6754,0.5930,0.7561,0.1456
Vag/Vg 500hPa,0.5596,0.7579,1.0000,0.9877,0.9140,0.9175,0.4053,0.8228,0.8614,0.2614
|Vag| 500hPa,0.5807,0.8035,0.9877,1.0000,0.9386,0.9491,0.4123,0.8193,0.8912,0.2947
Vag/Vg 250hPa,0.6211,0.8263,0.9140,0.9386,1.0000,0.9930,0.4860,0.8088,0.9368,0.4544
|Vag| 250hPa,0.6140,0.8368,0.9175,0.9491,0.9930,1.0000,0.4789,0.8018,0.9193,0.4439
div/vort 850hPa,0.8298,0.6754,0.4053,0.4123,0.4860,0.4789,1.0000,0.2509,0.4000,0.0772
div/vort 500hPa,0.4175,0.5930,0.8228,0.8193,0.8088,0.8018,0.2509,1.0000,0.8368,0.3632
div/vort 250hPa,0.5702,0.7561,0.8614,0.8912,0.9368,0.9193,0.4000,0.8368,1.0000,0.5088
HypsRel 600-500,-0.0211,0.1456,0.2614,0.2947,0.4544,0.4439,0.0772,0.3632,0.5088,1.0000
