,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.7298,0.7649,0.6684,0.5737,0.5719,0.4825,0.6158,0.5368,-0.0018
|Vag| 850hPa,0.7298,1.0000,0.8877,0.8807,0.8526,0.8596,0.4947,0.5947,0.7228,0.3368
Vag/Vg 500hPa,0.7649,0.8877,1.0000,0.9456,0.8912,0.8947,0.5509,0.6088,0.6263,0.3281
|Vag| 500hPa,0.6684,0.8807,0.9456,1.0000,0.8579,0.8982,0.5000,0.5386,0.6105,0.4281
Vag/Vg 250hPa,0.5737,0.8526,0.8912,0.8579,1.0000,0.9737,0.5684,0.5614,0.5912,0.4088
|Vag| 250hPa,0.5719,0.8596,0.8947,0.8982,0.9737,1.0000,0.4912,0.5789,0.5737,0.4175
div/vort 850hPa,0.4825,0.4947,0.5509,0.5000,0.5684,0.4912,1.0000,0.3421,0.3491,0.1860
div/vort 500hPa,0.6158,0.5947,0.6088,0.5386,0.5614,0.5789,0.3421,1.0000,0.7456,0.4421
div/vort 250hPa,0.5368,0.7228,0.6263,0.6105,0.5912,0.5737,0.3491,0.7456,1.0000,0.5123
HypsRel 600-500,-0.0018,0.3368,0.3281,0.4281,0.4088,0.4175,0.1860,0.4421,0.5123,1.0000
