,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.6158,0.6982,0.6070,0.5368,0.4965,0.3456,0.3509,0.4246,0.0123
|Vag| 850hPa,0.6158,1.0000,0.6667,0.7509,0.7474,0.7228,0.4579,0.6579,0.8105,0.5105
Vag/Vg 500hPa,0.6982,0.6667,1.0000,0.8965,0.8105,0.8035,0.4877,0.6053,0.6333,0.2228
|Vag| 500hPa,0.6070,0.7509,0.8965,1.0000,0.8316,0.8912,0.4211,0.5509,0.6526,0.3667
Vag/Vg 250hPa,0.5368,0.7474,0.8105,0.8316,1.0000,0.9561,0.5561,0.5404,0.6526,0.4368
|Vag| 250hPa,0.4965,0.7228,0.8035,0.8912,0.9561,1.0000,0.5018,0.4912,0.5439,0.3684
div/vort 850hPa,0.3456,0.4579,0.4877,0.4211,0.5561,0.5018,1.0000,0.2930,0.4421,0.1947
div/vort 500hPa,0.3509,0.6579,0.6053,0.5509,0.5404,0.4912,0.2930,1.0000,0.7474,0.4491
div/vort 250hPa,0.4246,0.8105,0.6333,0.6526,0.6526,0.5439,0.4421,0.7474,1.0000,0.6842
HypsRel 600-500,0.0123,0.5105,0.2228,0.3667,0.4368,0.3684,0.1947,0.4491,0.6842,1.0000
