metric,lead,sum_oat,full,ratio,additive_ok
RMSE Q700,168,2.642142741630479e-07,6.481022865045816e-06,0.04076737263002699,False
RMSE U500,168,0.13219571113586426,0.06363134582837422,2.077524990472795,False
SpecResLog Z500,168,6.921314602704444,0.07376609262458879,93.8278598803989,False
SpecDivW1 Z500,168,0.009883441014645413,0.002492437226709277,3.965372089909905,False
SpecResLog T850,168,-0.1688818669505764,0.015758929532315506,-10.716582405185873,False
SpecDivW1 T850,168,-0.008690784402110999,-0.008942562475300156,0.9718449746496508,True
|RQE| T850,168,0.002243689882258574,0.001576333589279481,1.4233598126169043,False
SpecDiv> Q700,168,0.002843167632818222,0.0034777306330700717,0.8175353219660748,True
SpecDiv< Q700,168,0.001882991831128796,0.002783023849284897,0.6765992435216228,False
SpecRes Q700,168,0.0005051551658349732,0.0004978271717845928,1.0147199559720923,True
SpecResLog Q700,168,0.02269747338706905,0.020078512693307633,1.1304359906415948,True
SpecDivW1 Q700,168,0.44366596544351,0.4312559746854774,1.028776391485552,True
|RQE| Q700,168,0.0009271875023841854,-0.01217912812717259,-0.07612921817577051,False
Vag/Vg 850hPa,168,0.0215272456407547,0.0235471756507953,0.9142177371929369,True
|Vag| 850hPa,168,0.251211941242218,0.30361201365788776,0.827411070516088,True
Vag/Vg 500hPa,168,0.05348815520604452,0.05838138020286957,0.9161851778799751,True
|Vag| 500hPa,168,0.9953810373942057,1.1058615446090698,0.9000955338817574,True
Vag/Vg 250hPa,168,0.04094584037860235,0.04331427284826835,0.9453198146033129,True
|Vag| 250hPa,168,1.2159436543782554,1.3191644549369812,0.9217528942866665,True
div/vort 850hPa,168,0.003874396284421285,0.0056150338302056,0.6900040857419768,False
div/vort 500hPa,168,0.010662610332171122,0.011080403501788775,0.9622944083624566,True
div/vort 250hPa,168,0.013635804255803427,0.013389307695130507,1.0184099556366584,True
HypsRel 600-500,168,4.804255270703447e-05,8.797741889318765e-05,0.5460782245198892,False
LapseW1 mean,168,0.010683788917958736,0.005208884676297505,2.051070350352393,False
|DryAir Md err|,168,-108576773242880.0,-126111693056682.67,0.8609572245935881,True
neg-q fraction,168,0.0009752266367589376,0.0010173685253581273,0.9585775581327768,True
|neg-q mass|,168,19920030154.666664,20572265677.333332,0.9682953966813045,True
DKE<1000km 500hPa,168,0.005260542035102844,0.006727042297522227,0.7819992505533169,False
DKEpert<1000km 500hPa,168,2.41259564490368,0.6527221438785394,3.696206215048563,False
