,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9273,0.9000,0.8818,0.6818,0.6909,0.7091,0.7273,0.7818,0.8455
|Vag| 850hPa,0.9273,1.0000,0.9545,0.9727,0.8091,0.8273,0.7182,0.7636,0.7727,0.7364
Vag/Vg 500hPa,0.9000,0.9545,1.0000,0.9909,0.8000,0.8455,0.8000,0.8636,0.8636,0.7545
|Vag| 500hPa,0.8818,0.9727,0.9909,1.0000,0.8364,0.8727,0.7909,0.8545,0.8455,0.7182
Vag/Vg 250hPa,0.6818,0.8091,0.8000,0.8364,1.0000,0.9909,0.5091,0.8091,0.6091,0.5091
|Vag| 250hPa,0.6909,0.8273,0.8455,0.8727,0.9909,1.0000,0.5455,0.8455,0.6545,0.5364
div/vort 850hPa,0.7091,0.7182,0.8000,0.7909,0.5091,0.5455,1.0000,0.7182,0.8909,0.5545
div/vort 500hPa,0.7273,0.7636,0.8636,0.8545,0.8091,0.8455,0.7182,1.0000,0.9000,0.6273
div/vort 250hPa,0.7818,0.7727,0.8636,0.8455,0.6091,0.6545,0.8909,0.9000,1.0000,0.6455
HypsRel 600-500,0.8455,0.7364,0.7545,0.7182,0.5091,0.5364,0.5545,0.6273,0.6455,1.0000
