,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9807,0.9825,0.9281,0.9526,0.9298,0.8193,0.9368,0.9702,0.5140
|Vag| 850hPa,0.9807,1.0000,0.9860,0.9491,0.9596,0.9544,0.8298,0.9579,0.9702,0.5491
Vag/Vg 500hPa,0.9825,0.9860,1.0000,0.9474,0.9825,0.9649,0.8263,0.9509,0.9719,0.5684
|Vag| 500hPa,0.9281,0.9491,0.9474,1.0000,0.9632,0.9842,0.7877,0.9105,0.9263,0.6018
Vag/Vg 250hPa,0.9526,0.9596,0.9825,0.9632,1.0000,0.9877,0.8035,0.9456,0.9649,0.6544
|Vag| 250hPa,0.9298,0.9544,0.9649,0.9842,0.9877,1.0000,0.8018,0.9404,0.9509,0.6368
div/vort 850hPa,0.8193,0.8298,0.8263,0.7877,0.8035,0.8018,1.0000,0.8105,0.8298,0.3456
div/vort 500hPa,0.9368,0.9579,0.9509,0.9105,0.9456,0.9404,0.8105,1.0000,0.9737,0.5789
div/vort 250hPa,0.9702,0.9702,0.9719,0.9263,0.9649,0.9509,0.8298,0.9737,1.0000,0.5526
HypsRel 600-500,0.5140,0.5491,0.5684,0.6018,0.6544,0.6368,0.3456,0.5789,0.5526,1.0000
