,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9789,0.9667,0.9544,0.9825,0.9632,0.9456,0.9526,0.9421,0.6649
|Vag| 850hPa,0.9789,1.0000,0.9807,0.9860,0.9772,0.9737,0.9491,0.9509,0.9439,0.6298
Vag/Vg 500hPa,0.9667,0.9807,1.0000,0.9877,0.9877,0.9860,0.9649,0.9561,0.9491,0.6456
|Vag| 500hPa,0.9544,0.9860,0.9877,1.0000,0.9719,0.9842,0.9509,0.9544,0.9439,0.5965
Vag/Vg 250hPa,0.9825,0.9772,0.9877,0.9719,1.0000,0.9912,0.9702,0.9719,0.9632,0.6877
|Vag| 250hPa,0.9632,0.9737,0.9860,0.9842,0.9912,1.0000,0.9702,0.9737,0.9632,0.6649
div/vort 850hPa,0.9456,0.9491,0.9649,0.9509,0.9702,0.9702,1.0000,0.9526,0.9439,0.5982
div/vort 500hPa,0.9526,0.9509,0.9561,0.9544,0.9719,0.9737,0.9526,1.0000,0.9860,0.6474
div/vort 250hPa,0.9421,0.9439,0.9491,0.9439,0.9632,0.9632,0.9439,0.9860,1.0000,0.6211
HypsRel 600-500,0.6649,0.6298,0.6456,0.5965,0.6877,0.6649,0.5982,0.6474,0.6211,1.0000
