# per-initialisation RMSE degradation vs FP32, percent. source=harness_results.pt vars=7. Spread over inits is WEATHER VARIABILITY, not an interval on the mean -- inits are autocorrelated and n_eff is well below n.
tag,lead,init,deg_pct
W8A8_floor,24,12,9.75613
W8A8_floor,24,13,9.07789
W8A8_floor,24,14,9.80101
W8A8_floor,24,15,10.1675
W8A8_floor,24,16,8.56543
W8A8_floor,24,17,9.60224
W8A8_floor,24,18,9.56308
W8A8_floor,24,19,9.94478
W8A8_floor,24,20,9.67104
W8A8_floor,24,21,7.09065
W8A8_floor,24,22,9.10752
W8A8_floor,24,23,6.90543
W8A8_floor,24,24,7.08727
W8A8_floor,24,25,9.10197
W8A8_floor,24,26,8.45859
W8A8_floor,24,27,6.11457
W8A8_floor,24,28,7.20818
W8A8_floor,24,29,8.54192
W8A8_floor,24,30,7.23079
W8A8_floor,24,31,10.1198
W8A8_floor,24,32,9.64774
W8A8_floor,24,33,7.76359
W8A8_floor,24,34,8.3913
W8A8_floor,24,35,7.06523
W8A8_floor,24,36,9.7327
W8A8_floor,24,37,9.82345
W8A8_floor,24,38,9.41903
W8A8_floor,24,39,10.1023
W8A8_floor,24,40,9.61014
W8A8_floor,24,41,8.56529
W8A8_floor,24,42,7.72188
W8A8_floor,24,43,8.60163
W8A8_floor,24,44,6.34508
W8A8_floor,24,45,8.16425
W8A8_floor,24,46,8.98947
W8A8_floor,24,47,7.53301
W8A8_floor,72,0,7.68736
W8A8_floor,72,1,4.79452
W8A8_floor,72,2,9.11903
W8A8_floor,72,3,1.80109
W8A8_floor,72,4,10.2792
W8A8_floor,72,5,4.92728
W8A8_floor,72,6,2.46176
W8A8_floor,72,7,6.35343
W8A8_floor,72,8,7.0029
W8A8_floor,72,9,2.79724
W8A8_floor,72,10,2.12091
W8A8_floor,72,11,7.70225
W8A8_floor,72,12,8.06719
W8A8_floor,72,13,6.9204
W8A8_floor,72,14,5.30762
W8A8_floor,72,15,7.51954
W8A8_floor,72,16,4.2177
W8A8_floor,72,17,-0.246027
W8A8_floor,72,18,3.65385
W8A8_floor,72,19,2.20467
W8A8_floor,72,20,4.86764
W8A8_floor,72,21,1.61969
W8A8_floor,72,22,1.25368
W8A8_floor,72,23,2.92733
W8A8_floor,72,24,0.911754
W8A8_floor,72,25,4.88397
W8A8_floor,72,26,3.53548
W8A8_floor,72,27,-0.238859
W8A8_floor,72,28,-0.222806
W8A8_floor,72,29,5.92537
W8A8_floor,72,30,1.80026
W8A8_floor,72,31,0.0607777
W8A8_floor,72,32,8.80564
W8A8_floor,72,33,1.54612
W8A8_floor,72,34,2.16262
W8A8_floor,72,35,3.01963
W8A8_floor,72,36,1.48995
W8A8_floor,72,37,5.20478
W8A8_floor,72,38,2.22129
W8A8_floor,72,39,7.40443
W8A8_floor,72,40,5.20777
W8A8_floor,72,41,4.33592
W8A8_floor,72,42,-0.643783
W8A8_floor,72,43,5.37733
W8A8_floor,72,44,-1.06251
W8A8_floor,72,45,1.66419
W8A8_floor,72,46,9.03954
W8A8_floor,72,47,5.81204
W8A8_floor,120,0,2.76544
W8A8_floor,120,1,1.76449
W8A8_floor,120,2,7.70963
W8A8_floor,120,3,0.33905
W8A8_floor,120,4,11.465
W8A8_floor,120,5,-3.22873
W8A8_floor,120,6,-1.76201
W8A8_floor,120,7,8.23621
W8A8_floor,120,8,5.06512
W8A8_floor,120,9,3.05338
W8A8_floor,120,10,8.77679
W8A8_floor,120,11,5.94116
W8A8_floor,120,12,2.3803
W8A8_floor,120,13,8.12663
W8A8_floor,120,14,0.27119
W8A8_floor,120,15,2.86867
W8A8_floor,120,16,5.95236
W8A8_floor,120,17,-1.93968
W8A8_floor,120,18,1.0661
W8A8_floor,120,19,-0.264316
W8A8_floor,120,20,-2.11771
W8A8_floor,120,21,4.17703
W8A8_floor,120,22,1.43734
W8A8_floor,120,23,3.10289
W8A8_floor,120,24,6.62307
W8A8_floor,120,25,2.18136
W8A8_floor,120,26,1.27223
W8A8_floor,120,27,-1.97626
W8A8_floor,120,28,1.31832
W8A8_floor,120,29,2.60611
W8A8_floor,120,30,1.65222
W8A8_floor,120,31,-2.94611
W8A8_floor,120,32,6.72314
W8A8_floor,120,33,2.81964
W8A8_floor,120,34,-0.811446
W8A8_floor,120,35,-3.3013
W8A8_floor,120,36,1.33788
W8A8_floor,120,37,0.252536
W8A8_floor,120,38,-2.16681
W8A8_floor,120,39,4.16784
W8A8_floor,120,40,3.51853
W8A8_floor,120,41,-0.280141
W8A8_floor,120,42,-2.11232
W8A8_floor,120,43,0.982167
W8A8_floor,120,44,-2.58418
W8A8_floor,120,45,-5.97793
W8A8_floor,120,46,4.13922
W8A8_floor,120,47,1.42875
W8A8_floor,168,0,3.20077
W8A8_floor,168,1,-2.11483
W8A8_floor,168,2,5.32068
W8A8_floor,168,3,-5.16459
W8A8_floor,168,4,8.12651
W8A8_floor,168,5,-4.89823
W8A8_floor,168,6,2.02254
W8A8_floor,168,7,8.89616
W8A8_floor,168,8,8.63084
W8A8_floor,168,9,2.24086
W8A8_floor,168,10,13.4396
W8A8_floor,168,11,5.30532
W8A8_floor,168,12,-2.85139
W8A8_floor,168,13,1.12954
W8A8_floor,168,14,0.199079
W8A8_floor,168,15,-0.453956
W8A8_floor,168,16,0.907303
W8A8_floor,168,17,-1.70719
W8A8_floor,168,18,6.16836
W8A8_floor,168,19,-4.35893
W8A8_floor,168,20,-0.940209
W8A8_floor,168,21,6.21279
W8A8_floor,168,22,-2.09285
W8A8_floor,168,23,-1.99645
W8A8_floor,168,24,-0.994243
W8A8_floor,168,25,-1.43026
W8A8_floor,168,26,0.379413
W8A8_floor,168,27,-7.56959
W8A8_floor,168,28,-0.663592
W8A8_floor,168,29,-1.38179
W8A8_floor,168,30,7.90659
W8A8_floor,168,31,-2.23394
W8A8_floor,168,32,2.25192
W8A8_floor,168,33,7.64555
W8A8_floor,168,34,4.65503
W8A8_floor,168,35,3.20603
W8A8_floor,168,36,5.7735
W8A8_floor,168,37,0.138793
W8A8_floor,168,38,7.25865
W8A8_floor,168,39,8.51914
W8A8_floor,168,40,6.63034
W8A8_floor,168,41,-0.742511
W8A8_floor,168,42,-6.86713
W8A8_floor,168,43,-5.04807
W8A8_floor,168,44,-0.931347
W8A8_floor,168,45,-9.17869
W8A8_floor,168,46,-1.33394
W8A8_floor,168,47,-1.54518
W8A8_knee,24,0,8.91073
W8A8_knee,24,1,6.97606
W8A8_knee,24,2,8.5058
W8A8_knee,24,3,7.04921
W8A8_knee,24,4,9.31969
W8A8_knee,24,5,8.62084
W8A8_knee,24,6,6.83897
W8A8_knee,24,7,6.94264
W8A8_knee,24,8,8.60673
W8A8_knee,24,9,7.70747
W8A8_knee,24,10,6.98363
W8A8_knee,24,11,8.45428
W8A8_knee,24,12,8.24453
W8A8_knee,24,13,8.52884
W8A8_knee,24,14,8.12549
W8A8_knee,24,15,8.76428
W8A8_knee,24,16,7.56357
W8A8_knee,24,17,8.76806
W8A8_knee,24,18,9.00843
W8A8_knee,24,19,8.97748
W8A8_knee,24,20,8.76145
W8A8_knee,24,21,5.58147
W8A8_knee,24,22,7.52825
W8A8_knee,24,23,5.9951
W8A8_knee,24,24,5.64648
W8A8_knee,24,25,8.11822
W8A8_knee,24,26,7.30648
W8A8_knee,24,27,4.66114
W8A8_knee,24,28,6.02691
W8A8_knee,24,29,6.43154
W8A8_knee,24,30,5.80016
