# leave-one-CONFIG-out Spearman rho, lead=120, n_configs=16, balance_source=harness_results.csv. INFLUENCE, not sampling uncertainty: the config set varies and the dates are held fixed -- this is unrelated to sampling uncertainty, which is not estimated anywhere in this driver any more.
var,lead,dropped,rho
V10,120,W8A8_rmse_knee,0.21071428571428572
V10,120,W8A8_probe_divergent,0.175
V10,120,W8A8_probe_rmse_favoured,0.15
V10,120,W8A8_rand_0,0.34285714285714286
V10,120,W8A8_rand_2,0.34285714285714286
V10,120,W8A8_rand_3,0.2392857142857143
V10,120,W8A8_rmse_span1,0.2392857142857143
V10,120,W8A8_rand_1,0.2
V10,120,W8A8_span1,0.31785714285714284
V10,120,W8A8_span2,0.29285714285714287
V10,120,W8A8_rmse_span2,0.14285714285714285
V10,120,W8A8_span3,0.14285714285714285
V10,120,W8A8_rmse_span3,0.14285714285714285
V10,120,ceiling,0.14285714285714285
