pair,family,lead,label,physics,rmse,ratio,contribution
W8A8_knee|W8A8_rmseup_knee,wind_balance,120,Vag/Vg 850hPa,2.124030622390137,1.9270791262529183,0.9072746437546214,0.5162810398271415
W8A8_knee|W8A8_rmseup_knee,wind_balance,120,|Vag| 850hPa,2.836507603223706,2.596029431139014,0.9152203322806582,0.6954985687258222
W8A8_knee|W8A8_rmseup_knee,wind_balance,120,Vag/Vg 500hPa,6.097175815463028,5.710828560595626,0.9366350476744352,1.5299799927114603
W8A8_knee|W8A8_rmseup_knee,wind_balance,120,|Vag| 500hPa,5.501435244214558,5.145488509789026,0.9352992957974279,1.3785205402633964
W8A8_knee|W8A8_rmseup_knee,wind_balance,120,Vag/Vg 250hPa,2.545755454015946,2.336098894414438,0.917644658574423,0.6258609467129009
W8A8_knee|W8A8_rmseup_knee,wind_balance,120,|Vag| 250hPa,3.290794241598061,3.01478845913967,0.9161279125356807,0.807687706923569
W8A8_span1|W8A8_rmseup_span1,wind_balance,120,Vag/Vg 850hPa,0.18598499075731129,1.6704650066650466,8.98171943802072,3.8766216546035364
W8A8_span1|W8A8_rmseup_span1,wind_balance,120,|Vag| 850hPa,0.42420085077058334,2.5272079371473595,5.95757394771027,5.864851389129301
W8A8_span1|W8A8_rmseup_span1,wind_balance,120,Vag/Vg 500hPa,0.6235504058863518,5.169259520914391,8.290042748936225,11.99621860804439
W8A8_span1|W8A8_rmseup_span1,wind_balance,120,|Vag| 500hPa,0.6738720728734288,4.735843121979813,7.027807372675216,10.990396043150055
W8A8_span1|W8A8_rmseup_span1,wind_balance,120,Vag/Vg 250hPa,0.2874474206288523,2.105385439328724,7.3244193137052545,4.8859346067255105
W8A8_span1|W8A8_rmseup_span1,wind_balance,120,|Vag| 250hPa,0.39038873445240385,2.692191988310346,6.896182575777113,6.247727260728386
W4W8_span1|W4W8_rmseup_span1,wind_balance,120,Vag/Vg 850hPa,0.002281066112841814,0.029640271609848067,12.994043198915183,0.06330219855431835
W4W8_span1|W4W8_rmseup_span1,wind_balance,120,|Vag| 850hPa,0.6284953357098159,0.1606503720537825,0.2556110808242446,0.3430981295797168
W4W8_span1|W4W8_rmseup_span1,wind_balance,120,Vag/Vg 500hPa,0.35029194911844436,0.03354878535244699,0.09577378365925027,0.07164954152887036
W4W8_span1|W4W8_rmseup_span1,wind_balance,120,|Vag| 500hPa,0.696772817032653,0.14599502609388254,0.2095303124993189,0.31179896903060844
W4W8_span1|W4W8_rmseup_span1,wind_balance,120,Vag/Vg 250hPa,0.473355673406749,0.0374436485750812,0.07910256637593167,0.07996773133179999
W4W8_span1|W4W8_rmseup_span1,wind_balance,120,|Vag| 250hPa,0.6582099994654121,0.06953029776542285,0.10563543219017377,0.14849461478029402
