# measured RMSE (standard) axis re-scored from harness_results.pt. lead=120 svr_basis=iqr_raw harness=precision_harness n_tags=38. balance_rescored/conservation_rescored are the SAME basis as `standard` and are for comparison against the frozen harness_results.csv columns -- they are not a replacement for them.
tag,lead,standard,balance_rescored,conservation_rescored
W4W8_rmse_span1,120,0.03322390742554498,0.09129282433165099,1.9545454545454546
W4W8_rmseup_span1,120,0.03689361417703166,0.07946806690841068,1.9878787878787878
W4W8_span1,120,0.46136992414181144,0.46823447347431935,0.6252525252525253
W8A8_knee,120,0.26244283850734146,3.7326164968175726,1.8503367003367002
W8A8_rmseup_knee,120,0.2323814261245655,3.455052163555115,1.901010101010101
W8A8_rmseup_span1,120,0.20562636724136918,3.15005883572428,0.7067340067340067
W4W8_rmse_span2,120,0.03969713072678344,0.06958891684059297,1.9814814814814816
W4W8_span2,120,0.023464833486801947,0.11849703519700218,0.057239057239057235
W4W8_span3,120,0.015085545118170498,0.052592471791923306,0.0531986531986532
W8A8_floor,120,0.22664267880621125,6.426822708421679,1.9388888888888889
ceiling,120,0.0021601851080872594,0.0246649151160991,0.004208754208754209
W8A8_span1,120,0.23609368308551673,0.4309074125614886,0.07222222222222222
W8A8_span2,120,0.2596337287030431,0.04830671782347017,0.015824915824915825
W8A8_span3,120,0.00505903680788172,0.022308311803800825,0.000505050505050505
W8A8_rmse_knee,120,0.16327407032231922,6.299382587202678,1.7016835016835017
W8A8_rmse_span1,120,0.10159923444783854,3.3719842890831813,1.4629629629629628
W8A8_rmse_span2,120,0.018697113768203915,0.042317395251462324,0.13703703703703704
W8A8_rmse_span3,120,0.008042655776901261,0.009767693657147263,0.12643097643097645
W8A8_probe_divergent,120,0.2571420741091612,6.316530427786316,1.9417508417508418
W8A8_probe_rmse_favoured,120,0.3293305799205481,6.077115781859516,1.94023569023569
W8A8_rand_0,120,0.10581704979656298,3.726073353507536,1.627104377104377
W8A8_rand_1,120,0.08525279507026107,1.29354603097097,0.36262626262626263
W8A8_rand_2,120,0.11648871869017104,3.728215811528798,1.6451178451178452
W8A8_rand_3,120,0.28436650295274074,3.505365577841518,0.419023569023569
W4W8_floor,120,5.798919851455172,47.96562569641002,1.0905723905723907
W4W8_knee,120,5.356686566535802,14.695498741676838,1.1493265993265993
W4W8_rmse_span3,120,0.005291832271205897,0.015506703513687803,0.07441077441077441
W8A8_protect_io,120,0.24480623731978812,0.5426197505146905,1.414814814814815
W4W8_protect_io,120,2.123870669276372,6.658193301266189,0.561952861952862
W8A8_sq_floor,120,0.33213049638554243,4.563975823891812,1.798989898989899
W8A8_sq_knee,120,0.35141203688757705,3.0158583995020964,1.831986531986532
W8A8_sq_span1,120,0.09732188216669939,0.27896525948381184,0.28855218855218856
W8A8_sq_span2,120,0.029319998707688342,0.029797390401824355,0.1601010101010101
W8A8_sq_span3,120,0.012811845286045972,0.031050006827847896,0.01818181818181818
W8A8_sq_rmse_knee,120,0.32669063410670013,2.8721759381111482,1.761784511784512
W8A8_sq_rmse_span1,120,0.04513986456781436,0.19185760422840636,0.1941077441077441
W8A8_sq_rmse_span2,120,0.018271435322874105,0.0281951402281239,0.12727272727272726
W8A8_sq_rmse_span3,120,0.0104642268986614,0.015521460893544054,0.04966329966329966
