var,tag,lead,k,ratio
Z500,W8A8_floor,120,125,4.715652204
Z500,W8A8_floor,120,126,5.080175115
Z500,W8A8_floor,120,127,5.183811267
Z500,W8A8_floor,120,128,5.402071516
Z500,W8A8_floor,120,129,5.512153962
Z500,W8A8_floor,120,130,5.3898388
Z500,W8A8_floor,120,131,5.949865792
Z500,W8A8_floor,120,132,5.743861188
Z500,W8A8_floor,120,133,5.85901102
Z500,W8A8_floor,120,134,5.673684067
Z500,W8A8_floor,120,135,6.108680821
Z500,W8A8_floor,120,136,6.332896884
Z500,W8A8_floor,120,137,6.26789911
Z500,W8A8_floor,120,138,6.361465637
Z500,W8A8_floor,120,139,6.566531437
Z500,W8A8_floor,120,140,6.999658762
Z500,W8A8_floor,120,141,6.592635466
Z500,W8A8_floor,120,142,6.566896324
Z500,W8A8_floor,120,143,7.035224472
Z500,W8A8_floor,120,144,7.125731619
Z500,W8A8_floor,120,145,7.039682703
Z500,W8A8_floor,120,146,7.368981787
Z500,W8A8_floor,120,147,7.159852782
Z500,W8A8_floor,120,148,6.043734126
Z500,W8A8_floor,120,149,7.61218696
Z500,W8A8_floor,120,150,6.539567482
Z500,W8A8_floor,120,151,7.556544745
Z500,W8A8_floor,120,152,7.921012339
Z500,W8A8_floor,120,153,8.251150663
Z500,W8A8_floor,120,154,8.257271693
Z500,W8A8_floor,120,155,8.540125752
Z500,W8A8_floor,120,156,7.967831125
Z500,W8A8_floor,120,157,8.437617813
Z500,W8A8_floor,120,158,8.265099852
Z500,W8A8_floor,120,159,8.907702545
Z500,W8A8_floor,120,160,8.963719616
Z500,W8A8_floor,120,161,8.635940399
Z500,W8A8_floor,120,162,8.73225055
Z500,W8A8_floor,120,163,8.903348294
Z500,W8A8_floor,120,164,9.138222595
Z500,W8A8_floor,120,165,8.563468228
Z500,W8A8_floor,120,166,8.973659326
Z500,W8A8_floor,120,167,9.228931441
Z500,W8A8_floor,120,168,9.580666683
Z500,W8A8_floor,120,169,9.610607037
Z500,W8A8_floor,120,170,9.005400992
Z500,W8A8_floor,120,171,8.066101036
Z500,W8A8_floor,120,172,7.558506083
Z500,W8A8_floor,120,173,8.240223073
Z500,W8A8_floor,120,174,8.259983305
Z500,W8A8_floor,120,175,8.41022319
Z500,W8A8_floor,120,176,8.057888225
Z500,W8A8_floor,120,177,8.561935141
Z500,W8A8_floor,120,178,8.48635297
Z500,W8A8_floor,120,179,8.35206388
Z500,W8A8_floor,120,180,5.082675253
Z500,W8A8_floor,120,181,8.347449812
Z500,W8A8_floor,120,182,8.679017697
Z500,W8A8_floor,120,183,8.999998964
Z500,W8A8_floor,120,184,8.617541075
Z500,W8A8_floor,120,185,9.086026382
Z500,W8A8_floor,120,186,8.942087064
Z500,W8A8_floor,120,187,8.83542115
Z500,W8A8_floor,120,188,8.408339658
Z500,W8A8_floor,120,189,8.725280818
Z500,W8A8_floor,120,190,9.964378389
Z500,W8A8_floor,120,191,11.2157914
Z500,W8A8_floor,120,192,10.81077134
Z500,W8A8_floor,120,193,10.8479887
Z500,W8A8_floor,120,194,10.30552873
Z500,W8A8_floor,120,195,10.2964999
Z500,W8A8_floor,120,196,11.38238695
Z500,W8A8_floor,120,197,11.08272919
Z500,W8A8_floor,120,198,11.05851165
Z500,W8A8_floor,120,199,11.23805162
Z500,W8A8_floor,120,200,11.63294814
Z500,W8A8_floor,120,201,11.92873744
Z500,W8A8_floor,120,202,10.86532663
Z500,W8A8_floor,120,203,11.12517894
Z500,W8A8_floor,120,204,10.61655106
Z500,W8A8_floor,120,205,11.97626158
Z500,W8A8_floor,120,206,12.01402082
Z500,W8A8_floor,120,207,11.80390257
Z500,W8A8_floor,120,208,12.38473344
Z500,W8A8_floor,120,209,11.46070104
Z500,W8A8_floor,120,210,8.568101784
Z500,W8A8_floor,120,211,11.63926647
Z500,W8A8_floor,120,212,9.090342848
Z500,W8A8_floor,120,213,11.02767774
Z500,W8A8_floor,120,214,12.29062369
Z500,W8A8_floor,120,215,12.3863886
Z500,W8A8_floor,120,216,12.50870688
Z500,W8A8_floor,120,217,13.05349152
Z500,W8A8_floor,120,218,10.9097427
Z500,W8A8_floor,120,219,13.14626117
Z500,W8A8_floor,120,220,13.39867219
Z500,W8A8_floor,120,221,13.31548792
Z500,W8A8_floor,120,222,13.27822951
Z500,W8A8_floor,120,223,13.48697244
Z500,W8A8_floor,120,224,13.53005363
Z500,W8A8_floor,120,225,13.75052942
Z500,W8A8_floor,120,226,13.18644772
Z500,W8A8_floor,120,227,13.44098728
Z500,W8A8_floor,120,228,13.58419124
Z500,W8A8_floor,120,229,13.79472324
Z500,W8A8_floor,120,230,13.4126018
Z500,W8A8_floor,120,231,13.32060584
Z500,W8A8_floor,120,232,13.65419079
Z500,W8A8_floor,120,233,13.96109649
Z500,W8A8_floor,120,234,13.4225841
Z500,W8A8_floor,120,235,12.86276947
Z500,W8A8_floor,120,236,12.59263995
Z500,W8A8_floor,120,237,13.06613238
Z500,W8A8_floor,120,238,12.63511972
Z500,W8A8_floor,120,239,12.35017682
Z500,W8A8_floor,120,240,11.8860894
Z500,W8A8_floor,120,241,12.54714199
Z500,W8A8_floor,120,242,12.68394043
Z500,W8A8_floor,120,243,12.36818231
Z500,W8A8_floor,120,244,11.99609221
Z500,W8A8_floor,120,245,12.19223334
Z500,W8A8_floor,120,246,11.46835613
Z500,W8A8_floor,120,247,11.34801918
Z500,W8A8_floor,120,248,10.8157636
Z500,W8A8_floor,120,249,11.25854362
Z500,W8A8_floor,120,250,11.32052105
Z500,W8A8_floor,120,251,11.52429099
Z500,W8A8_floor,120,252,11.49470969
Z500,W8A8_floor,120,253,11.17927224
Z500,W8A8_floor,120,254,10.70524853
Z500,W8A8_floor,120,255,10.46709246
Z500,W8A8_floor,120,256,10.41187418
Z500,W8A8_floor,120,257,10.70721078
Z500,W8A8_floor,120,258,10.54704282
Z500,W8A8_floor,120,259,9.870839181
Z500,W8A8_floor,120,260,9.890843162
Z500,W8A8_floor,120,261,11.26771701
Z500,W8A8_floor,120,262,9.099764979
Z500,W8A8_floor,120,263,9.29096211
Z500,W8A8_floor,120,264,9.089779541
Z500,W8A8_floor,120,265,9.245872325
Z500,W8A8_floor,120,266,8.761472679
Z500,W8A8_floor,120,267,8.639904962
Z500,W8A8_floor,120,268,8.380685391
Z500,W8A8_floor,120,269,8.15999294
Z500,W8A8_floor,120,270,6.877848571
Z500,W8A8_floor,120,271,8.002088888
Z500,W8A8_floor,120,272,7.733021794
Z500,W8A8_floor,120,273,7.660160663
Z500,W8A8_floor,120,274,7.633020562
Z500,W8A8_floor,120,275,8.234883379
Z500,W8A8_floor,120,276,7.579693151
Z500,W8A8_floor,120,277,6.773135326
Z500,W8A8_floor,120,278,7.395465262
Z500,W8A8_floor,120,279,7.618813299
Z500,W8A8_floor,120,280,7.299112915
Z500,W8A8_floor,120,281,7.610795093
Z500,W8A8_floor,120,282,7.258259277
Z500,W8A8_floor,120,283,7.246659771
Z500,W8A8_floor,120,284,6.724576237
Z500,W8A8_floor,120,285,6.129068122
Z500,W8A8_floor,120,286,6.125211122
Z500,W8A8_floor,120,287,6.599275721
Z500,W8A8_floor,120,288,6.894294768
Z500,W8A8_floor,120,289,6.654217949
Z500,W8A8_floor,120,290,6.535145771
Z500,W8A8_floor,120,291,6.598074632
Z500,W8A8_floor,120,292,6.511683814
Z500,W8A8_floor,120,293,6.419143801
Z500,W8A8_floor,120,294,6.166550721
Z500,W8A8_floor,120,295,5.921858165
Z500,W8A8_floor,120,296,5.691839649
Z500,W8A8_floor,120,297,5.718797981
Z500,W8A8_floor,120,298,5.841779188
Z500,W8A8_floor,120,299,5.59049266
Z500,W8A8_floor,120,300,5.5548429
Z500,W8A8_floor,120,301,5.453158218
Z500,W8A8_floor,120,302,5.467079224
Z500,W8A8_floor,120,303,5.360357101
Z500,W8A8_floor,120,304,5.287267222
Z500,W8A8_floor,120,305,5.13176434
Z500,W8A8_floor,120,306,5.173850012
Z500,W8A8_floor,120,307,5.219333589
Z500,W8A8_floor,120,308,4.981328861
