card,scheme,metric,block,order,lead,fp32_mean,quant_mean,pct_diff,sigma,floor_measured,at_floor
rmse,W4,U10,SURFACE,26,72,1.5878801573115704,2.5017113147718395,57.55038585578592,0.0,False,False
rmse,W4,V10,SURFACE,27,72,1.6464778823925184,2.6141720256253116,58.77358897932017,0.0,False,False
rmse,W4,MSLP,SURFACE,28,72,132.32925688549093,297.11882931284066,124.5299613296762,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,120,250.2205298885606,817.0096200302947,226.51582202074388,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,120,412.1588945808459,834.1490078036528,102.38529818747672,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,120,296.55872697282945,551.0072070967791,85.80036835242488,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,120,228.49773662605452,411.4122824709798,80.05092240553441,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,120,216.8800356999387,380.06527889808535,75.2421690966149,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,120,1.5453475234321248,5.183713319082083,235.43997324105877,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,120,1.8183749540679492,3.3881322643482603,86.32748195131883,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,120,1.6295631149489258,2.8912185942287363,77.4229281275401,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,120,1.6489501235349433,2.9155172631716644,76.81051849655178,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,120,1.8503537069365565,3.231666341553722,74.65127502049675,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,120,6.148399990738396e-08,2.8666413365001786e-07,366.241841913071,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,120,5.685410668306393e-05,6.298406100145582e-05,10.781902444732143,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,120,0.0007394661669176622,0.0009625351170504241,30.166214508851226,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,120,0.0013761155275025655,0.0017744671367671144,28.94754119862994,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,120,0.001714780662538554,0.0024130008828876326,40.717756830511284,0.0,False,False
rmse,W4,U 50,U-WIND,15,120,2.663229728027322,6.795085208328872,155.14453885891595,0.0,False,False
rmse,W4,U 250,U-WIND,16,120,6.70423650323897,10.184080434241185,51.90514877154203,0.0,False,False
rmse,W4,U 500,U-WIND,17,120,4.839270417520244,7.003425420108315,44.720687539032696,0.0,False,False
rmse,W4,U 700,U-WIND,18,120,3.822333091437165,5.6390598173122575,47.52926242731029,0.0,False,False
rmse,W4,U 850,U-WIND,19,120,3.6705361159474994,5.157909801311939,40.52197385831998,0.0,False,False
rmse,W4,V 50,V-WIND,20,120,2.4477410071290158,3.9571340628706406,61.664737051245865,0.0,False,False
rmse,W4,V 250,V-WIND,21,120,6.933698247825532,10.539128920990475,51.99866715133784,0.0,False,False
rmse,W4,V 500,V-WIND,22,120,4.979687404288038,7.105783478288616,42.695372247056795,0.0,False,False
rmse,W4,V 700,V-WIND,23,120,3.8494186923415055,5.4350805791468195,41.192242609514516,0.0,False,False
rmse,W4,V 850,V-WIND,24,120,3.681952716832183,5.159046040042679,40.11711819268916,0.0,False,False
rmse,W4,T2M,SURFACE,25,120,1.6336285857171904,3.1139581106016863,90.61603952250911,0.0,False,False
rmse,W4,U10,SURFACE,26,120,2.5583393179057046,3.614026708941943,41.26455719331398,0.0,False,False
rmse,W4,V10,SURFACE,27,120,2.666562324041496,3.8416626952209882,44.06798823282278,0.0,False,False
rmse,W4,MSLP,SURFACE,28,120,293.6827046237745,510.11705824962195,73.69666317364963,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,168,417.5911808372509,1082.6878279137711,159.26980204491684,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,168,713.8827643426354,1128.421336772095,58.06815812554028,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,168,521.1740570883645,738.2304885191443,41.647589414447395,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,168,399.58278615018213,555.8154430567536,39.0989457808755,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,168,373.19953075331307,511.98685382420024,37.18850417382394,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,168,1.9804015461354807,6.62971068759869,234.76598220879933,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,168,2.576520572830281,4.162229388687644,61.54458196759044,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,168,2.471236411993068,3.574363779966809,44.638682184358956,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,168,2.482769836822342,3.657698882957207,47.3233172366327,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,168,2.7089409202284758,3.9774577685365173,46.827040000601166,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,168,8.235163995410054e-08,3.699183220328458e-07,349.19363140676154,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,168,6.355880089136897e-05,6.721319404183961e-05,5.749625699698952,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,168,0.000876982272741812,0.0010776791496259145,22.884941135314,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,168,0.0016558509678129307,0.001978691759257863,19.496971510144096,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,168,0.002020314654218452,0.0027441008331223907,35.825418451163564,0.0,False,False
rmse,W4,U 50,U-WIND,15,168,3.4742501034836413,8.327898183986541,139.70347372620446,0.0,False,False
rmse,W4,U 250,U-WIND,16,168,9.78814979543497,12.438375705247456,27.0758617838941,0.0,False,False
rmse,W4,U 500,U-WIND,17,168,6.860537155124971,8.42636892204124,22.823748804371068,0.0,False,False
rmse,W4,U 700,U-WIND,18,168,5.321457957743922,6.768078377171275,27.184663130189605,0.0,False,False
rmse,W4,U 850,U-WIND,19,168,5.101367520495092,6.1880387251586395,21.30156669359288,0.0,False,False
rmse,W4,V 50,V-WIND,20,168,3.224135694495979,4.836473767546197,50.00838134085641,0.0,False,False
rmse,W4,V 250,V-WIND,21,168,10.300676437418044,12.84415883066749,24.692382181912247,0.0,False,False
rmse,W4,V 500,V-WIND,22,168,7.17014364955375,8.56309419911734,19.427094039465786,0.0,False,False
rmse,W4,V 700,V-WIND,23,168,5.4225629070742265,6.525784018324419,20.345012684148678,0.0,False,False
rmse,W4,V 850,V-WIND,24,168,5.140942626376395,6.135555434584918,19.34689570557566,0.0,False,False
rmse,W4,T2M,SURFACE,25,168,2.2556191079040175,3.8264476661866023,69.64068325091647,0.0,False,False
rmse,W4,U10,SURFACE,26,168,3.552536155158432,4.330207756698344,21.890603433006586,0.0,False,False
rmse,W4,V10,SURFACE,27,168,3.7265452786711886,4.607238316590841,23.632962222686054,0.0,False,False
rmse,W4,MSLP,SURFACE,28,168,500.18611960641374,688.6805781031444,37.6848639152668,0.0,False,False
physics,W4,RMSE Z500,RMSE,0,24,39.173895555525164,125.19663233110171,219.59198990983097,0.0040473461151123045,True,False
physics,W4,RMSE T850,RMSE,1,24,0.6171572939400064,1.1477238949902704,85.96942890572726,3.272617856661479e-05,True,False
physics,W4,RMSE Q700,RMSE,2,24,0.0006114820153873916,0.0008178005624140407,33.740738375754255,2.6170164346694944e-08,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,24,5.052811692158381,38.35208451747894,659.0246154828758,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,24,7.600515613953273,35.15924322605133,362.5902374505336,0.00011373360951741536,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,24,4.173886050780614,21.95308740933736,425.96278725030413,4.391372203826904e-05,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,24,3.8746516654888787,11.818553268909454,205.02234237405352,5.241533120473225e-05,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,24,0.3203826807439327,0.8873493745923042,176.96546284333084,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,24,0.27599989374478656,0.7382712587714195,167.48968949027537,3.6740054686864218e-06,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,24,0.2438699652751287,0.7468201965093613,206.2370536965531,2.5543694694836937e-06,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,24,0.36125745500127476,0.7459791488945484,106.49515700427997,4.583348830540975e-06,True,False
physics,W4,HypsRel 600-500,BALANCE,11,24,0.0011285777295731612,0.002239608719584466,98.4452342889583,3.2663803277062916e-08,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,24,65272049653077.336,60438779789312.0,-7.404807861028255,64138178286.933334,True,False
physics,W4,neg-q fraction,CONSERVATION,13,24,0.00033152890572788846,0.0346136816078797,10340.622524869623,1.678610156356323e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,24,4954982442.0,5944774836224.0,119875.69932507139,8629585.933333334,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,24,0.00855398962947799,0.11792572311590092,1278.6049343515206,4.627507443452085e-06,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,24,0.13670136108833553,0.3456690625158505,152.8643897645477,1.0522013791032918e-05,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,24,1.8138613039496878,3.8614519290671385,112.88573280982492,0.0002901452828750835,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,24,0.659884098164445,1.624747138459215,146.21704674785528,0.0001179363460109814,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,24,0.41819502454185403,0.719889859262914,72.1421387190286,2.8020117462208836e-05,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,24,0.8839114114415837,1.0875167006537048,23.034580906706285,6.5019587717866e-05,True,False
physics,W4,|RQE| Z500,EXTREMES,21,24,0.002099227849006032,0.00661788498594736,215.2532960669742,2.5229062885046004e-06,True,False
physics,W4,|RQE| T850,EXTREMES,22,24,0.0020337156347522978,0.01308055540236334,543.1850736082148,3.251365948623667e-06,True,False
physics,W4,|RQE| Q700,EXTREMES,23,24,0.09497658403900762,0.22129363163063923,132.99809513021884,0.00010462144079307714,True,False
physics,W4,RMSE Z500,RMSE,0,72,132.39805283201113,332.09516259294634,150.83085097506248,0.02968676884969075,True,False
physics,W4,RMSE T850,RMSE,1,72,1.1626849216278539,2.3023397919371686,98.01923540160003,0.00012908230225245156,True,False
physics,W4,RMSE Q700,RMSE,2,72,0.001050012194020499,0.001435686436143843,36.73045363850458,9.189000896488627e-08,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,72,4.92908501625061,37.684850772221886,664.5404907397497,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,72,7.561917970577876,34.024608771006264,349.9468111580973,0.00026472012201944986,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,72,4.086463093757629,21.37063006560008,422.96153361192165,0.0002878705660502116,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,72,3.806147421399752,11.543192267417908,203.27759252091116,9.533266226450603e-05,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,72,0.3113342945774396,0.8865045843025049,184.74363401106154,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,72,0.2754761452476184,0.7390981664260229,168.29842771382863,8.150065938631693e-06,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,72,0.24053542719533047,0.7603308235605558,216.09930912302474,1.6307830810546873e-05,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,72,0.35835114245613414,0.7605112195014954,112.22514159965034,1.0106215874354045e-05,True,False
physics,W4,HypsRel 600-500,BALANCE,11,72,0.0011433326451543225,0.002498259097778152,118.5067581483206,9.835131784030567e-08,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,72,191807512816298.66,105919620142421.33,-44.77816922433869,114532461226.66666,True,False
physics,W4,neg-q fraction,CONSERVATION,13,72,0.00043965406974659044,0.04245010464607427,9555.342135361521,3.054301942029269e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,72,6567632048.666667,9449448767488.0,143779.0830160223,17693151.2,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,72,0.019473703649411155,0.22879360778507385,1074.8849212460523,9.800200236132426e-06,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,72,0.146006164680057,0.38407452624409655,163.05363686918167,3.5021059393071484e-05,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,72,1.6862306490411287,4.683592494159597,177.75515151636648,0.0003906469622936319,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,72,0.6594701232280397,1.803693489233232,173.506475229588,0.00015772934447011813,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,72,0.4365364064475137,0.7832269965342454,79.41848262051325,3.950782726346141e-05,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,72,0.8762958760668997,1.2976310928628434,48.08138761157166,0.00014785753357471018,True,False
physics,W4,|RQE| Z500,EXTREMES,21,72,0.005674001818988472,0.0168677419424057,197.28122197558235,6.46138263012593e-06,True,False
physics,W4,|RQE| T850,EXTREMES,22,72,0.0037115291718995045,0.029205314776239295,686.8809168295572,7.5305346399545664e-06,True,False
physics,W4,|RQE| Q700,EXTREMES,23,72,0.16193513184164962,0.3939786373327176,143.29410971670728,0.00026500060533483824,True,False
physics,W4,RMSE Z500,RMSE,0,120,296.55872697282945,551.0072070967791,85.80036835242488,0.15813986460367838,True,False
physics,W4,RMSE T850,RMSE,1,120,1.8503537069365565,3.231666341553722,74.65127502049675,0.0007007057468096414,True,False
physics,W4,RMSE Q700,RMSE,2,120,0.0013761155275025655,0.0017744671367671144,28.94754119862994,2.2601258630553882e-07,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,120,4.939449697732925,37.119133512179054,651.483176946123,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,120,7.5291565756003065,33.19322979450226,340.86252505455076,0.0005454818407694498,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,120,4.064026226600011,20.888184309005737,413.97759621450376,0.00035157303015391034,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,120,3.8056656072537103,11.466364026069641,201.29720289177314,0.00021655658880869545,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,120,0.31043747439980507,0.8858091160655022,185.34219902996944,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,120,0.2743627584228913,0.7376075970629851,168.843920837852,1.9609307249387104e-05,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,120,0.23903327155858278,0.7655032326777776,220.2496571654739,1.1783217390378316e-05,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,120,0.35796687193214893,0.7693926493326823,114.93403710232641,2.006391684214274e-05,True,False
physics,W4,HypsRel 600-500,BALANCE,11,120,0.0011447430284581752,0.00250788183845145,119.07814907850992,1.4678368672159197e-07,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,120,252085947159893.34,124508238599509.33,-50.60881417537484,100788565879.46666,True,False
physics,W4,neg-q fraction,CONSERVATION,13,120,0.0005071741424368762,0.04419919763070842,8614.79713424261,9.941777117698317e-07,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,120,8036140854.666667,10860299037354.666,135043.21405961897,23260676.266666666,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,120,0.03488651334695835,0.2883716084298227,726.5991088357499,6.289463969281071e-05,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,120,0.15839701512217785,0.3922591153753903,147.64299697997808,9.106643029554416e-05,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,120,1.5895894165508428,4.899549936557025,208.22738787405066,0.0011112736287044278,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,120,0.6672625314114923,1.7871925848238337,167.83949355635175,0.0002710986689652357,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,120,0.44781985943521757,0.7971057048057348,77.99695301834768,0.00011669688860267539,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,120,0.8684457185501883,1.3694758784897634,57.69274339633009,0.00037355268663807103,True,False
physics,W4,|RQE| Z500,EXTREMES,21,120,0.00805548586746833,0.022351052650871377,177.4637435729975,6.662436256495614e-06,True,False
physics,W4,|RQE| T850,EXTREMES,22,120,0.005073528080780913,0.039188578918886684,672.4127726293142,5.616754545674969e-06,True,False
physics,W4,|RQE| Q700,EXTREMES,23,120,0.2066954931554695,0.49106857491036254,137.58068809995632,0.0005287707938502232,True,False
physics,W4,RMSE Z500,RMSE,0,168,521.1740570883645,738.2304885191443,41.647589414447395,0.5910619099934896,True,False
physics,W4,RMSE T850,RMSE,1,168,2.7089409202284758,3.9774577685365173,46.827040000601166,0.0013584335645039874,True,False
physics,W4,RMSE Q700,RMSE,2,168,0.0016558509678129307,0.001978691759257863,19.496971510144096,2.6471922562147183e-07,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,168,4.969601223866145,36.697174429893494,638.4329803698937,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,168,7.468335926532745,32.51896572113037,335.42451813931257,0.0027873496214548747,True,False
physics,W4,|Vag| 500hPa,BALANCE,5,168,4.02664573987325,20.42486532529195,407.24266907907526,0.0009708553552627562,True,False
physics,W4,|Vag| 850hPa,BALANCE,6,168,3.799589375654856,11.393716216087341,199.8670406094512,0.0004593640565872192,True,False
physics,W4,Vag/Vg 50hPa,BALANCE,7,168,0.3108295661707719,0.8874232855935892,185.5015681185337,0.0,False,False
physics,W4,Vag/Vg 250hPa,BALANCE,8,168,0.27392273241033155,0.7363192376991113,168.8054515300752,0.00010383551319440205,True,False
physics,W4,Vag/Vg 500hPa,BALANCE,9,168,0.2385783540084958,0.7677625666062037,221.80730301243656,4.8409588634967805e-05,True,False
physics,W4,Vag/Vg 850hPa,BALANCE,10,168,0.3572022182246049,0.7734082465370496,116.51832129741672,4.1169673204421996e-05,True,False
physics,W4,HypsRel 600-500,BALANCE,11,168,0.001157227054504365,0.002486004892720573,114.82429770753303,2.3266243720103066e-07,True,False
physics,W4,|DryAir Md err|,CONSERVATION,12,168,284006144103765.3,195839055451477.34,-31.044077912650717,309237645312.0,True,False
physics,W4,neg-q fraction,CONSERVATION,13,168,0.0005595248852614532,0.045275277380521096,7991.73614491963,2.0439997750069473e-06,True,False
physics,W4,|neg-q mass|,CONSERVATION,14,168,9569948545.333334,11713642222933.334,122300.2633603014,71017964.86666666,True,False
physics,W4,SpecDivW1 Z500,SPECTRAL,15,168,0.052406814978706556,0.3136094853965743,498.41355656510916,9.921522654966079e-05,True,False
physics,W4,SpecDivW1 T850,SPECTRAL,16,168,0.1821081182990155,0.3911496640275199,114.78980052128433,0.00021011501543946845,True,False
physics,W4,SpecDivW1 Q700,SPECTRAL,17,168,1.7728654049463322,4.971234918014365,180.4067868967669,0.0024386164720860736,True,False
physics,W4,SpecResLog Z500,SPECTRAL,18,168,0.6704145223021835,1.7576855736267551,162.17892291338129,0.0009601939124431131,True,False
physics,W4,SpecResLog T850,SPECTRAL,19,168,0.4658655680516772,0.8039274553736036,72.56640338021847,0.00033231230017435307,True,False
physics,W4,SpecResLog Q700,SPECTRAL,20,168,0.882510335440843,1.4025670930576422,58.929254053099974,0.0004816220967674899,True,False
physics,W4,|RQE| Z500,EXTREMES,21,168,0.010831802035681903,0.026059896335937083,140.58689634551203,1.848531683208421e-05,True,False
physics,W4,|RQE| T850,EXTREMES,22,168,0.006897772354326055,0.04527304294363906,556.3429556390811,2.225841987334813e-05,True,False
physics,W4,|RQE| Q700,EXTREMES,23,168,0.2305411354949077,0.5474524976064762,137.46412822650842,0.000760932049403588,True,False
rmse,W8,Z 50,GEOPOTENTIAL,0,24,59.88009100471854,62.0893435385153,3.6894608821196946,0.0,False,False
rmse,W8,Z 250,GEOPOTENTIAL,1,24,61.02818574116244,69.29974610864392,13.553672400755074,0.0,False,False
rmse,W8,Z 500,GEOPOTENTIAL,2,24,39.173895555525164,42.105503308696285,7.483574741796752,0.0,False,False
rmse,W8,Z 700,GEOPOTENTIAL,3,24,32.03374178904623,33.62325991254237,4.9620120370692025,0.0,False,False
rmse,W8,Z 850,GEOPOTENTIAL,4,24,31.06351240625841,31.45296486658594,1.2537296337714399,0.0,False,False
rmse,W8,T 50,TEMPERATURE,5,24,0.7837198689717072,0.7943333909018682,1.3542494391633342,0.0,False,False
rmse,W8,T 250,TEMPERATURE,6,24,0.46950347147997923,0.4824217956251463,2.751486395711975,0.0,False,False
rmse,W8,T 500,TEMPERATURE,7,24,0.42700509655486374,0.4328757188172087,1.3748365791673132,0.0,False,False
rmse,W8,T 700,TEMPERATURE,8,24,0.47756562612404097,0.4876650793945163,2.114778099178385,0.0,False,False
rmse,W8,T 850,TEMPERATURE,9,24,0.6171572939400064,0.625600088307219,1.3680133816960682,0.0,False,False
rmse,W8,Q 50,HUMIDITY,10,24,2.0231787523298097e-08,2.1370641860828806e-08,5.629034687218078,0.0,False,False
rmse,W8,Q 250,HUMIDITY,11,24,3.0978389718410416e-05,3.1044808265262536e-05,0.21440283841689753,0.0,False,False
rmse,W8,Q 500,HUMIDITY,12,24,0.0003382628666147251,0.0003387682234478655,0.14939766761805853,0.0,False,False
rmse,W8,Q 700,HUMIDITY,13,24,0.0006114820153873916,0.0006141971782268911,0.44402987678703465,0.0,False,False
rmse,W8,Q 850,HUMIDITY,14,24,0.0007667513766297361,0.0007745637124203623,1.018887742329915,0.0,False,False
