tag,family,lead,label,value,floor_value,removed_pct
W8A8_knee,wind_balance,120,Vag/Vg 850hPa,2.124030622390137,3.327576242975925,36.16883679604078
W8A8_knee,wind_balance,120,|Vag| 850hPa,2.836507603223706,4.365443810631338,35.023614407409234
W8A8_knee,wind_balance,120,Vag/Vg 500hPa,6.097175815463028,10.659615739691652,42.8011669054836
W8A8_knee,wind_balance,120,|Vag| 500hPa,5.501435244214558,9.854933464538307,44.17582560033759
W8A8_knee,wind_balance,120,Vag/Vg 250hPa,2.545755454015946,4.484338806549372,43.23008220748458
W8A8_knee,wind_balance,120,|Vag| 250hPa,3.290794241598061,5.869028186143483,43.92948649714307
W8A8_rmse_knee,wind_balance,120,Vag/Vg 850hPa,3.209671461081284,3.327576242975925,3.543263122626339
W8A8_rmse_knee,wind_balance,120,|Vag| 850hPa,4.254978673730242,4.365443810631338,2.530444593790815
W8A8_rmse_knee,wind_balance,120,Vag/Vg 500hPa,10.494416810206722,10.659615739691652,1.5497643960072915
W8A8_rmse_knee,wind_balance,120,|Vag| 500hPa,9.697267920289182,9.854933464538307,1.599864116956895
W8A8_rmse_knee,wind_balance,120,Vag/Vg 250hPa,4.3998285924394445,4.484338806549372,1.8845635389212911
W8A8_rmse_knee,wind_balance,120,|Vag| 250hPa,5.740132065469189,5.869028186143483,2.1962089222643644
W8A8_probe_divergent,wind_balance,120,Vag/Vg 850hPa,3.2185046360737353,3.327576242975925,3.27780940053366
W8A8_probe_divergent,wind_balance,120,|Vag| 850hPa,4.270371338050828,4.365443810631338,2.177842086730708
W8A8_probe_divergent,wind_balance,120,Vag/Vg 500hPa,10.49884674266514,10.659615739691652,1.5082063082994646
W8A8_probe_divergent,wind_balance,120,|Vag| 500hPa,9.738510405947656,9.854933464538307,1.1813682863469843
W8A8_probe_divergent,wind_balance,120,Vag/Vg 250hPa,4.406366818976081,4.484338806549372,1.738762188517362
W8A8_probe_divergent,wind_balance,120,|Vag| 250hPa,5.766582625004455,5.869028186143483,1.745528525163631
W8A8_probe_rmse_favoured,wind_balance,120,Vag/Vg 850hPa,3.0073769912286514,3.327576242975925,9.622597000539713
W8A8_probe_rmse_favoured,wind_balance,120,|Vag| 850hPa,3.9976119581658014,4.365443810631338,8.425989851701699
W8A8_probe_rmse_favoured,wind_balance,120,Vag/Vg 500hPa,10.192837610407357,10.659615739691652,4.378939547944693
W8A8_probe_rmse_favoured,wind_balance,120,|Vag| 500hPa,9.439548665902443,9.854933464538307,4.214993435831637
W8A8_probe_rmse_favoured,wind_balance,120,Vag/Vg 250hPa,4.232879361564607,4.484338806549372,5.60750326486279
W8A8_probe_rmse_favoured,wind_balance,120,|Vag| 250hPa,5.592440103888236,5.869028186143483,4.712672583652944
W8A8_span1,wind_balance,120,Vag/Vg 850hPa,0.18598499075731129,3.327576242975925,94.41079701329456
W8A8_span1,wind_balance,120,|Vag| 850hPa,0.42420085077058334,4.365443810631338,90.28275545002984
W8A8_span1,wind_balance,120,Vag/Vg 500hPa,0.6235504058863518,10.659615739691652,94.15034818220953
W8A8_span1,wind_balance,120,|Vag| 500hPa,0.6738720728734288,9.854933464538307,93.16208399277104
W8A8_span1,wind_balance,120,Vag/Vg 250hPa,0.2874474206288523,4.484338806549372,93.58997094044197
W8A8_span1,wind_balance,120,|Vag| 250hPa,0.39038873445240385,5.869028186143483,93.34832408244189
W8A8_rmse_span1,wind_balance,120,Vag/Vg 850hPa,1.8196732654308714,3.327576242975925,45.315354703834
W8A8_rmse_span1,wind_balance,120,|Vag| 850hPa,2.7472630864882532,4.365443810631338,37.067954470110585
W8A8_rmse_span1,wind_balance,120,Vag/Vg 500hPa,5.501909095083007,10.659615739691652,48.385483778778706
W8A8_rmse_span1,wind_balance,120,|Vag| 500hPa,5.029895163202321,9.854933464538307,48.96063802661131
W8A8_rmse_span1,wind_balance,120,Vag/Vg 250hPa,2.2543652517047303,4.484338806549372,49.728034634398455
W8A8_rmse_span1,wind_balance,120,|Vag| 250hPa,2.8787998725899,5.869028186143483,50.949292092571305
